Name,FIP,G,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,ERA,RA9,rRA9,rRA9pf,FIP,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA
김진수,1.62,3,7.71,0,,0,22.2,0,22.2,0.286,50,3.86,3.86,3.86,4.42,1.62,1.8,2.73,2.23,92.2,95.98,38.82,0.222,0.222,0.333,0.555,34,11.3,14.6,3.78
김지용,2.19,3,11.25,2.25,5,0,31.3,6.3,25,0.222,100,0,0,0,0,2.19,2.28,2.4,-2.19,0,0,52.39,0.143,0.25,0.286,0.536,67,22.3,16.8,4.19
임준형,2.43,6,8.22,1.57,5.25,0,22.3,4.3,18.1,0.364,74.2,3.13,3.13,2.72,3.12,2.43,2.51,3.23,0.7,74.83,67.67,58.03,0.276,0.33,0.333,0.663,367,61.2,16,3.9
고우석,2.63,63,10.55,3.57,2.96,0.47,28.3,9.6,18.8,0.317,84.1,2.17,2.33,2.62,2.75,2.63,2.08,3.15,-0.45,51.93,59.63,62.8,0.224,0.309,0.324,0.633,922,14.6,15.9,3.84
수아레즈,2.66,23,9.83,3.2,3.07,0.31,26.6,8.7,18,0.294,79.2,2.18,2.58,2.58,2.75,2.66,2.33,3.24,-0.47,52.23,59.72,63.53,0.215,0.289,0.291,0.58,1904,82.8,16.5,4.03
고효준,2.7,3,3.86,0,,0,10,0,10,0.333,66.7,3.86,3.86,5.79,6.63,2.7,2.84,4.2,1.16,92.2,143.97,64.43,0.333,0.3,0.556,0.856,45,15,19.3,4.5
이정용,2.82,66,9.56,2.97,3.22,0.52,26.1,8.1,18,0.283,74,2.97,3.23,3.64,3.8,2.82,2.22,3.25,0.15,71.02,82.37,67.36,0.214,0.28,0.327,0.607,1132,17.2,16.2,3.99
김대유,2.94,64,9.95,2.66,3.73,0.36,26.8,7.2,19.6,0.24,81.1,2.13,2.31,2.68,2.83,2.94,2.55,3.05,-0.81,50.95,61.49,70.32,0.177,0.271,0.215,0.486,840,13.1,16.6,4.02
백승현,3.38,16,5.4,2.16,2.5,0,15.2,6.1,9.1,0.265,78.9,2.16,2.16,2.19,2.31,3.38,3.47,4.31,-1.22,51.63,50.07,80.86,0.22,0.292,0.254,0.546,262,16.4,15.7,3.97
진해수,3.5,50,7.92,3.65,2.17,0.41,20.7,9.6,11.2,0.31,76.3,2.44,3.45,3.42,3.78,3.5,3.04,4.06,-1.07,58.23,81.98,83.73,0.25,0.33,0.311,0.641,744,14.9,16.8,3.96
켈리,3.76,30,7.22,3.05,2.37,0.61,19.1,8.1,11,0.287,78,3.15,3.25,3.21,3.38,3.76,3.03,4.08,-0.61,75.36,73.35,89.85,0.241,0.312,0.333,0.645,2902,96.7,16.4,3.9
정우영,3.76,70,5.68,3.6,1.58,0,15.6,9.9,5.7,0.231,79.2,2.22,2.22,2.71,2.83,3.76,3.8,4.72,-1.55,52.96,61.47,89.97,0.191,0.295,0.231,0.526,1004,14.3,15.4,3.82
최성훈,3.85,46,7.3,4.21,1.74,0.44,18.4,10.6,7.8,0.309,80.7,2.43,3.1,4.38,4.71,3.85,3.33,4.46,-1.41,58.19,102.31,91.98,0.255,0.337,0.35,0.687,666,14.5,16.4,3.72
배재준,3.89,15,6.34,3.58,1.77,0.28,15.2,8.6,6.6,0.369,71.9,4.13,4.68,5.25,5.31,3.89,3.62,4.61,0.24,98.78,115.35,92.97,0.313,0.384,0.41,0.794,610,40.7,18.7,4.04
오석주,3.9,9,7.56,6.48,1.17,0,18.4,15.8,2.6,0.36,60,6.48,6.48,7.02,7.55,3.9,4.02,5.08,2.58,154.89,163.78,93.2,0.281,0.395,0.313,0.708,153,17,18.4,4.03
송은범,4.06,35,4.58,3.13,1.46,0.24,12.3,8.4,3.9,0.275,64.6,4.1,4.34,3.88,4.02,4.06,3.82,4.94,0.04,97.96,87.17,97.02,0.25,0.316,0.324,0.64,590,16.9,15.8,3.81
김윤식,4.11,35,7.56,4.86,1.56,0.41,18.6,12,6.6,0.318,68,4.46,5,5.07,5.35,4.11,3.65,4.6,0.35,106.49,116.1,98.22,0.258,0.361,0.345,0.706,1167,33.3,17.5,3.88
정찬헌,4.2,12,4.81,1.86,2.58,0.78,12.4,4.8,7.6,0.323,71.1,4.03,4.5,4.5,4.98,4.2,3.28,4.48,-0.17,96.44,108.03,100.51,0.296,0.335,0.429,0.764,922,76.8,15.9,3.7
임찬규,4.31,17,6.65,4.07,1.63,0.7,17.3,10.6,6.7,0.262,68.2,3.87,4.47,4.17,4.5,4.31,3.48,4.59,-0.44,92.54,97.58,102.99,0.226,0.315,0.333,0.648,1446,85.1,15.9,3.74
이민호,4.53,25,7.83,3.52,2.22,1.02,21,9.4,11.5,0.259,69.2,4.3,4.54,4.28,4.52,4.53,3.27,4.02,-0.22,102.89,98.07,108.25,0.22,0.318,0.359,0.677,1991,79.6,17.3,4.17
