name,G,GS,IP,ERA,W,L,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,start BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war
켈리,30,30,177,3.15,13,8,17,56.7,5,16.7,4,0,0,93,4.7,16,12,57.1,0,0,4,2,50,5.9,96.73,55.1,2.75,5.89
수아레즈,23,22,113.1,2.22,9,2,10,45.5,4,18.2,10,0,0,81,6.4,14,5,73.7,0,0,2,0,0,5.15,85.27,58.55,2.58,4.6
이민호,25,22,112.2,4.23,8,9,7,31.8,3,13.6,7,0,0,68,5.4,8,12,40,0,0,15,6,40,5.12,87.91,52.27,0.34,2.34
임찬규,17,17,90.2,3.87,1,8,7,41.2,3,17.6,6,0,0,38,3.8,5,8,38.5,0,0,17,6,35.3,5.33,85.06,51.29,0.27,1.88
정찬헌,12,12,58,4.03,6,2,5,41.7,0,0,3,0,0,44,6.8,9,3,75,0,0,2,0,0,4.83,76.83,47.75,-0.13,0.9
임준형,6,4,16.2,2.7,1,0,1,25,0,0,2,0,0,7,3.8,2,1,66.7,0,0,5,2,40,4.17,68,53.75,0.44,0.73
배재준,15,6,18.2,2.89,1,2,1,16.7,1,16.7,5,0,0,25,12.1,3,3,50,0,0,13,0,0,3.11,52.67,49.67,0.2,0.53
이상영,21,9,33,4.91,0,1,0,0,0,0,8,0,0,20,5.5,4,5,44.4,0,0,11,5,45.5,3.67,70.22,45.33,-0.12,0.47
차우찬,5,5,22.1,5.24,2,1,1,20,0,0,2,0,0,23,9.3,3,2,60,0,0,3,3,100,4.47,75.8,48,-0.07,0.33
함덕주,16,3,8.1,6.48,0,0,0,0,0,0,3,0,0,15,16.2,3,0,100,0,0,12,4,33.3,2.78,60,43.67,-0.13,0.02
이우찬,15,5,13.1,5.4,0,1,0,0,0,0,4,0,0,24,16.2,4,1,80,0,0,9,3,33.3,2.67,55.8,44.2,-0.41,-0.17
손주영,7,6,24.2,8.39,1,3,1,16.7,0,0,3,0,0,20,7.3,1,4,20,0,0,2,1,50,4.11,78.17,39.5,-0.8,-0.36
김윤식,35,3,7.1,13.5,0,2,0,0,0,0,1,0,0,39,47.9,0,2,0,0,0,15,5,33.3,2.44,64.67,34,-0.8,-0.67
고우석,63,0,0,,0,0,0,,0,,0,0,0,7,,0,0,,0,0,3,0,0,,,,,
류원석,6,0,0,,0,0,0,,0,,0,0,0,1,,0,0,,0,0,4,3,75,,,,,
진해수,50,0,0,,0,0,0,,0,,0,0,0,15,,0,0,,0,0,16,3,18.8,,,,,
최동환,8,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,7,4,57.1,,,,,
최성훈,46,0,0,,0,0,0,,0,,0,0,0,17,,0,0,,0,0,19,5,26.3,,,,,
오석주,9,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,7,2,28.6,,,,,
백승현,16,0,0,,0,0,0,,0,,0,0,0,2,,0,0,,0,0,6,2,33.3,,,,,
김지용,3,0,0,,0,0,0,,0,,0,0,0,2,,0,0,,0,0,0,0,,,,,,
김대현,4,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,3,2,66.7,,,,,
고효준,3,0,0,,0,0,0,,0,,0,0,0,2,,0,0,,0,0,0,0,,,,,,
김태형,2,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,3,3,100,,,,,
이상규,7,0,0,,0,0,0,,0,,0,0,0,3,,0,0,,0,0,2,1,50,,,,,
정우영,70,0,0,,0,0,0,,0,,0,0,0,26,,0,0,,0,0,21,6,28.6,,,,,
김진수,3,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,1,0,0,,,,,
이찬혁,1,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,0,0,,,,,,
이정용,66,0,0,,0,0,0,,0,,0,0,0,37,,0,0,,0,0,19,2,10.5,,,,,
송은범,35,0,0,,0,0,0,,0,,0,0,0,13,,0,0,,0,0,19,10,52.6,,,,,
김대유,64,0,0,,0,0,0,,0,,0,0,0,21,,0,0,,0,0,25,4,16,,,,,
채지선,14,0,0,,0,0,0,,0,,0,0,0,11,,0,0,,0,0,4,1,25,,,,,
