Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD_1,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP_2,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
켈리,5.89,30,30,0,0,0,0,13,8,0,0,177,62,64,63.15,744,160,25,0,12,60,11,3,142,7,1,7,3.15,3.25,3.21,3.38,3.76,1.24,7.22,3.05,2.37,0.61,19.1,8.1,11,0.287,78,3.03,4.08,-0.61,75.36,73.35,89.85,0.241,0.312,0.333,0.645,2902,96.7,16.4,3.9,17,56.7,5,16.7,4,0,0,93,4.7,16,12,57.1,0,0,4,2,50,5.9,96.73,55.1,2.75,5.89,0,0,0,0,0,0,0,0,,0,0,0,0,14,10,0,0,,4,2,50,,,,,0.287,515,49.9,6,40.1,46.1,4,1.1,4.9,9.4,,,,,,
수아레즈,4.72,23,22,1,0,0,0,10,2,0,0,115.1,28,33,33,473,91,16,2,4,41,4,0,126,6,0,2,2.18,2.58,2.58,2.75,2.66,1.14,9.83,3.2,3.07,0.31,26.6,8.7,18,0.294,79.2,2.33,3.24,-0.47,52.23,59.72,63.53,0.215,0.289,0.291,0.58,1904,82.8,16.5,4.03,10,45.5,4,18.2,10,0,0,81,6.4,14,5,73.7,0,0,2,0,0,5.15,85.27,58.55,2.58,4.6,0,0,1,0,0,0,0,0,,0,0,0,0,16,5,0,0,,2,0,0,2,28,0.9,0.13,0.294,296,44.7,4.6,49.7,54.3,1,0.8,2.4,9.9,,,,,,
정우영,2.72,70,0,70,6,0,0,7,3,2,27,65,16,16,19.6,263,43,9,0,0,26,8,1,41,3,0,2,2.22,2.22,2.71,2.83,3.76,1.06,5.68,3.6,1.58,0,15.6,9.9,5.7,0.231,79.2,3.8,4.72,-1.55,52.96,61.47,89.97,0.191,0.295,0.231,0.526,1004,14.3,15.4,3.82,0,,0,,0,0,0,26,,0,0,,0,0,21,6,28.6,,,,,,21,3,13,2,27,3,2,5,85.3,0,6,3,1,30,10,45,13,28.9,21,6,28.6,0.93,14.34,1.65,2.72,0.231,186,76.6,1.6,19.7,21.3,2.1,3.6,0,7,,,,,,
고우석,2.63,63,0,63,61,0,0,1,5,30,0,58,14,15,16.9,240,47,10,1,3,23,3,5,68,1,0,1,2.17,2.33,2.62,2.75,2.63,1.21,10.55,3.57,2.96,0.47,28.3,9.6,18.8,0.317,84.1,2.08,3.15,-0.45,51.93,59.63,62.8,0.224,0.309,0.324,0.633,922,14.6,15.9,3.84,0,,0,,0,0,0,7,,0,0,,0,0,3,0,0,,,,,,16,1,1,30,0,7,0,7,81.1,0,0,0,0,30,12,11,3,27.3,3,0,0,0.92,14.63,1.83,2.63,0.317,139,53.4,2.7,41.8,44.5,2.1,1.2,4.6,2.1,,,,,,
이민호,2.37,25,22,3,0,0,0,8,9,0,0,115,55,58,54.75,477,89,17,0,13,45,14,1,100,3,0,6,4.3,4.54,4.28,4.52,4.53,1.17,7.83,3.52,2.22,1.02,21,9.4,11.5,0.259,69.2,3.27,4.02,-0.22,102.89,98.07,108.25,0.22,0.318,0.359,0.677,1991,79.6,17.3,4.17,7,31.8,3,13.6,7,0,0,68,5.4,8,12,40,0,0,15,6,40,5.12,87.91,52.27,0.34,2.34,0,0,0,0,0,0,0,0,,0,0,0,0,10,10,0,0,,15,6,40,0.78,19,0.67,0.02,0.259,294,42.5,7.5,45.9,53.5,4.1,0.8,7.6,2.2,,,,,,
김대유,2.01,64,0,64,3,0,0,4,1,0,24,50.2,12,13,15.1,209,32,1,0,2,15,9,0,56,2,0,2,2.13,2.31,2.68,2.83,2.94,0.93,9.95,2.66,3.73,0.36,26.8,7.2,19.6,0.24,81.1,2.55,3.05,-0.81,50.95,61.49,70.32,0.177,0.271,0.215,0.486,840,13.1,16.6,4.02,0,,0,,0,0,0,21,,0,0,,0,0,25,4,16,,,,,,13,0,10,0,24,2,0,2,92.3,0,6,2,0,22,7,39,10,25.6,25,4,16,0.79,13.13,1.44,2.01,0.24,125,45,8.5,41.9,50.4,4.7,0.9,3.1,15.6,,,,,,
임찬규,1.88,17,17,0,0,0,0,1,8,0,0,90.2,39,45,42.05,387,76,9,3,7,41,3,1,67,4,0,5,3.87,4.47,4.17,4.5,4.31,1.29,6.65,4.07,1.63,0.7,17.3,10.6,6.7,0.262,68.2,3.48,4.59,-0.44,92.54,97.58,102.99,0.226,0.315,0.333,0.648,1446,85.1,15.9,3.74,7,41.2,3,17.6,6,0,0,38,3.8,5,8,38.5,0,0,17,6,35.3,5.33,85.06,51.29,0.27,1.88,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,0,0,,17,6,35.3,,,,,0.262,263,44.9,8.7,44.2,52.9,2.2,0.8,4.8,3.9,,,,,,
이정용,1.72,66,0,66,5,0,0,3,3,0,15,69.2,23,25,28.2,284,55,13,2,4,23,1,1,74,3,0,0,2.97,3.23,3.64,3.8,2.82,1.12,9.56,2.97,3.22,0.52,26.1,8.1,18,0.283,74,2.22,3.25,0.15,71.02,82.37,67.36,0.214,0.28,0.327,0.607,1132,17.2,16.2,3.99,0,,0,,0,0,0,37,,0,0,,0,0,19,2,10.5,,,,,,13,2,16,0,15,0,2,2,88.2,0,4,0,1,20,10,39,8,20.5,19,2,10.5,1.06,17.15,1.07,1.72,0.283,180,43,2.7,51.6,54.3,2.7,0.8,4,3.6,,,,,,
진해수,0.98,50,0,50,9,0,0,1,0,0,5,44.1,12,17,16.85,188,41,4,0,2,18,3,1,39,2,0,1,2.44,3.45,3.42,3.78,3.5,1.33,7.92,3.65,2.17,0.41,20.7,9.6,11.2,0.31,76.3,3.04,4.06,-1.07,58.23,81.98,83.73,0.25,0.33,0.311,0.641,744,14.9,16.8,3.96,0,,0,,0,0,0,15,,0,0,,0,0,16,3,18.8,,,,,,14,4,10,0,5,1,1,2,71.4,0,2,1,1,3,7,22,3,13.6,16,3,18.8,0.89,14.88,0.56,0.98,0.31,126,53.9,3.9,40.6,44.5,1.6,1.2,3.5,9.8,,,,,,
정찬헌,0.9,12,12,0,0,0,0,6,2,0,0,58,26,29,29,249,69,12,2,5,12,2,0,31,1,0,2,4.03,4.5,4.5,4.98,4.2,1.4,4.81,1.86,2.58,0.78,12.4,4.8,7.6,0.323,71.1,3.28,4.48,-0.17,96.44,108.03,100.51,0.296,0.335,0.429,0.764,922,76.8,15.9,3.7,5,41.7,0,0,3,0,0,44,6.8,9,3,75,0,0,2,0,0,4.83,76.83,47.75,-0.13,0.9,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,0,0,,2,0,0,,,,,0.323,198,50,6.4,41.7,48,2,1,5.1,7.2,,,,,,
임준형,0.81,6,4,2,1,0,0,1,0,0,0,23,8,8,6.95,94,24,5,0,0,4,3,0,21,0,0,1,3.13,3.13,2.72,3.12,2.43,1.22,8.22,1.57,5.25,0,22.3,4.3,18.1,0.364,74.2,2.51,3.23,0.7,74.83,67.67,58.03,0.276,0.33,0.333,0.663,367,61.2,16,1,25,0,0,2,0,0,7,3.8,2,1,66.7,0,0,5,2,40,4.17,68,53.75,0.44,0.73,,0,0,1,0,0,0,0,0,,0,0,0,0,2,1,0,0,,5,2,40,3.17,47.5,0.1,0.08,0.364,66,51.5,6.1,40.9,47,1.5,1.1,0,12.5,,,,,,
송은범,0.81,35,0,35,2,0,0,2,2,0,4,37.1,17,18,16.1,155,34,7,0,1,13,2,1,19,1,0,4,4.1,4.34,3.88,4.02,4.06,1.26,4.58,3.13,1.46,0.24,12.3,8.4,3.9,0.275,64.6,3.82,4.94,0.04,97.96,87.17,97.02,0.25,0.316,0.324,0.64,590,16.9,15.8,3.81,0,,0,,0,0,0,13,,0,0,,0,0,19,10,52.6,,,,,,5,0,11,0,4,0,2,2,66.7,0,0,0,1,9,8,12,6,50,19,10,52.6,1.07,16.86,0.98,0.81,0.275,120,57.9,2.5,38.8,41.3,0.8,1.4,2,5.9,,,,,,
백승현,0.68,16,0,16,3,0,0,0,0,0,1,16.2,4,4,4.05,66,13,2,0,0,4,2,0,10,0,0,0,2.16,2.16,2.19,2.31,3.38,1.02,5.4,2.16,2.5,0,15.2,6.1,9.1,0.265,78.9,3.47,4.31,-1.22,51.63,50.07,80.86,0.22,0.292,0.254,0.546,262,16.4,15.7,3.97,0,,0,,0,0,0,2,,0,0,,0,0,6,2,33.3,,,,,,3,0,6,0,1,0,0,0,100,0,1,0,0,4,1,12,2,16.7,6,2,33.3,1.04,16.38,1.02,0.68,0.265,49,46,0,52,52,2,0.9,0,7.7,,,,,,
이상영,0.63,21,9,12,8,0,0,1,1,0,0,50,24,28,27.5,228,48,8,0,7,32,8,0,30,3,0,3,4.32,5.04,4.95,5.21,6.41,1.6,5.4,5.76,0.94,1.26,13.2,14,-0.9,0.275,76.9,4.84,5.51,-2.09,103.26,113.06,153.29,0.259,0.389,0.416,0.805,924,44,18.5,4.05,0,0,0,0,8,0,0,20,5.5,4,5,44.4,0,0,11,5,45.5,3.67,70.22,45.33,-0.12,0.47,1,0,6,0,0,0,0,0,,0,0,0,0,3,7,7,4,57.1,11,5,45.5,1.42,24.33,0.19,0.16,0.275,149,49.4,2.5,46.2,48.7,1.9,1,9.1,6.3,,,,,,
