Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
플럿코,4.97,21,21,0,0,0,0,11,3,0,0,123.1,33,37,37,510,115,21,3,5,31,3,1,101,6,0,2,2.41,2.7,2.7,2.74,3.14,1.18
켈리,3.93,30,30,0,0,0,0,10,7,0,0,178.2,76,87,81.9,746,183,31,3,10,39,6,1,129,7,0,6,3.83,4.38,4.13,4.27,3.49,1.24
임찬규,3.78,30,26,4,1,0,0,14,3,0,1,144.2,55,63,59.75,632,142,22,2,10,54,5,1,103,10,1,1,3.42,3.92,3.72,3.91,4.16,1.35
함덕주,2.67,57,0,57,9,0,0,4,0,4,16,55.2,10,12,13,222,32,9,1,1,22,2,1,59,3,0,0,1.62,1.94,2.1,2.21,2.69,0.97
김진성,2.41,80,0,80,14,0,0,5,1,4,21,70.1,17,17,22.95,270,41,5,1,8,26,0,0,69,1,0,0,2.18,2.18,2.94,3.11,3.9,0.95
백승현,2.14,42,0,42,5,0,0,2,0,3,11,40,7,7,7.35,162,28,4,0,2,18,0,1,30,3,0,1,1.58,1.58,1.65,1.68,3.89,1.15
김윤식,1.68,17,16,1,0,0,0,6,4,0,0,74.2,35,35,33.45,320,86,13,2,4,25,3,0,42,1,0,4,4.22,4.22,4.03,4.26,4.24,1.49
유영찬,1.57,67,0,67,10,0,0,6,3,1,12,68,26,27,28.05,305,55,14,1,4,40,7,2,55,4,0,8,3.44,3.57,3.71,3.88,4.67,1.4
이정용,1.13,37,13,24,9,0,0,7,2,3,1,86.2,40,45,46.4,382,100,20,1,5,19,2,0,50,9,0,3,4.15,4.67,4.82,4.88,3.84,1.37
이우찬,1,38,0,38,6,0,0,1,3,0,5,38.1,15,15,13.1,157,35,4,0,1,18,2,0,30,2,1,2,3.52,3.52,3.08,3.28,3.82,1.38
최동환,0.79,45,0,45,15,0,0,0,0,1,1,42.1,15,18,18.5,189,42,11,0,1,17,3,2,20,5,0,0,3.19,3.83,3.93,4.08,4.41,1.39
고우석,0.79,44,0,44,35,0,0,3,8,15,0,44,18,19,21.05,190,38,6,0,2,22,4,1,59,1,0,5,3.68,3.89,4.31,4.38,2.8,1.36
이지강,0.36,22,12,10,5,0,0,2,5,0,2,68,30,45,43.45,299,60,9,0,4,28,9,0,38,7,0,3,3.97,5.96,5.75,5.82,4.84,1.29
이상규,0.24,8,0,8,4,0,0,0,0,0,0,7.2,2,2,2,34,7,0,0,0,5,0,0,6,1,0,1,2.35,2.35,2.35,2.56,3.91,1.57
이상영,0.15,6,2,4,1,0,0,0,1,0,0,11,4,5,4.5,54,12,3,0,0,8,3,0,4,1,0,0,3.27,4.09,3.68,3.82,6.04,1.82
이민호,0.09,5,5,0,0,0,0,0,2,0,0,19.2,11,13,13,91,22,4,0,1,10,0,0,7,4,0,0,5.03,5.95,5.95,6.09,5.14,1.63
진해수,0.07,19,0,19,3,0,0,0,0,0,2,14.2,6,8,9.2,72,18,3,0,2,10,0,0,12,1,0,3,3.68,4.91,5.65,5.59,5.54,1.91
윤호솔,0.07,4,0,4,1,0,0,0,0,0,0,3.2,1,1,1.5,17,3,1,0,0,3,0,0,4,0,0,0,2.45,2.45,3.68,3.93,3.66,1.64
송은범,0.07,4,0,4,1,0,0,0,0,0,0,3.2,1,1,1.7,17,6,0,0,0,3,0,0,2,0,0,0,2.45,2.45,4.17,3.98,5.02,2.45
송승기,0.04,1,0,1,1,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.95,2
채지선,0.03,1,0,1,1,0,0,0,0,0,0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0
오석주,0,9,0,9,4,0,0,0,0,0,0,10,7,7,7,44,12,2,0,2,3,0,0,11,0,0,2,6.3,6.3,6.3,6.71,4.41,1.5
박명근,-0.01,57,1,56,12,0,0,4,3,5,9,51.1,29,31,31.7,236,49,9,1,4,28,6,2,40,6,0,1,5.08,5.44,5.56,5.68,4.82,1.5
성동현,-0.02,1,0,1,1,0,0,0,0,0,0,1,1,1,1,6,2,0,0,0,1,0,0,1,0,0,0,9,9,9,9.83,4.45,3
김영준,-0.02,1,0,1,0,0,0,1,0,0,0,0.1,1,1,0.65,3,1,0,0,0,1,0,0,0,0,0,0,27,27,17.55,16.31,13.15,6
