Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
임찬규,4.46,25,24,1,0,0,0,10,6,0,1,134,57,58,56.1,577,144,29,1,12,42,5,1,136,0,0,1,3.83,3.9,3.77,3.94,3.79,1.39,9.13,2.82,3.24,0.81,23.6,7.3,16.3,0.348,76.4,2.82,3.45,0.04,80.32,74.95,80.85,0.276,0.333,0.404,0.737,2225,89,16.6,3.86,11,45.8,2,8.3,7,0,0,104,7,15,9,62.5,0,0,16,4,25,5.54,92.08,52.04,2.02,4.39,0,0,0,0,1,0,0,0,100,0,0,0,0,15,9,0,0,,16,4,25,1,15,1.23,0.07,0.348,379,47,4.3,45.2,49.5,3.6,0.9,6.2,5.6
엔스,4.33,30,30,0,0,0,0,13,6,0,0,167.2,78,84,83.65,714,169,29,3,16,50,6,0,157,9,0,4,4.19,4.51,4.49,4.64,4.03,1.31,8.43,2.68,3.14,0.86,22,7,15,0.321,69.5,2.99,3.6,0.16,87.84,88.25,85.91,0.263,0.319,0.392,0.711,2906,96.9,17.3,4.07,13,43.3,1,3.3,5,0,0,115,6.2,19,11,63.3,0,0,8,1,12.5,5.59,96.87,51.4,1.35,4.33,0,0,0,0,0,0,0,0,,0,0,0,0,14,13,0,0,,8,1,12.5,,,,,0.321,476,48.7,6,42.9,48.9,2.4,1,6.5,9.5
손주영,4.31,28,27,1,0,0,0,9,10,0,1,144.2,61,71,65.3,637,157,16,0,11,54,10,0,112,9,0,6,3.79,4.42,4.06,4.26,4.54,1.46,6.97,3.36,2.07,0.68,17.6,8.5,9.1,0.329,72.8,3.72,4.31,-0.75,79.62,81.04,96.8,0.279,0.35,0.367,0.717,2532,90.4,17.5,3.97,11,40.7,3,11.1,7,0,0,99,6.2,12,14,46.2,0,0,15,10,66.7,5.32,92.93,49.41,1.68,4.23,0,0,0,0,1,0,0,0,100,0,0,0,0,13,10,0,0,,15,10,66.7,1,23,1.45,0.08,0.329,444,53.8,4.6,37.7,42.3,3.9,1.3,5.6,9.6
최원태,3.3,24,23,1,0,0,0,9,7,0,0,126.2,60,66,62.2,554,126,20,1,10,57,5,0,103,6,0,5,4.26,4.69,4.42,4.58,4.62,1.44,7.32,4.05,1.81,0.71,18.6,10.3,8.3,0.309,70.1,3.78,4.4,-0.36,89.44,87.19,98.57,0.263,0.342,0.371,0.713,2117,88.2,16.7,3.82,10,43.5,3,13,6,0,0,92,6.8,10,12,45.5,0,0,17,7,41.2,5.28,88.26,49.83,1.13,3.28,0,0,1,0,0,0,1,1,0,0,0,0,1,8,10,2,0,0,17,7,41.2,5.33,87,1.73,0.02,0.309,375,47.6,5.7,43.2,48.8,3.6,1,5.3,9.5
켈리,2.2,19,19,0,2,2,1,5,8,0,0,113.2,57,65,65,495,131,18,1,13,25,6,0,69,4,0,9,4.51,5.15,5.15,5.28,4.89,1.37,5.46,1.98,2.76,1.03,13.9,5.1,8.9,0.313,67.4,3.65,4.33,-0.37,94.69,100.36,104.22,0.29,0.331,0.421,0.752,1813,95.4,16,3.66,11,57.9,3,15.8,2,0,0,47,3.7,10,9,52.6,0,0,2,0,0,5.98,95.42,47.53,0.18,2.2,0,0,0,0,0,0,0,0,,0,0,0,0,4,11,0,0,,2,0,0,,,,,0.313,377,41,4.3,49.1,53.4,5.6,0.8,6.2,6.1
에르난데스,1.59,11,9,2,1,0,0,3,2,1,1,47,21,21,19.45,195,41,6,1,5,16,2,0,55,1,0,1,4.02,4.02,3.72,3.92,3.73,1.21,10.53,3.06,3.44,0.96,28.2,8.2,20,0.308,73.1,2.56,3,0.29,84.37,74.66,79.46,0.233,0.303,0.364,0.667,792,72,16.9,4.06,2,22.2,0,0,5,0,0,43,8.8,5,4,55.6,0,0,4,3,75,4.89,83,52.78,0.56,1.35,1,0,1,1,1,0,0,0,100,0,0,0,0,7,3,0,0,,4,3,75,1.5,22.5,1.4,0.24,0.308,117,36.1,6.6,53.3,59.8,4.1,0.6,6.8,4.9
김진성,1.23,71,0,71,6,0,0,3,3,1,27,70.1,31,34,38.35,294,62,11,1,11,23,7,3,61,4,0,2,3.97,4.35,4.91,5.13,5.17,1.21,7.81,2.94,2.65,1.41,20.7,7.8,12.9,0.27,75.3,3.44,3.85,-1.2,83.23,97.64,110.24,0.239,0.316,0.417,0.733,1144,16.1,16.3,3.89,0,,0,,0,0,0,40,,0,0,,0,0,13,3,23.1,,,,,,21,2,15,1,27,7,1,8,77.8,1,7,1,1,35,13,57,11,19.3,13,3,23.1,0.99,16.11,1.66,1.23,0.27,189,29.6,10.8,56.2,67,3.4,0.4,8.1,1.6
유영찬,1.06,62,0,62,50,0,0,7,5,26,1,63.2,21,24,35.5,286,61,15,0,2,30,3,3,77,3,2,5,2.97,3.39,5.02,5.22,3.06,1.43,10.89,4.24,2.57,0.28,26.9,10.5,16.4,0.343,76.9,2.78,3.43,-0.09,62.28,99.22,65.22,0.246,0.331,0.331,0.662,1105,17.8,17.4,3.86,0,,0,,0,0,0,18,,0,0,,0,0,5,1,20,,,,,,15,1,15,26,1,6,0,6,81.8,6,0,4,0,25,14,41,23,56.1,5,1,20,1.03,17.82,1.86,1.06,0.343,172,44.3,7.4,45.5,52.8,2.8,0.8,2.2,8.2
김유영,0.84,53,2,51,6,0,0,1,2,1,6,47.2,20,27,25.7,212,50,7,0,2,16,4,0,42,8,1,3,3.78,5.1,4.85,4.99,3.8,1.38,7.93,3.02,2.63,0.38,19.8,7.5,12.3,0.331,64.2,3.4,3.93,-0.02,79.23,94.89,80.95,0.269,0.335,0.339,0.674,847,16,17.8,4,0,0,0,0,2,0,0,39,100,0,2,0,0,0,26,11,42.3,1.67,31.5,48.5,-0.08,-0.02,10,1,7,1,6,0,1,1,87.5,0,1,0,1,8,9,24,9,37.5,26,11,42.3,0.87,15.37,0.81,0.86,0.331,145,48.7,2,46,48,3.3,1,2.8,4
이상영,0.53,8,3,5,0,0,0,0,1,0,1,16.1,6,6,7.05,75,15,0,0,1,8,4,0,8,0,0,2,3.31,3.31,3.88,4.2,5.98,1.41,4.41,4.41,1,0.55,10.7,10.7,0,0.259,80.8,5.34,5.4,-2.67,69.36,79.85,127.52,0.242,0.36,0.29,0.65,302,37.8,18.5,4.03,0,0,0,0,3,0,0,5,3.5,1,2,33.3,0,0,8,1,12.5,4.33,72.67,52,0.43,0.66,1,0,0,0,1,0,0,0,100,0,0,0,0,1,2,3,3,100,8,1,12.5,0.67,16.8,0.66,-0.14,0.259,54,60,5.5,32.7,38.2,1.8,1.6,4.8,13.3
이종준,0.52,27,0,27,13,0,0,1,2,0,1,26,12,13,12.65,119,26,5,0,4,16,0,0,28,1,0,1,4.15,4.5,4.38,4.5,5.25,1.62,9.69,5.54,1.75,1.39,23.5,13.4,10.1,0.314,80.6,3.5,4.19,-1.09,87.15,85.68,111.84,0.255,0.356,0.422,0.778,489,18.1,18.8,4.11,0,,0,,0,0,0,12,,0,0,,0,0,12,2,16.7,,,,,,2,0,5,0,1,0,0,0,100,0,0,0,0,2,5,6,1,16.7,12,2,16.7,0.96,18.11,0.42,0.52,0.314,70,53.3,6.7,36,42.7,4,1.3,12.5,3.8
함덕주,0.32,15,0,15,1,0,0,0,1,0,3,11.2,7,7,4.95,54,13,0,1,2,7,1,0,8,0,0,0,5.4,5.4,3.82,4.02,6.65,1.71,6.17,5.4,1.14,1.54,14.8,13,1.9,0.333,77.8,4.73,5.18,-1.25,113.3,76.56,141.8,0.302,0.412,0.488,0.9,205,13.7,17.6,3.8,0,,0,,0,0,0,5,,0,0,,0,0,11,4,36.4,,,,,,2,0,0,0,3,0,0,0,100,0,0,0,0,2,3,1,0,0,11,4,36.4,0.78,13.67,0.92,0.32,0.333,33,42.1,5.3,50,55.3,2.6,0.8,9.5,7.7
우강훈,0.27,13,0,13,5,0,0,1,0,0,0,11.2,3,5,5.2,54,11,1,0,0,6,5,0,10,0,0,2,2.31,3.86,4.01,4.11,4.98,1.46,7.71,4.63,1.67,0,18.5,11.1,7.4,0.333,77.3,5.05,4.51,-2.66,48.56,78.22,106.17,0.256,0.407,0.279,0.686,212,16.3,18.2,3.93,0,,0,,0,0,0,5,,0,0,,0,0,7,1,14.3,,,,,,1,0,1,0,0,0,0,0,,0,0,0,0,0,2,2,1,50,7,1,14.3,0.9,16.31,0.42,0.27,0.333,33,60.6,0,39.4,39.4,0,1.5,0,18.2
임준형,0.19,18,1,17,3,0,0,0,0,0,0,13.2,10,10,7.95,62,16,4,0,2,4,3,0,13,0,0,0,6.59,6.59,5.24,5.48,5.15,1.46,8.56,2.63,3.25,1.32,21,6.5,14.5,0.359,65,3.51,3.66,1.43,138.17,104.22,109.82,0.302,0.377,0.491,0.868,240,13.3,17.6,3.87,0,0,0,0,1,0,0,12,100,1,0,100,0,0,11,6,54.5,0.67,16,48,0.03,0.05,1,0,2,0,0,0,0,0,,0,0,0,0,1,2,9,2,22.2,11,6,54.5,0.76,13.18,0.4,0.14,0.359,39,50,2.4,45.2,47.6,2.4,1.1,10,6.3
