Name,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
성동현,0,4,100,0,0,0,0,,,
이상영,0.259,54,60,5.5,32.7,38.2,1.8,1.6,4.8,13.3
김진성,0.27,189,29.6,10.8,56.2,67,3.4,0.4,8.1,1.6
김대현,0.273,99,33.3,4.8,58.1,62.9,3.8,0.5,9.1,12.1
박명근,0.274,84,38,7.6,51.1,58.7,3.3,0.6,11.1,10.3
진우영,0.292,24,12,4,80,84,4,0.1,4.8,0
에르난데스,0.308,117,36.1,6.6,53.3,59.8,4.1,0.6,6.8,4.9
최원태,0.309,375,47.6,5.7,43.2,48.8,3.6,1,5.3,9.5
김진수,0.311,45,45.8,2.1,50,52.1,2.1,0.9,12,0
켈리,0.313,377,41,4.3,49.1,53.4,5.6,0.8,6.2,6.1
이종준,0.314,70,53.3,6.7,36,42.7,4,1.3,12.5,3.8
이지강,0.316,177,46.4,6,43.2,49.2,4.4,0.9,5.6,8.2
엔스,0.321,476,48.7,6,42.9,48.9,2.4,1,6.5,9.5
손주영,0.329,444,53.8,4.6,37.7,42.3,3.9,1.3,5.6,9.6
백승현,0.33,91,43.3,7.2,49.5,56.7,0,0.8,5.5,3
김유영,0.331,145,48.7,2,46,48,3.3,1,2.8,4
함덕주,0.333,33,42.1,5.3,50,55.3,2.6,0.8,9.5,7.7
강효종,0.333,3,25,0,50,50,25,0.5,50,0
우강훈,0.333,33,60.6,0,39.4,39.4,0,1.5,0,18.2
유영찬,0.343,172,44.3,7.4,45.5,52.8,2.8,0.8,2.2,8.2
임찬규,0.348,379,47,4.3,45.2,49.5,3.6,0.9,6.2,5.6
김영준,0.359,53,46.4,0,51.8,51.8,1.8,0.9,6.9,4.8
임준형,0.359,39,50,2.4,45.2,47.6,2.4,1.1,10,6.3
윤호솔,0.364,11,27.3,0,72.7,72.7,0,0.4,0,0
이우찬,0.374,107,51.8,8.2,36.4,44.5,3.6,1.2,4.1,14.3
최동환,0.397,78,28,8.5,57.3,65.9,6.1,0.4,7.4,5.7
정지헌,0.405,42,45.5,0,50,50,4.5,0.9,9.1,5.3
정우영,0.425,73,60.8,4.1,28.4,32.4,6.8,1.9,0,9.7
김윤식,0.467,15,40,0,53.3,53.3,6.7,0.8,0,0
이믿음,0.524,21,28.6,4.8,66.7,71.4,0,0.4,0,0
