name,GR,IP,ERA,W,L,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war
김진성,71,70.1,3.97,3,3,21,2,15,1,27,7,1,8,77.8,1,7,1,1,35,13,57,11,19.3,13,3,23.1,0.99,16.11,1.66,1.23
유영찬,62,63.2,2.97,7,5,15,1,15,26,1,6,0,6,81.8,6,0,4,0,25,14,41,23,56.1,5,1,20,1.03,17.82,1.86,1.06
김유영,51,44.1,3.86,1,1,10,1,7,1,6,0,1,1,87.5,0,1,0,1,8,9,24,9,37.5,26,11,42.3,0.87,15.37,0.81,0.86
이종준,27,26,4.15,1,2,2,0,5,0,1,0,0,0,100,0,0,0,0,2,5,6,1,16.7,12,2,16.7,0.96,18.11,0.42,0.52
함덕주,15,11.2,5.4,0,1,2,0,0,0,3,0,0,0,100,0,0,0,0,2,3,1,0,0,11,4,36.4,0.78,13.67,0.92,0.32
우강훈,13,11.2,2.31,1,0,1,0,1,0,0,0,0,0,,0,0,0,0,0,2,2,1,50,7,1,14.3,0.9,16.31,0.42,0.27
이지강,44,47.2,4.15,2,2,11,0,15,1,1,1,1,2,50,0,0,1,0,7,17,30,16,53.3,28,10,35.7,1.08,19.45,0.95,0.25
에르난데스,2,3,0,0,0,1,0,1,1,1,0,0,0,100,0,0,0,0,7,3,0,0,,4,3,75,1.5,22.5,1.4,0.24
임준형,17,13,6.92,0,0,1,0,2,0,0,0,0,0,,0,0,0,0,1,2,9,2,22.2,11,6,54.5,0.76,13.18,0.4,0.14
진우영,6,7.2,4.7,0,0,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,,1.28,23.67,0.02,0.12
김대현,37,35,5.4,2,0,8,0,8,1,1,2,0,2,50,0,0,1,0,5,7,33,13,39.4,15,5,33.3,0.95,15.14,0.79,0.11
윤호솔,7,4.1,4.15,0,0,1,0,1,0,0,0,0,0,,0,0,0,0,0,0,3,0,0,6,1,16.7,0.62,15.57,0.2,0.11
정우영,27,22.2,4.76,2,1,2,0,1,0,3,2,0,2,60,0,0,1,0,6,6,12,8,66.7,14,7,50,0.84,14.41,0.94,0.09
김진수,7,13.1,6.75,0,1,1,0,4,0,0,0,0,0,,0,0,0,0,0,2,5,3,60,4,4,100,1.9,31.43,0.82,0.09
성동현,2,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1,18,0.02,0.08
손주영,1,1,0,0,0,0,0,0,0,1,0,0,0,100,0,0,0,0,13,10,0,0,,15,10,66.7,1,23,1.45,0.08
임찬규,1,1,0,0,0,0,0,0,0,1,0,0,0,100,0,0,0,0,15,9,0,0,,16,4,25,1,15,1.23,0.07
최원태,1,5.1,6.75,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,8,10,2,0,0,17,7,41.2,5.33,87,1.73,0.02
이상영,5,3.1,8.1,0,0,1,0,0,0,1,0,0,0,100,0,0,0,0,1,2,3,3,100,8,1,12.5,0.67,16.8,0.66,-0.14
최동환,26,22,6.95,0,1,6,0,3,0,2,0,0,0,100,0,0,0,0,4,4,11,4,36.4,9,1,11.1,0.85,15.08,0.53,-0.23
김영준,14,15.1,8.22,1,1,1,0,4,0,0,1,0,1,0,0,0,1,0,2,1,8,3,37.5,8,4,50,1.1,23.21,0.44,-0.33
박명근,33,25.1,6.39,2,2,4,0,2,1,8,0,0,0,100,0,1,0,0,4,5,21,10,47.6,21,9,42.9,0.77,13.52,1.25,-0.34
정지헌,17,12.1,11.68,0,0,4,0,1,0,1,0,0,0,100,0,0,0,0,0,2,13,2,15.4,14,7,50,0.73,16,0.42,-0.41
백승현,36,26.2,9.11,2,1,3,0,1,2,1,1,1,2,60,0,0,0,1,3,8,22,10,45.5,22,14,63.6,0.74,14.89,0.81,-0.5
이우찬,41,33.1,7.83,3,1,11,0,3,0,6,0,2,2,75,0,3,0,2,11,10,34,12,35.3,29,15,51.7,0.81,15.9,1.12,-0.55
김윤식,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,0,0,,,,,
켈리,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,4,11,0,0,,2,0,0,,,,
강효종,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,2,0,0,,,,
이믿음,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,0,0,,,,,
엔스,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,14,13,0,0,,8,1,12.5,,,,
