Name,FIP,G,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,ERA,RA9,rRA9,rRA9pf,FIP,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA
유영찬,3.06,62,10.89,4.24,2.57,0.28,26.9,10.5,16.4,0.343,76.9,2.97,3.39,5.02,5.22,3.06,2.78,3.43,-0.09,62.28,99.22,65.22,0.246,0.331,0.331,0.662,1105,17.8,17.4,3.86
에르난데스,3.73,11,10.53,3.06,3.44,0.96,28.2,8.2,20,0.308,73.1,4.02,4.02,3.72,3.92,3.73,2.56,3,0.29,84.37,74.66,79.46,0.233,0.303,0.364,0.667,792,72,16.9,4.06
임찬규,3.79,25,9.13,2.82,3.24,0.81,23.6,7.3,16.3,0.348,76.4,3.83,3.9,3.77,3.94,3.79,2.82,3.45,0.04,80.32,74.95,80.85,0.276,0.333,0.404,0.737,2225,89,16.6,3.86
김유영,3.8,53,7.93,3.02,2.63,0.38,19.8,7.5,12.3,0.331,64.2,3.78,5.1,4.85,4.99,3.8,3.4,3.93,-0.02,79.23,94.89,80.95,0.269,0.335,0.339,0.674,847,16,17.8,4
엔스,4.03,30,8.43,2.68,3.14,0.86,22,7,15,0.321,69.5,4.19,4.51,4.49,4.64,4.03,2.99,3.6,0.16,87.84,88.25,85.91,0.263,0.319,0.392,0.711,2906,96.9,17.3,4.07
김윤식,4.4,1,3,3,1,0,5.9,5.9,0,0.467,50,12,12,12,12.94,4.4,4.57,5.4,7.6,251.77,246.09,93.8,0.438,0.471,0.563,1.034,61,61,20.3,3.59
손주영,4.54,28,6.97,3.36,2.07,0.68,17.6,8.5,9.1,0.329,72.8,3.79,4.42,4.06,4.26,4.54,3.72,4.31,-0.75,79.62,81.04,96.8,0.279,0.35,0.367,0.717,2532,90.4,17.5,3.97
최원태,4.62,24,7.32,4.05,1.81,0.71,18.6,10.3,8.3,0.309,70.1,4.26,4.69,4.42,4.58,4.62,3.78,4.4,-0.36,89.44,87.19,98.57,0.263,0.342,0.371,0.713,2117,88.2,16.7,3.82
정우영,4.65,27,6.75,4.37,1.55,0,15.7,10.2,5.6,0.425,68.8,4.76,5.96,5.96,6.38,4.65,4.72,4.73,0.12,99.97,121.43,99.13,0.344,0.449,0.411,0.86,389,14.4,17.2,3.6
켈리,4.89,19,5.46,1.98,2.76,1.03,13.9,5.1,8.9,0.313,67.4,4.51,5.15,5.15,5.28,4.89,3.65,4.33,-0.37,94.69,100.36,104.22,0.29,0.331,0.421,0.752,1813,95.4,16,3.66
