name,G,GS,IP,ERA,W,L,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,start BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war
임찬규,25,24,133,3.86,10,6,11,45.8,2,8.3,7,0,0,104,7,15,9,62.5,0,0,16,4,25,5.54,92.08,52.04,2.02,4.39
엔스,30,30,167.2,4.19,13,6,13,43.3,1,3.3,5,0,0,115,6.2,19,11,63.3,0,0,8,1,12.5,5.59,96.87,51.4,1.35,4.33
손주영,28,27,143.2,3.82,9,10,11,40.7,3,11.1,7,0,0,99,6.2,12,14,46.2,0,0,15,10,66.7,5.32,92.93,49.41,1.68,4.23
최원태,24,23,121.1,4.15,8,7,10,43.5,3,13,6,0,0,92,6.8,10,12,45.5,0,0,17,7,41.2,5.28,88.26,49.83,1.13,3.28
켈리,19,19,113.2,4.51,5,8,11,57.9,3,15.8,2,0,0,47,3.7,10,9,52.6,0,0,2,0,0,5.98,95.42,47.53,0.18,2.2
에르난데스,11,9,44,4.3,3,2,2,22.2,0,0,5,0,0,43,8.8,5,4,55.6,0,0,4,3,75,4.89,83,52.78,0.56,1.35
이상영,8,3,13,2.08,0,1,0,0,0,0,3,0,0,5,3.5,1,2,33.3,0,0,8,1,12.5,4.33,72.67,52,0.43,0.66
임준형,18,1,0.2,0,0,0,0,0,0,0,1,0,0,12,100,1,0,100,0,0,11,6,54.5,0.67,16,48,0.03,0.05
김유영,53,2,3.1,2.7,0,1,0,0,0,0,2,0,0,39,100,0,2,0,0,0,26,11,42.3,1.67,31.5,48.5,-0.08,-0.02
강효종,1,1,1.1,20.25,0,0,0,0,0,0,1,0,0,1,6.8,1,0,100,0,0,2,0,0,1.33,33,37,-0.13,-0.1
김윤식,1,1,3,12,0,0,0,0,0,0,0,0,0,1,3,1,0,100,0,0,0,0,,3,61,29,-0.17,-0.11
이지강,46,2,6,7.5,0,1,0,0,0,0,1,0,0,18,27,1,1,50,0,0,28,10,35.7,3,58.5,38.5,-0.25,-0.15
이우찬,42,1,0.1,99.99,0,1,0,0,0,0,0,0,0,20,100,0,1,0,0,0,29,15,51.7,0.33,26,29,-0.19,-0.19
이믿음,1,1,4,15.75,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,4,96,10,-0.34,-0.27
우강훈,13,0,0,,0,0,0,,0,,0,0,0,5,,0,0,,0,0,7,1,14.3,,,,,
김영준,14,0,0,,0,0,0,,0,,0,0,0,17,,0,0,,0,0,8,4,50,,,,,
진우영,6,0,0,,0,0,0,,0,,0,0,0,2,,0,0,,0,0,0,0,,,,,,
김진성,71,0,0,,0,0,0,,0,,0,0,0,40,,0,0,,0,0,13,3,23.1,,,,,
이종준,27,0,0,,0,0,0,,0,,0,0,0,12,,0,0,,0,0,12,2,16.7,,,,,
성동현,2,0,0,,0,0,0,,0,,0,0,0,3,,0,0,,0,0,0,0,,,,,,
김진수,7,0,0,,0,0,0,,0,,0,0,0,6,,0,0,,0,0,4,4,100,,,,,
정지헌,17,0,0,,0,0,0,,0,,0,0,0,6,,0,0,,0,0,14,7,50,,,,,
최동환,26,0,0,,0,0,0,,0,,0,0,0,6,,0,0,,0,0,9,1,11.1,,,,,
윤호솔,7,0,0,,0,0,0,,0,,0,0,0,5,,0,0,,0,0,6,1,16.7,,,,,
백승현,36,0,0,,0,0,0,,0,,0,0,0,20,,0,0,,0,0,22,14,63.6,,,,,
정우영,27,0,0,,0,0,0,,0,,0,0,0,23,,0,0,,0,0,14,7,50,,,,,
유영찬,62,0,0,,0,0,0,,0,,0,0,0,18,,0,0,,0,0,5,1,20,,,,,
박명근,33,0,0,,0,0,0,,0,,0,0,0,18,,0,0,,0,0,21,9,42.9,,,,,
함덕주,15,0,0,,0,0,0,,0,,0,0,0,5,,0,0,,0,0,11,4,36.4,,,,,
김대현,37,0,0,,0,0,0,,0,,0,0,0,26,,0,0,,0,0,15,5,33.3,,,,,
