Name,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
김유영,0.211,19,73.7,0,26.3,26.3,0,2.8,0,25
고효준,0.225,49,50,7.7,38.5,46.2,3.8,1.1,12.5,28.6
구승민,0.225,142,39.6,4.5,51.9,56.5,3.9,0.7,9.2,7.5
오현택,0.269,119,40.8,4.8,52,56.8,2.4,0.7,7,5.4
김원중,0.277,159,39.6,3,55.6,58.6,1.8,0.7,8.1,7.7
스트레일리,0.277,498,40.9,7.2,48.8,56,3.1,0.7,3.5,10.1
노경은,0.279,430,44.3,6.2,48.7,54.8,0.9,0.8,7.6,4.3
박시영,0.29,93,44,6,49,55,1,0.8,9.1,3.1
강동호,0.294,34,37.8,5.4,51.4,56.8,5.4,0.7,14.3,7.7
김건국,0.298,94,52.1,3.1,43.8,46.9,1,1.1,4.4,0
진명호,0.302,86,45.6,6.7,47.8,54.4,0,0.8,6.1,3.4
이승헌,0.311,106,60,3.6,31.8,35.5,4.5,1.7,2.6,11.8
서준원,0.315,362,49.2,3.1,45.8,49,1.8,1,8.5,7.7
최준용,0.326,86,36.3,6.6,53.8,60.4,3.3,0.6,5.5,9.7
김대우,0.331,142,59.3,4.8,33.8,38.6,2.1,1.5,1.8,10.4
박세웅,0.333,472,48.1,3,46.7,49.7,2.2,1,8.1,6.8
한승혁,0.333,24,50,8.3,33.3,41.7,8.3,1.2,0,0
장원삼,0.344,125,48.5,3.8,46.2,50,1.5,1,9.1,2
이인복,0.346,159,61.8,3,31.5,34.5,3.6,1.8,3.5,12.3
샘슨,0.346,442,49,4.8,43.4,48.2,2.8,1,6.3,4.8
송승준,0.384,73,50.6,2.6,46.8,49.4,0,1,5.3,6.7
최영환,0.395,38,42.9,0,52.4,52.4,4.8,0.8,18.2,15.8
박진형,0.412,119,45.7,4.7,48,52.8,1.6,0.9,10.4,12.5
정태승,0.5,6,62.5,0,25,25,12.5,2.5,50,0
박명현,0.6,5,60,0,40,40,0,1.5,0,0
