name,G,GS,IP,ERA,W,L,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,start BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war
스트레일리,31,31,194.2,2.5,15,4,21,67.7,12,38.7,4,0,0,122,5.6,21,10,67.7,0,0,9,2,22.2,6.28,101.84,61.23,5.54,9
노경은,25,24,131.2,4.65,5,10,11,45.8,3,12.5,5,0,0,69,4.7,11,12,47.8,0,0,14,6,42.9,5.49,88.08,47.79,0.86,3.2
박세웅,28,28,147.1,4.7,8,10,8,28.6,3,10.7,9,0,0,94,5.7,14,14,50,0,0,15,1,6.7,5.26,90.29,46.18,0.29,2.91
샘슨,25,25,130,5.4,9,12,10,40,2,8,5,0,0,81,5.6,10,15,40,0,0,20,11,55,5.2,88.08,43.56,-0.24,2.07
서준원,31,20,97,5.01,7,5,6,30,0,0,7,0,0,67,6.2,10,10,50,0,0,13,8,61.5,4.85,84.9,44.25,-0.15,1.58
이승헌,8,8,36.2,4.66,3,2,2,25,1,12.5,3,0,0,31,7.6,3,5,37.5,0,0,6,6,100,4.58,81.38,49.13,0.08,0.73
김대우,46,1,2.1,3.86,0,0,0,0,0,0,1,0,0,19,73.3,1,0,100,0,0,5,4,80,2.33,42,51,0.1,0.14
이인복,47,1,1,9,0,1,0,0,0,0,1,0,0,17,100,0,1,0,0,0,17,4,23.5,1,25,47,-0.03,-0.01
최영환,6,1,3.1,5.4,0,1,0,0,0,0,0,0,0,3,8.1,0,1,0,0,0,4,3,75,3.33,70,32,-0.16,-0.1
장원삼,13,4,19.1,8.38,0,2,1,25,0,0,0,0,0,21,9.8,1,3,25,0,0,7,5,71.4,4.83,82,33.5,-0.51,-0.17
송승준,22,1,0.1,99.99,0,1,0,0,0,0,0,0,0,13,100,0,1,0,0,0,14,3,21.4,0.33,22,25,-0.29,-0.28
한승혁,9,0,0,,0,0,0,,0,,0,0,0,7,,0,0,,0,0,6,2,33.3,,,,,
박명현,2,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,1,0,0,,,,,
정태승,1,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,1,0,0,,,,,
오현택,48,0,0,,0,0,0,,0,,0,0,0,28,,0,0,,0,0,13,7,53.8,,,,,
박시영,36,0,0,,0,0,0,,0,,0,0,0,32,,0,0,,0,0,15,7,46.7,,,,,
강동호,7,0,0,,0,0,0,,0,,0,0,0,7,,0,0,,0,0,0,0,,,,,,
최준용,31,0,0,,0,0,0,,0,,0,0,0,21,,0,0,,0,0,9,4,44.4,,,,,
고효준,24,0,0,,0,0,0,,0,,0,0,0,8,,0,0,,0,0,10,3,30,,,,,
진명호,37,0,0,,0,0,0,,0,,0,0,0,17,,0,0,,0,0,11,8,72.7,,,,,
김유영,12,0,0,,0,0,0,,0,,0,0,0,5,,0,0,,0,0,5,3,60,,,,,
박진형,53,0,0,,0,0,0,,0,,0,0,0,20,,0,0,,0,0,21,6,28.6,,,,,
김원중,58,0,0,,0,0,0,,0,,0,0,0,12,,0,0,,0,0,0,0,,,,,,
구승민,57,0,0,,0,0,0,,0,,0,0,0,30,,0,0,,0,0,10,3,30,,,,,
김건국,32,0,0,,0,0,0,,0,,0,0,0,26,,0,0,,0,0,13,4,30.8,,,,,
