Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD_1,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP_2,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
스트레일리,9,31,31,0,0,0,0,15,4,0,0,194.2,54,61,60.3,777,148,27,2,10,51,7,0,205,7,0,4,2.5,2.82,2.79,2.65,2.9,1.02,9.48,2.36,4.02,0.46,26.4,6.6,19.8,0.277,75.5,2.38,3.02,-0.4,49.78,48.21,57.77,0.209,0.267,0.295,0.562,3157,101.8,16.2,4.06,21,67.7,12,38.7,4,0,0,122,5.6,21,10,67.7,0,0,9,2,22.2,6.28,101.84,61.23,5.54,9,0,0,0,0,0,0,0,0,,0,0,0,0,20,5,0,0,,9,2,22.2,,,,,0.277,498,40.9,7.2,48.8,56,3.1,0.7,3.5,10.1,,,,,,
노경은,2.93,25,24,1,1,1,0,5,10,0,0,133,72,76,73.4,574,139,31,1,19,40,3,2,77,6,0,3,4.87,5.14,4.97,4.77,5.2,1.35,5.21,2.71,1.93,1.29,13.4,7,6.4,0.279,68.4,3.62,4.63,-0.33,97.14,86.77,103.75,0.267,0.32,0.44,0.76,2138,85.5,16.1,3.72,11,45.8,3,12.5,5,0,0,69,4.7,11,12,47.8,0,0,14,6,42.9,5.49,88.08,47.79,0.86,3.2,0,0,1,0,0,0,0,0,,0,0,0,0,10,12,1,1,100,14,6,42.9,1.33,24,1.29,-0.27,0.279,430,44.3,6.2,48.7,54.8,0.9,0.8,7.6,4.3,,,,,,
박세웅,2.91,28,28,0,0,0,0,8,10,0,0,147.1,77,85,84.3,658,177,27,2,20,47,8,0,108,8,0,13,4.7,5.19,5.15,5.03,4.94,1.52,6.6,2.87,2.3,1.22,16.4,7.1,9.3,0.333,72.1,3.43,4.29,-0.23,93.78,91.58,98.4,0.298,0.354,0.452,0.806,2528,90.3,17.2,3.84,8,28.6,3,10.7,9,0,0,94,5.7,14,14,50,0,0,15,1,6.7,5.26,90.29,46.18,0.29,2.91,0,0,0,0,0,0,0,0,,0,0,0,0,6,12,0,0,,15,1,6.7,,,,,0.333,472,48.1,3,46.7,49.7,2.2,1,8.1,6.8,,,,,,
샘슨,2.07,25,25,0,0,0,0,9,12,0,0,130,78,87,81.5,590,167,25,1,14,36,6,0,87,7,2,8,5.4,6.02,5.64,5.42,4.61,1.56,6.02,2.49,2.42,0.97,14.7,6.1,8.6,0.346,64.6,3.43,4.36,0.79,107.67,98.64,91.82,0.308,0.357,0.435,0.792,2202,88.1,16.9,3.73,10,40,2,8,5,0,0,81,5.6,10,15,40,0,0,20,11,55,5.2,88.08,43.56,-0.24,2.07,0,0,0,0,0,0,0,0,,0,0,0,0,10,12,0,0,,20,11,55,,,,,0.346,442,49,4.8,43.4,48.2,2.8,1,6.3,4.8,,,,,,
구승민,1.72,57,0,57,3,0,0,5,2,0,20,60.1,24,25,28.95,238,40,9,0,8,26,0,2,58,2,0,1,3.58,3.73,4.32,4.08,4.45,1.09,8.65,3.88,2.23,1.19,24.4,10.9,13.4,0.225,74.5,2.97,3.79,-0.87,71.38,74.27,88.81,0.193,0.282,0.353,0.635,974,17.1,16.1,4.09,0,,0,,0,0,0,30,,0,0,,0,0,10,3,30,,,,,,15,1,16,0,20,3,2,5,80,0,4,2,1,25,11,29,11,37.9,10,3,30,1.06,17.09,1.54,1.72,0.225,142,39.6,4.5,51.9,56.5,3.9,0.7,9.2,7.5,,,,,,
서준원,1.57,31,20,11,1,0,0,7,6,0,0,107.2,62,71,68.3,480,130,18,0,16,31,5,1,60,9,0,3,5.18,5.93,5.71,5.47,5.38,1.5,5.02,2.59,1.94,1.34,12.5,6.5,6,0.315,66,3.72,4.68,-0.2,103.34,99.62,107.23,0.298,0.35,0.45,0.8,1850,59.7,17.2,3.85,6,30,0,0,7,0,0,67,6.2,10,10,50,0,0,13,8,61.5,4.85,84.9,44.25,-0.15,1.58,0,0,3,0,0,0,0,0,,0,0,0,0,10,13,9,3,33.3,13,8,61.5,0.97,13.82,1.49,-0.01,0.315,362,49.2,3.1,45.8,49,1.8,1,8.5,7.7,,,,,,
김원중,1.39,58,0,58,47,0,0,5,4,25,0,59.1,26,29,31.05,249,52,14,1,8,23,0,5,57,1,0,1,3.94,4.4,4.71,4.5,4.19,1.26,8.65,3.49,2.48,1.21,22.9,9.2,13.7,0.277,71.9,2.69,3.76,-0.25,78.63,81.84,83.56,0.235,0.304,0.416,0.72,966,16.7,16.3,3.88,0,,0,,0,0,0,12,,0,0,,0,0,0,0,,,,,,,13,2,9,25,0,8,0,8,75.8,2,0,3,0,24,11,15,4,26.7,0,0,,1.02,16.66,1.66,1.39,0.277,159,39.6,3,55.6,58.6,1.8,0.7,8.1,7.7,,,,,,
김대우,1.12,46,1,45,16,0,0,0,1,0,0,49.1,17,22,24.85,216,48,11,0,1,26,2,1,43,2,1,5,3.1,4.01,4.53,4.21,3.82,1.5,7.85,4.74,1.65,0.18,19.9,12,7.9,0.331,72,3.65,4.46,-0.72,61.84,76.61,76.1,0.259,0.355,0.335,0.69,797,17.3,16.2,3.69,0,0,0,0,1,0,0,19,73.3,1,0,100,0,0,5,4,80,2.33,42,51,0.1,0.14,9,2,12,0,0,0,0,0,,0,0,0,0,6,9,24,11,45.8,5,4,80,1.04,16.78,0.66,0.98,0.331,142,59.3,4.8,33.8,38.6,2.1,1.5,1.8,10.4,,,,,,
오현택,0.96,48,0,48,10,0,0,3,1,0,7,36,15,15,15.3,152,37,6,1,5,8,2,1,17,1,0,1,3.75,3.75,3.83,3.81,5.24,1.25,4.25,2,2.13,1.25,11.2,5.3,5.9,0.269,80,3.72,4.69,-1.49,74.77,69.24,104.53,0.262,0.311,0.426,0.737,575,12,16,3.78,0,,0,,0,0,0,28,,0,0,,0,0,13,7,53.8,,,,,,11,2,4,0,7,1,0,1,87.5,0,1,1,0,8,7,34,10,29.4,13,7,53.8,0.75,11.98,0.8,0.96,0.269,119,40.8,4.8,52,56.8,2.4,0.7,7,5.4,,,,,,
김건국,0.76,32,0,32,5,0,0,3,2,0,1,31.2,14,14,14.7,139,30,5,2,2,9,3,0,31,4,0,4,3.98,3.98,4.18,3.93,3.47,1.23,8.81,2.56,3.44,0.57,22.3,6.5,15.8,0.298,71.8,2.81,3.5,0.5,79.33,71.46,69.27,0.238,0.302,0.357,0.659,546,17.1,17.2,3.93,0,,0,,0,0,0,26,,0,0,,0,0,13,4,30.8,,,,,,6,0,7,0,1,1,0,1,50,0,0,1,0,4,2,13,6,46.2,13,4,30.8,0.99,17.06,0.55,0.76,0.298,94,52.1,3.1,43.8,46.9,1,1.1,4.4,0,,,,,,
