name,GR,IP,ERA,W,L,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war
최준용,44,47.1,2.85,4,2,12,1,7,1,20,2,0,2,91.3,0,2,0,0,25,4,5,1,20,8,3,37.5,1.08,17.36,1.54,2.16
김원중,61,62.2,3.59,4,4,18,1,6,35,0,5,0,5,87.5,2,0,1,0,34,8,14,4,28.6,0,0,,1.03,16.85,1.91,2.07
구승민,68,62.1,4.33,6,5,19,4,6,0,20,3,1,4,83.3,0,4,0,0,26,11,23,5,21.7,17,5,29.4,0.92,15.34,1.3,1.55
김진욱,34,27.1,3.29,4,3,7,0,4,0,8,0,0,0,100,0,0,0,0,8,9,19,7,36.8,24,5,20.8,0.8,17.88,1.01,0.7
프랑코,10,13.2,3.29,0,0,3,0,3,0,1,0,0,0,100,0,0,0,0,12,13,2,1,50,12,3,25,1.37,23.7,0.94,0.42
김도규,43,42,5.79,2,1,11,2,11,0,5,0,0,0,100,0,2,0,0,11,7,29,6,20.7,19,9,47.4,0.98,17.26,0.85,0.36
이승헌,4,7,1.29,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,2,4,1,1,100,14,7,50,1.75,24.75,0.28,0.25
진명호,33,24.1,4.81,2,2,7,0,0,0,3,0,0,0,100,0,0,0,0,4,6,18,7,38.9,16,4,25,0.74,14.27,0.84,0.22
김대우,39,35.1,5.09,2,2,9,1,5,0,9,3,1,4,69.2,0,1,2,1,10,10,22,11,50,18,9,50,0.91,17.21,1.3,0.21
김건국,13,22,6.55,0,0,1,0,9,0,0,0,0,0,,0,0,0,0,1,0,6,0,0,3,1,33.3,1.69,32.31,0.26,0.13
박선우,1,2,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,2,37,0.01,0.08
배성근,2,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,2,0,0,1,14,0,0.08
윤성빈,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1,23,0.02,0.04
김민수,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1,17,0.01,0.04
추재현,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,2,0,0,1,22,,0.04
오윤석,1,0.2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,,0.67,8,0,0.03
서준원,18,23,6.26,0,0,4,0,7,0,3,0,0,0,100,0,0,0,0,4,7,18,7,38.9,12,5,41.7,1.28,21.39,0.62,0.01
강동호,1,1.1,6.75,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1.33,24,0.01,0.01
정우준,6,5.2,9.53,0,0,0,0,2,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,3,3,100,0.94,19.83,0.35,0
홍민기,1,0.1,27,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,2,1,50,0.33,14,0.16,-0.01
강태율,1,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,100,0,0,,0.33,9,0,-0.02
박재민,5,2.2,16.88,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,3,3,100,0.53,11.2,0.18,-0.07
나원탁,2,2,13.5,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1,20,0.01,-0.09
최영환,13,12.1,7.3,0,0,1,0,4,0,0,0,0,0,,0,0,0,0,4,6,12,3,25,11,5,45.5,0.95,19.85,0.59,-0.11
이강준,11,5.2,9.53,0,0,3,1,1,0,0,0,2,2,0,0,0,0,2,0,2,9,4,44.4,9,6,66.7,0.52,13.09,0.75,-0.13
노경은,3,5.2,7.94,0,0,0,0,2,0,0,0,0,0,,0,0,0,0,2,8,4,3,75,7,2,28.6,1.89,33.33,0.43,-0.14
오현택,20,16.1,6.61,0,1,5,1,4,0,1,0,1,1,50,0,0,0,1,0,5,16,8,50,15,5,33.3,0.82,15.55,0.97,-0.14
정성종,12,12,8.25,0,0,2,0,2,0,0,0,0,0,,0,0,0,0,0,0,5,2,40,7,0,0,1,18.67,0.1,-0.15
