Name,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
이대호,0,1,100,0,0,0,0,,,
김대우,0.231,26,33.3,7.4,51.9,59.3,7.4,0.6,0,0
이강준,0.267,30,74.2,0,22.6,22.6,3.2,3.3,14.3,11.1
조무근,0.286,7,57.1,14.3,28.6,42.9,0,1.3,0,50
스트레일리,0.288,170,45.8,6.2,44.6,50.8,3.4,0.9,5.6,11.1
최준용,0.294,180,41.1,5.6,50.3,55.8,3,0.7,9.1,7.9
구승민,0.299,144,49.3,6,39.3,45.3,5.3,1.1,4.4,4.3
반즈,0.308,546,49.6,5,42.3,47.2,3.2,1,3,9.1
김도규,0.313,147,46.7,6,44.7,50.7,2.7,0.9,2.6,16.7
김진욱,0.32,125,48.5,6.8,42.4,49.2,2.3,1,4.6,14
정성종,0.333,12,66.7,0,25,25,8.3,2.7,0,0
서준원,0.333,186,58.3,3.6,34.4,38,3.6,1.5,4.1,12.3
이인복,0.339,434,55.2,2.7,38.9,41.6,3.2,1.3,3.3,12.4
문경찬,0.346,130,32.4,7.2,60.4,67.6,0,0.5,7.4,7.8
김원중,0.35,103,51.4,3.6,39.6,43.2,5.4,1.2,8.3,7.5
박세웅,0.359,477,56,4.9,35.7,40.6,3.4,1.4,4,8.4
나균안,0.36,333,44,4.7,49.3,53.9,2,0.8,2.7,12
진승현,0.37,27,41.4,0,51.7,51.7,6.9,0.8,13.3,0
스파크맨,0.379,240,48.8,5.6,40.8,46.4,4.8,1.1,5.2,14.4
이민석,0.386,101,55,3.7,36.7,40.4,4.6,1.4,9.1,9.3
진명호,0.4,55,43.1,10.3,46.6,56.9,0,0.8,3,0
김유영,0.401,172,53.7,3.4,40.1,43.5,2.8,1.2,5.2,11
강윤구,0.403,62,55.6,1.6,38.1,39.7,4.8,1.4,0,12
나원탁,0.444,18,15.8,5.3,73.7,78.9,5.3,0.2,6.7,0
김창훈,0.5,6,16.7,0,83.3,83.3,0,0.2,0,0
최영환,0.533,15,40,13.3,46.7,60,0,0.7,0,0
최건,0.636,11,27.3,0,63.6,63.6,9.1,0.4,0,0
이승헌,0.75,4,0,0,100,100,0,0,0,0
김민기,0.833,6,28.6,0,71.4,71.4,0,0.4,20,0
