Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
반즈,5.1,31,31,0,0,0,0,12,12,0,0,186.1,75,87,80.15,788,176,27,5,8,47,18,1,160,10,0,7,3.62,4.2,3.87,3.75,3.21,1.2,7.73,2.27,3.4,0.39,20.3,6,14.3,0.308,67,2.78,3.68,0.41,85.49,79.09,75.83,0.249,0.309,0.335,0.644,2945,95,15.8,3.74,18,58.1,10,32.3,3,0,0,94,4.5,13,18,41.9,0,0,25,14,56,6.01,95,53.81,1.79,5.1,0,0,0,0,0,0,0,0,,0,0,0,0,14,13,0,0,,25,14,56,,,,,0.308,546,49.6,5,42.3,47.2,3.2,1,3,9.1,1075,1045,1167,1063,766,1166
박세웅,3.31,28,28,0,0,0,0,10,11,0,0,157.1,68,80,77.45,679,179,32,4,8,32,8,1,146,12,0,8,3.89,4.58,4.43,4.31,2.84,1.34,8.35,1.83,4.56,0.46,21.5,4.7,16.8,0.359,66.8,2.3,3.39,1.05,91.8,90.86,66.97,0.284,0.326,0.386,0.712,2599,92.8,16.5,3.83,13,46.4,4,14.3,6,0,0,92,5.3,11,15,42.3,0,0,13,5,38.5,5.62,92.82,50.86,0.52,3.31,0,0,0,0,0,0,0,0,,0,0,0,0,14,11,0,0,,13,5,38.5,,,,,0.359,477,56,4.9,35.7,40.6,3.4,1.4,4,8.4,1075,1045,1167,1063,766,1166
이인복,3.02,26,23,3,0,0,0,9,9,0,1,126.2,59,63,60.25,547,153,22,1,6,30,4,0,71,6,0,4,4.19,4.48,4.28,4.06,3.78,1.44,5.05,2.13,2.37,0.43,13,5.5,7.5,0.339,69.3,3.29,4.5,0.41,98.93,85.51,89.17,0.303,0.343,0.386,0.729,2027,78,16,3.71,8,34.8,1,4.3,9,0,0,71,5.3,12,11,52.2,0,0,19,5,26.3,5.28,83.91,47.22,0.8,2.96,0,0,3,0,1,0,0,0,100,0,0,0,0,8,10,0,0,,19,5,26.3,1.78,32.33,0.59,0.06,0.339,434,55.2,2.7,38.9,41.6,3.2,1.3,3.3,12.4,1075,1045,1167,1063,766,1166
나균안,2.49,39,13,26,1,0,0,3,8,0,2,117.2,52,55,56.55,506,125,36,3,5,37,3,1,123,2,0,6,3.98,4.21,4.33,4.16,2.73,1.38,9.41,2.83,3.32,0.38,24.3,7.3,17,0.36,69.6,2.31,3.36,1.25,93.86,87.75,64.43,0.273,0.329,0.397,0.726,1961,50.3,16.7,3.88,6,46.2,3,23.1,2,0,0,49,6.2,5,8,38.5,0,0,18,6,33.3,5.49,89.15,50.23,0.37,1.64,2,0,16,0,2,3,3,6,25,0,1,0,2,13,14,15,10,66.7,18,6,33.3,1.78,30.85,1.17,0.85,0.36,333,44,4.7,49.3,53.9,2,0.8,2.7,12,1075,1045,1167,1063,766,1166
스트레일리,2.15,11,11,0,0,0,0,4,2,0,0,62.1,16,24,22.45,260,54,8,0,5,22,6,0,55,4,0,2,2.31,3.47,3.24,3.18,3.93,1.22,7.94,3.18,2.5,0.72,21.2,8.5,12.7,0.288,77.3,3.05,3.88,-1.62,54.52,66.92,92.64,0.236,0.318,0.336,0.654,1042,94.7,16.7,4.01,6,54.5,1,9.1,4,0,0,41,5.9,7,4,63.6,0,0,4,3,75,5.67,94.73,56.18,1.04,2.15,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,0,0,,4,3,75,,,,,0.288,170,45.8,6.2,44.6,50.8,3.4,0.9,5.6,11.1,1075,1045,1167,1063,766,1166
구승민,1.8,73,0,73,9,0,0,2,4,0,26,62,20,20,23.95,263,46,8,1,3,35,1,4,77,0,0,7,2.9,2.9,3.48,3.43,2.91,1.31,11.18,5.08,2.2,0.44,29.3,13.3,16,0.299,79.5,2.39,3.48,0,68.52,72.33,68.56,0.205,0.315,0.29,0.605,1069,14.6,17.2,4.06,0,,0,,0,0,0,29,,0,0,,0,0,23,3,13,,,,,,18,3,4,0,26,1,0,1,96.3,0,1,0,0,24,15,31,9,29,23,3,13,0.85,14.64,1.34,1.8,0.299,144,49.3,6,39.3,45.3,5.3,1.1,4.4,4.3,1075,1045,1167,1063,766,1166
최준용,1.12,68,0,68,30,0,0,3,4,14,6,71,32,35,36.85,303,63,13,0,10,20,6,3,80,5,0,4,4.06,4.44,4.67,4.44,3.69,1.17,10.14,2.54,4,1.27,26.4,6.6,19.8,0.294,72,2.1,3.02,0.37,95.73,93.57,87.11,0.237,0.301,0.398,0.699,1122,16.5,15.8,3.7,0,,0,,0,0,0,13,,0,0,,0,0,6,2,33.3,,,,,,13,0,13,14,6,3,1,4,83.3,2,1,0,0,22,12,31,6,19.4,6,2,33.3,1.04,16.5,1.52,1.12,0.294,180,41.1,5.6,50.3,55.8,3,0.7,9.1,7.9,1075,1045,1167,1063,766,1166
서준원,1.11,33,4,29,6,0,0,3,3,0,2,60,32,32,30.05,265,65,10,1,3,23,5,0,45,4,0,2,4.8,4.8,4.51,4.26,3.95,1.47,6.75,3.45,1.96,0.45,17,8.7,8.3,0.333,68.5,3.42,4.4,0.85,113.28,89.78,93.24,0.278,0.355,0.368,0.723,1040,31.5,17.3,3.92,0,0,0,0,3,0,0,32,16.9,2,2,50,0,0,24,8,33.3,4.25,75,49.75,0.17,0.47,4,0,12,0,2,0,2,2,50,0,0,0,1,7,9,29,5,17.2,24,8,33.3,1.48,25.52,0.89,0.63,0.333,186,58.3,3.6,34.4,38,3.6,1.5,4.1,12.3,1075,1045,1167,1063,766,1166
스파크맨,0.92,19,19,0,0,0,0,2,4,0,0,84.2,50,55,51.5,386,97,14,1,6,43,4,1,89,8,0,5,5.31,5.85,5.47,5.28,3.68,1.65,9.46,4.57,2.07,0.64,23.1,11.1,11.9,0.379,65.4,2.91,3.97,1.63,125.43,111.25,86.94,0.291,0.377,0.393,0.77,1552,81.7,18.3,4.02,5,26.3,0,0,8,0,0,37,3.9,9,9,50,0,0,15,7,46.7,4.46,81.68,46.11,-0.58,0.92,0,0,0,0,0,0,0,0,,0,0,0,0,5,8,0,0,,15,7,46.7,,,,,0.379,240,48.8,5.6,40.8,46.4,4.8,1.1,5.2,14.4,1075,1045,1167,1063,766,1166
김도규,0.85,55,0,55,11,0,0,4,4,3,8,51,21,26,24.8,218,48,8,1,2,19,4,2,45,2,0,3,3.71,4.59,4.38,4.34,3.38,1.31,7.94,3.35,2.37,0.35,20.6,8.7,11.9,0.313,66.2,3,3.97,0.32,87.46,91.49,79.82,0.25,0.327,0.333,0.66,875,15.9,17.2,4.01,0,,0,,0,0,0,26,,0,0,,0,0,16,9,56.3,,,,,,15,2,8,3,8,0,2,2,84.6,1,2,0,1,13,8,35,8,22.9,16,9,56.3,0.93,15.91,1.24,0.85,0.313,147,46.7,6,44.7,50.7,2.7,0.9,2.6,16.7,1075,1045,1167,1063,766,1166
