Name,FIP,G,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,ERA,RA9,rRA9,rRA9pf,FIP,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA
석상호,2.2,5,10.13,3.38,3,0,27.3,9.1,18.2,0.308,100,0,0,0,0,2.2,2.26,3.22,-2.2,0,0,51,0.211,0.286,0.263,0.549,82,16.4,15.4,3.73
김원중,2.37,63,11.59,3.53,3.28,0.28,30.9,9.4,21.5,0.327,73.1,2.97,3.39,4.17,4.01,2.37,2.04,2.82,0.6,68.84,83.02,54.88,0.22,0.307,0.293,0.6,1084,17.2,17,4.09
윌커슨,2.61,13,9.15,2.26,4.05,0.34,24.8,6.1,18.7,0.296,71.8,2.26,3.16,3.11,3.04,2.61,2.23,3.16,-0.35,52.39,63.01,60.56,0.223,0.276,0.317,0.593,1296,99.7,16.3,3.96
반즈,3.4,30,7.77,2.96,2.63,0.32,20,7.6,12.4,0.329,74.4,3.28,3.59,3.46,3.41,3.4,3.05,3.91,-0.13,75.97,70.54,78.92,0.263,0.334,0.347,0.681,2757,91.9,16.2,3.76
최준용,3.42,47,7.55,3.4,2.22,0.38,19,8.6,10.5,0.327,81.8,2.45,2.83,2.9,2.83,3.42,3,4.14,-0.97,56.92,58.7,79.34,0.266,0.332,0.33,0.662,841,17.9,17.6,4
나균안,3.51,23,7.87,2.9,2.71,0.55,20,7.4,12.7,0.335,71.6,3.8,4.21,4.06,3.96,3.51,2.85,3.88,0.29,88.07,82.11,81.42,0.276,0.332,0.389,0.721,2208,96,16.9,3.88
김도규,3.52,36,7.89,3.94,2,0.3,19.7,9.8,9.8,0.318,64.3,4.55,4.85,5.22,4.96,3.52,3.19,4.22,1.03,105.52,102.68,81.68,0.257,0.333,0.327,0.66,534,14.8,18,4.05
박세웅,3.62,27,7.54,3.45,2.19,0.47,19.6,9,10.7,0.304,70.1,3.45,4.09,3.93,3.82,3.62,3.06,4.12,-0.17,79.96,79.17,83.98,0.248,0.32,0.33,0.65,2630,97.4,17.1,4
구승민,3.66,67,9.33,4.1,2.28,0.57,22.8,10,12.8,0.345,72,3.96,4.52,4.64,4.53,3.66,2.98,3.86,0.3,91.79,93.88,84.89,0.264,0.352,0.346,0.698,1169,17.4,18.4,4.05
김상수,3.78,67,6.23,3.64,1.71,0.17,16.5,9.6,6.9,0.286,69.1,3.12,3.81,3.21,3.17,3.78,3.62,4.57,-0.66,72.24,65.58,87.61,0.238,0.321,0.302,0.623,905,13.5,17.4,4.15
김태욱,3.85,1,0,0,,0,0,0,0,0,,0,0,0,0,3.85,3.98,5.4,-3.85,0,0,89.26,0,0,0,0,17,17,17,5.67
심재민,3.92,29,5.52,3.15,1.75,0.39,13.9,7.9,5.9,0.311,76.2,2.96,3.55,3.9,3.77,3.92,3.47,4.69,-0.97,68.55,78.05,90.99,0.275,0.333,0.337,0.67,737,25.4,16.1,3.65
김창훈,3.99,3,2.08,2.08,1,0,5.9,5.9,0,0.333,83.3,2.08,2.08,3.53,3.32,3.99,4.07,5.4,-1.91,48.16,68.81,92.47,0.313,0.353,0.438,0.791,56,18.7,12.9,3.29
진승현,4.13,24,8.13,5.21,1.56,0.65,19.4,12.4,7,0.372,63.8,5.86,6.51,6,5.93,4.13,3.35,4.56,1.72,135.78,122.91,95.8,0.309,0.388,0.391,0.779,533,22.2,19.3,4.13
이민석,4.3,1,6.75,6.75,1,0,20,20,0,0,100,0,0,0,0,4.3,4.4,5.4,-4.3,0,0,99.7,0,0.2,0,0.2,27,27,20.3,5.4
우강훈,4.35,3,7.5,6,1.25,0,17.2,13.8,3.4,0.333,54.5,6,7.5,5.18,5.46,4.35,4.42,4.99,1.65,139.14,113.17,100.86,0.261,0.393,0.304,0.697,117,39,19.5,4.03
