Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
반즈,5.49,30,30,0,0,0,0,11,10,0,0,170.1,62,68,65.4,734,171,34,1,6,56,15,1,147,7,0,7,3.28,3.59,3.46,3.41,3.4,1.33
박세웅,4.21,27,27,0,0,0,0,9,7,0,0,154,59,70,67.25,657,145,24,0,8,59,4,1,129,9,0,10,3.45,4.09,3.93,3.82,3.62,1.32
나균안,3.34,23,23,0,0,0,0,6,8,0,0,130.1,55,61,58.75,569,140,27,3,8,42,5,1,114,4,0,6,3.8,4.21,4.06,3.96,3.51,1.4
윌커슨,2.92,13,13,0,0,0,0,7,2,0,0,79.2,20,28,27.5,327,67,15,2,3,20,2,0,81,5,1,3,2.26,3.16,3.11,3.04,2.61,1.09
김상수,1.73,67,0,67,7,0,0,4,2,1,18,52,18,22,18.55,218,45,7,1,1,21,3,0,36,5,0,1,3.12,3.81,3.21,3.17,3.78,1.27
최준용,1.66,47,0,47,4,0,0,2,3,0,14,47.2,13,15,15.35,210,50,6,0,2,18,1,1,40,2,0,1,2.45,2.83,2.9,2.83,3.42,1.43
스트레일리,1.63,16,16,0,0,0,0,3,5,0,0,80.1,39,43,41.8,364,82,8,1,6,37,10,0,70,4,0,4,4.37,4.82,4.68,4.45,4.37,1.48
김원중,1.49,63,0,63,47,0,0,5,6,30,0,63.2,21,24,29.5,265,51,5,3,2,25,5,3,82,1,0,3,2.97,3.39,4.17,4.01,2.37,1.19
심재민,1.19,29,6,23,6,1,0,3,1,0,6,45.2,15,18,19.8,202,49,5,0,2,16,1,1,28,4,0,1,2.96,3.55,3.9,3.77,3.92,1.42
구승민,0.98,67,0,67,8,0,0,2,6,3,22,63.2,28,32,32.85,289,65,8,0,4,29,5,0,66,2,0,2,3.96,4.52,4.64,4.53,3.66,1.48
한현희,0.79,38,18,20,3,0,0,6,12,0,3,104,63,69,65.6,476,123,20,4,11,44,11,1,74,3,0,6,5.45,5.97,5.68,5.53,4.97,1.61
김도규,0.31,36,0,36,14,0,0,0,3,1,1,29.2,15,16,17.2,132,29,5,0,1,13,1,0,26,3,0,6,4.55,4.85,5.22,4.96,3.52,1.42
석상호,0.24,5,0,5,2,0,0,0,0,0,0,5.1,0,0,0,22,4,1,0,0,2,0,0,6,1,0,1,0,0,0,0,2.2,1.13
정성종,0.21,12,3,9,2,0,0,0,1,0,1,22,13,14,13.5,98,21,5,0,1,15,1,1,10,0,0,1,5.32,5.73,5.52,5.16,5.37,1.64
이진하,0.2,9,0,9,1,0,0,0,0,0,0,8,3,3,2.5,31,4,3,0,0,3,1,0,2,1,0,1,3.38,3.38,2.81,2.88,4.77,0.88
김창훈,0.09,3,0,3,1,0,0,0,0,0,0,4.1,1,1,1.7,17,5,0,1,0,1,0,0,1,0,0,0,2.08,2.08,3.53,3.32,3.99,1.38
이민석,0.08,1,0,1,0,0,0,0,0,0,0,1.1,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4.3,0.75
김강현,0.08,2,0,2,1,0,0,0,0,0,0,3,1,1,1,13,1,0,0,0,2,1,0,0,0,0,0,3,3,3,2.79,6.95,1
박영완,0.04,1,0,1,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4.45,1
