Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
윌커슨,6.81,32,32,0,1,1,1,12,8,0,0,196.2,84,90,88.8,816,210,37,3,18,27,2,0,167,13,0,3,3.84,4.12,4.06,3.91,3.62,1.21,7.64,1.24,6.19,0.82,20.5,3.3,17.2,0.321,69.6,2.65,3.34,0.22,74.07,68.26,70.93,0.27,0.294,0.394,0.688,3124,97.6,15.9,3.83,18,56.3,9,28.1,3,0,0,118,5.4,18,13,58.1,0,0,10,2,20,6.15,97.63,52.81,3.32,6.81,0,0,0,0,0,0,0,0,,0,0,0,0,11,11,0,0,,10,2,20,,,,,0.321,599,41.6,8.1,47.3,55.3,3.1,0.8,5.2,7.1
반즈,6.43,25,25,0,0,0,0,9,6,0,0,150.2,56,59,55.9,624,140,17,4,18,46,5,0,171,8,0,6,3.35,3.52,3.34,3.18,3.83,1.23,10.22,2.75,3.72,1.08,27.4,7.4,20,0.322,79.5,2.49,3,-0.49,64.45,55.61,75.05,0.248,0.309,0.388,0.697,2396,95.8,15.9,3.84,17,68,8,32,2,0,0,79,4.7,13,12,52,0,0,12,5,41.7,6.03,95.84,56.68,3.75,6.43,0,0,0,0,0,0,0,0,,0,0,0,0,13,7,0,0,,12,5,41.7,,,,,0.322,379,52.7,5,38.3,43.3,4,1.2,10.3,7.1
박세웅,4.06,30,30,0,0,0,0,6,11,0,0,173.1,92,103,97.65,759,188,33,0,13,56,11,0,124,12,0,10,4.78,5.35,5.07,4.97,4.5,1.41,6.44,2.91,2.21,0.68,16.3,7.4,9,0.317,64.1,3.71,4.32,0.28,92.04,86.84,88.15,0.275,0.337,0.38,0.717,2926,97.5,16.9,3.86,14,46.7,5,16.7,2,0,0,84,4.4,11,18,37.9,0,0,18,11,61.1,5.78,97.53,47.27,0.98,4.06,0,0,0,0,0,0,0,0,,0,0,0,0,12,14,0,0,,18,11,61.1,,,,,0.317,552,51.6,4.6,40.8,45.4,3,1.1,5,5.9
김원중,2.44,56,0,56,42,0,0,3,6,25,0,63.1,25,27,28.5,277,59,8,0,4,31,1,7,68,2,0,5,3.55,3.84,4.05,3.85,3.64,1.42,9.66,4.41,2.19,0.57,24.5,11.2,13.4,0.324,75.3,2.97,3.8,-0.08,68.45,67.24,71.22,0.25,0.332,0.335,0.667,1136,20.3,17.9,4.1,0,,0,,0,0,0,14,,0,0,,0,0,4,1,25,,,,,,10,1,19,25,0,6,1,7,78.1,1,0,3,0,28,12,20,4,20,4,1,25,1.13,20.29,1.95,2.44,0.324,170,49.7,5.1,43.5,48.6,1.7,1,4.7,8.5
김진욱,2.02,19,18,1,0,0,0,4,3,0,0,84.2,50,54,49.85,388,89,21,3,13,44,3,0,87,6,0,5,5.31,5.74,5.3,5.04,5.18,1.57,9.25,4.68,1.98,1.38,22.4,11.3,11.1,0.319,69.5,3.46,4.07,0.14,102.41,87.99,101.4,0.264,0.353,0.46,0.813,1630,85.8,19.3,4.2,3,16.7,0,0,8,0,0,75,8,8,10,44.4,0,0,20,8,40,4.7,89.78,46.89,0.51,2.02,0,0,0,0,0,0,0,0,,0,0,0,0,6,8,0,0,,20,8,40,0,14,0.16,,0.319,238,43.7,5.9,48,53.9,2.4,0.8,9.5,3.4
한현희,1.58,57,5,52,5,0,0,5,3,0,8,76.1,44,45,44.45,342,92,18,1,7,24,10,1,70,3,0,4,5.19,5.31,5.24,4.97,4.38,1.52,8.25,2.83,2.92,0.83,20.5,7,13.5,0.371,69.8,3.38,3.79,0.81,99.96,86.79,85.74,0.305,0.371,0.44,0.811,1321,23.2,17.3,3.86,1,20,0,0,2,0,0,49,16.7,2,3,40,0,0,39,18,46.2,5.27,84,47.4,0.16,0.63,14,0,17,0,8,1,1,2,80,0,3,1,0,7,12,48,18,37.5,39,18,46.2,0.96,17.33,1.06,0.95,0.371,229,49.6,2.9,43.3,46.2,4.2,1.1,6.4,7.6
박진,1.12,38,3,35,11,0,0,2,4,1,0,49.1,24,28,27.65,214,60,9,1,4,11,2,0,35,0,0,4,4.38,5.11,5.04,4.72,4.21,1.44,6.39,2.01,3.18,0.73,16.4,5.1,11.2,0.352,67.2,3.38,4.05,0.17,84.36,82.42,82.38,0.311,0.346,0.43,0.776,802,21.1,16.3,3.75,1,33.3,0,0,2,0,0,34,23.5,3,0,100,0,0,14,7,50,4.33,68.33,53,0.38,0.61,11,2,8,1,0,0,0,0,100,0,0,0,0,7,5,26,9,34.6,14,7,50,1.04,17.06,0.66,0.5,0.352,159,36.1,4.2,59,63.3,0.6,0.6,3.8,8.3
김상수,1.12,74,0,74,10,0,0,8,4,2,17,73.2,34,40,45.4,322,71,11,1,5,26,5,2,56,6,1,6,4.15,4.89,5.55,5.38,4.33,1.32,6.84,3.18,2.15,0.61,17.4,8.1,9.3,0.297,65.3,3.61,4.28,-0.17,80.04,93.99,84.72,0.255,0.325,0.356,0.681,1186,16,16.1,3.68,0,,0,,0,0,0,76,,0,0,,0,0,35,13,37.1,,,,,,23,1,25,2,17,3,1,4,82.6,0,3,0,1,20,18,58,22,37.9,35,13,37.1,1,16.03,1.27,1.12,0.297,222,54,3,40.4,43.4,2.6,1.2,4.9,14.1
정현수,0.83,18,4,14,0,0,0,1,1,0,1,23.2,12,12,10.75,104,20,7,0,0,12,2,0,25,1,0,0,4.56,4.56,4.09,3.85,3.39,1.35,9.51,4.56,2.08,0,24,11.5,12.5,0.328,64.7,3.49,3.9,1.17,87.93,67.25,66.42,0.235,0.34,0.318,0.658,425,23.6,18,4.09,0,0,0,0,4,0,0,19,14.3,3,1,75,0,0,10,5,50,3,64.5,47.75,0.15,0.36,5,2,3,0,1,1,0,1,50,0,1,1,0,4,3,18,2,11.1,10,5,50,0.83,11.93,1.46,0.47,0.328,61,41.5,9.2,44.6,53.8,4.6,0.8,0,0
김강현,0.53,26,0,26,10,0,0,0,0,0,0,25.1,10,13,13.7,123,28,4,0,2,18,2,1,24,3,0,3,3.55,4.62,4.87,4.54,5.1,1.82,8.53,6.4,1.33,0.71,19.5,14.6,4.9,0.342,77.8,4.25,4.81,-1.54,68.45,79.28,99.77,0.275,0.393,0.373,0.766,497,19.1,19.6,4.04,0,,0,,0,0,0,17,,0,0,,0,0,10,3,30,,,,,,7,1,7,0,0,1,0,1,0,0,0,1,0,0,3,14,5,35.7,10,3,30,0.97,19.12,0.48,0.53,0.342,76,49.4,1.3,46.8,48.1,2.5,1,5.3,3.6
