Name	BABIP	BIP	GB%	ifFB%	ofFB%	FB%	LD%	GB/FB	HR/FB%	if1B%
윌커슨	0.321	599	41.6	8.1	47.3	55.3	3.1	0.8	5.2	7.1
박세웅	0.317	552	51.6	4.6	40.8	45.4	3	1.1	5	5.9
반즈	0.322	379	52.7	5	38.3	43.3	4	1.2	10.3	7.1
김진욱	0.319	238	43.7	5.9	48	53.9	2.4	0.8	9.5	3.4
나균안	0.42	236	43.7	6.3	46.1	52.4	3.9	0.8	11.3	5.3
한현희	0.371	229	49.6	2.9	43.3	46.2	4.2	1.1	6.4	7.6
김상수	0.297	222	54	3	40.4	43.4	2.6	1.2	4.9	14.1
김원중	0.324	170	49.7	5.1	43.5	48.6	1.7	1	4.7	8.5
구승민	0.371	167	48.9	6.3	41.5	47.7	3.4	1	7.1	10.3
박진	0.352	159	36.1	4.2	59	63.3	0.6	0.6	3.8	8.3
이인복	0.348	112	48	1.6	49.6	51.2	0.8	0.9	15.9	4.1
이민석	0.34	103	46.2	6.6	40.6	47.2	6.6	1	6	2.6
전미르	0.315	92	52.5	2	43.4	45.5	2	1.2	8.9	0
진해수	0.352	88	55.9	1.1	40.9	41.9	2.2	1.3	12.8	5.6
최이준	0.425	87	45.7	6.5	44.6	51.1	3.3	0.9	6.4	5
김강현	0.342	76	49.4	1.3	46.8	48.1	2.5	1	5.3	3.6
최준용	0.351	74	38.5	5.1	55.1	60.3	1.3	0.6	4.3	3.6
정현수	0.328	61	41.5	9.2	44.6	53.8	4.6	0.8	0	0
임준섭	0.308	39	51.3	2.6	35.9	38.5	10.3	1.3	0	8.3
현도훈	0.382	34	52.8	0	41.7	41.7	5.6	1.3	13.3	0
정우준	0.308	26	46.4	0	53.6	53.6	0	0.9	13.3	0
진승현	0.318	22	36.4	13.6	50	63.6	0	0.6	0	0
송재영	0.333	21	40	0	56	56	4	0.7	14.3	0
홍민기	0.421	19	47.4	5.3	47.4	52.6	0	0.9	0	25
박진형	0.353	17	44.4	5.6	50	55.6	0	0.8	0	16.7
김도규	0.417	12	25	0	66.7	66.7	8.3	0.4	0	0
박준우	0.375	8	50	0	37.5	37.5	12.5	1.3	0	0
윤성빈	0.6	5	0	0	100	100	0	0	16.7	0
우강훈		0								
