name	GR	IP	ERA	W	L	2time	3time	plus 1	SV	HD	BLSV	BLHD	BL+	save%	TS	TH	TBS	TBH	SD	MD	IR	IRS	IRS%	BQ	BQS	BQS%	IP/GR	P/GR	gmLI	closer war
±è¿øÁß	56	63.1	3.55	3	6	10	1	19	25	0	6	1	7	78.1	1	0	3	0	28	12	20	4	20	4	1	25	1.13	20.29	1.95	2.44
±è»ó¼ö	74	73.2	4.15	8	4	23	1	25	2	17	3	1	4	82.6	0	3	0	1	20	18	58	22	37.9	35	13	37.1	1	16.03	1.27	1.12
ÇÑÇöÈñ	52	50	5.04	3	1	14	0	17	0	8	1	1	2	80	0	3	1	0	7	12	48	18	37.5	39	18	46.2	0.96	17.33	1.06	0.95
±è°­Çö	26	25.1	3.55	0	0	7	1	7	0	0	1	0	1	0	0	0	1	0	0	3	14	5	35.7	10	3	30	0.97	19.12	0.48	0.53
¹ÚÁø	35	36.1	4.95	1	4	11	2	8	1	0	0	0	0	100	0	0	0	0	7	5	26	9	34.6	14	7	50	1.04	17.06	0.66	0.5
Á¤Çö¼ö	14	11.2	3.86	0	0	5	2	3	0	1	1	0	1	50	0	1	1	0	4	3	18	2	11.1	10	5	50	0.83	11.93	1.46	0.47
Àü¹Ì¸£	36	33.2	5.88	1	5	11	1	9	1	5	5	0	5	54.5	0	1	1	0	8	9	16	4	25	21	14	66.7	0.94	17.19	0.97	0.42
¹ÚÁøÇü	7	6.1	4.26	0	0	1	0	1	0	0	0	0	0		0	0	0	0	2	0	8	3	37.5	4	3	75	0.9	13.57	1.17	0.21
±¸½Â¹Î	66	57.2	4.84	5	3	19	2	16	0	13	2	1	3	81.3	0	2	1	0	11	18	46	21	45.7	35	11	31.4	0.87	17.24	1.2	0.19
ÃÖÁØ¿ë	27	21.2	5.4	1	2	7	1	4	0	3	4	1	5	37.5	0	0	3	0	8	7	14	8	57.1	17	3	17.6	0.8	15.96	1.4	0.17
ÀÌ¹Î¼®	13	16.2	6.48	0	1	2	0	6	0	1	0	0	0	100	0	0	0	0	1	6	6	2	33.3	16	4	25	1.28	23.23	0.45	0.1
ÀÓÁØ¼·	24	11.1	7.94	0	0	7	1	2	0	2	0	1	1	66.7	0	0	0	1	1	2	17	5	29.4	15	9	60	0.47	9.71	0.55	0.06
Áø½ÂÇö	7	6.1	8.53	0	1	1	0	3	0	0	0	0	0		0	0	0	0	0	1	7	3	42.9	7	5	71.4	0.9	15.57	0.66	0.03
Á¤¿ìÁØ	8	8.1	4.32	0	0	2	1	2	0	0	0	0	0		0	0	0	0	0	2	6	5	83.3	2	1	50	1.04	18.13	0.58	0.03
¹ÚÁØ¿ì	2	2	9	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0		0	0		1	16	0.01	-0.01
¿ì°­ÈÆ	1	0	99.99	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0		3	1	33.3	0	13	0.02	-0.01
±èµµ±Ô	5	4	9	0	1	0	0	0	0	0	0	0	0		0	0	0	0	0	2	0	0		2	1	50	0.8	18.4	0.61	-0.03
È«¹Î±â	2	1	27	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	1	1	0	0	6	3	50	0.5	20	0.02	-0.1
³ª±Õ¾È	12	12.1	5.84	2	0	1	0	6	0	0	0	0	0		0	0	0	0	3	14	11	6	54.5	13	6	46.2	1.03	19.5	0.99	-0.13
ÁøÇØ¼ö	54	27.2	6.18	2	1	21	5	4	0	5	2	2	4	55.6	0	0	2	2	9	9	46	16	34.8	27	11	40.7	0.51	8.72	1.2	-0.17
ÀÌÀÎº¹	2	4.2	13.5	0	0	0	0	2	0	0	0	0	0		0	0	0	0	0	5	2	2	100	3	0	0	2.33	38.5	0.17	-0.21
ÇöµµÈÆ	8	10	9	0	1	2	0	2	0	0	1	0	1	0	0	0	1	0	0	1	5	2	40	3	1	33.3	1.25	24.13	0.91	-0.3
¼ÛÀç¿µ	19	8.1	10.8	0	1	7	3	1	1	3	1	0	1	80	1	1	1	0	4	3	19	4	21.1	8	4	50	0.44	8.53	1.32	-0.36
ÃÖÀÌÁØ	23	24.2	7.3	3	0	5	1	8	0	0	0	1	1	0	0	0	0	0	3	4	26	13	50	7	3	42.9	1.07	20.83	0.96	-0.7
ÀªÄ¿½¼	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	11	11	0	0		10	2	20				
¹Ú¼¼¿õ	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	12	14	0	0		18	11	61.1				
¹ÝÁî	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	13	7	0	0		12	5	41.7				
À±¼ººó	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	1	0	0		1	1	100				
±èÁø¿í	1	0	99.99	0	0	0	0	0	0	0	0	0	0		0	0	0	0	6	8	0	0		20	8	40	0	14	0.16	
