Name	FIP	G	K/9	BB/9	K/BB	HR/9	K%	BB%	K-BB%	BABIP	LOB	ERA	RA9	rRA9	rRA9pf	FIP	xFIP	kwERA	ERA-FIP	ERA-	rRA9-	FIP-	AVG	OBP	SLG	OPS	NP	P/G	P/IP	P/PA
Á¤Çö¼ö	3.39	18	9.51	4.56	2.08	0	24	11.5	12.5	0.328	64.7	4.56	4.56	4.09	3.85	3.39	3.49	3.9	1.17	87.93	67.25	66.42	0.235	0.34	0.318	0.658	425	23.6	18	4.09
¹ÚÁøÇü	3.6	7	5.68	1.42	4	0	16.7	4.2	12.5	0.353	62.5	4.26	4.26	3.77	3.76	3.6	3.7	3.9	0.66	82.14	65.74	70.48	0.286	0.348	0.333	0.681	95	13.6	15	3.96
ÀªÄ¿½¼	3.62	32	7.64	1.24	6.19	0.82	20.5	3.3	17.2	0.321	69.6	3.84	4.12	4.06	3.91	3.62	2.65	3.34	0.22	74.07	68.26	70.93	0.27	0.294	0.394	0.688	3124	97.6	15.9	3.83
±è¿øÁß	3.64	56	9.66	4.41	2.19	0.57	24.5	11.2	13.4	0.324	75.3	3.55	3.84	4.05	3.85	3.64	2.97	3.8	-0.08	68.45	67.24	71.22	0.25	0.332	0.335	0.667	1136	20.3	17.9	4.1
¹ÝÁî	3.83	25	10.22	2.75	3.72	1.08	27.4	7.4	20	0.322	79.5	3.35	3.52	3.34	3.18	3.83	2.49	3	-0.49	64.45	55.61	75.05	0.248	0.309	0.388	0.697	2396	95.8	15.9	3.84
¹ÚÁø	4.21	38	6.39	2.01	3.18	0.73	16.4	5.1	11.2	0.352	67.2	4.38	5.11	5.04	4.72	4.21	3.38	4.05	0.17	84.36	82.42	82.38	0.311	0.346	0.43	0.776	802	21.1	16.3	3.75
±è»ó¼ö	4.33	74	6.84	3.18	2.15	0.61	17.4	8.1	9.3	0.297	65.3	4.15	4.89	5.55	5.38	4.33	3.61	4.28	-0.17	80.04	93.99	84.72	0.255	0.325	0.356	0.681	1186	16	16.1	3.68
ÇÑÇöÈñ	4.38	57	8.25	2.83	2.92	0.83	20.5	7	13.5	0.371	69.8	5.19	5.31	5.24	4.97	4.38	3.38	3.79	0.81	99.96	86.79	85.74	0.305	0.371	0.44	0.811	1321	23.2	17.3	3.86
¹ÚÁØ¿ì	4.5	2	4.5	4.5	1	0	10	10	0	0.375	50	9	9	9	9.03	4.5	4.6	5.4	4.5	173.41	157.77	88.1	0.333	0.4	0.444	0.844	32	16	16	3.2
¹Ú¼¼¿õ	4.5	30	6.44	2.91	2.21	0.68	16.3	7.4	9	0.317	64.1	4.78	5.35	5.07	4.97	4.5	3.71	4.32	0.28	92.04	86.84	88.15	0.275	0.337	0.38	0.717	2926	97.5	16.9	3.86
Áø½ÂÇö	4.67	7	7.11	7.11	1	0	15.6	15.6	0	0.318	50	8.53	8.53	7.11	6.48	4.67	4.82	5.4	3.85	164.29	113.18	91.5	0.259	0.375	0.37	0.745	109	15.6	17.2	3.41
±¸½Â¹Î	4.9	66	9.68	5.46	1.77	0.94	22.2	12.5	9.7	0.371	71.3	4.84	5.77	6.66	6.44	4.9	3.76	4.24	-0.06	93.22	112.51	95.94	0.293	0.395	0.414	0.809	1138	17.2	19.7	4.08
Àü¹Ì¸£	5.02	36	9.09	5.61	1.62	1.07	21.9	13.5	8.4	0.315	55.1	5.88	7.49	6.01	5.62	5.02	3.7	4.39	0.86	113.32	98.23	98.34	0.256	0.362	0.426	0.788	619	17.2	18.4	3.99
±è°­Çö	5.1	26	8.53	6.4	1.33	0.71	19.5	14.6	4.9	0.342	77.8	3.55	4.62	4.87	4.54	5.1	4.25	4.81	-1.54	68.45	79.28	99.77	0.275	0.393	0.373	0.766	497	19.1	19.6	4.04
±èÁø¿í	5.18	19	9.25	4.68	1.98	1.38	22.4	11.3	11.1	0.319	69.5	5.31	5.74	5.3	5.04	5.18	3.46	4.07	0.14	102.41	87.99	101.4	0.264	0.353	0.46	0.813	1630	85.8	19.3	4.2
È«¹Î±â	5.37	3	4.91	2.46	2	0	8.3	4.2	4.2	0.421	36.4	12.27	17.18	12.64	11.95	5.37	5.55	4.9	6.9	236.47	208.78	105.19	0.381	0.458	0.524	0.982	99	33	27	4.13
ÁøÇØ¼ö	5.82	54	7.16	3.25	2.2	1.63	17.2	7.8	9.4	0.352	66.7	6.18	6.83	7.66	7.29	5.82	3.76	4.28	0.36	119.09	127.36	113.93	0.316	0.383	0.474	0.857	471	8.7	17	3.68
ÃÖÁØ¿ë	5.92	27	4.99	5.82	0.86	0.83	11.4	13.3	-1.9	0.351	75	5.4	5.4	6.46	6.02	5.92	4.96	5.63	-0.52	104.05	105.17	115.85	0.322	0.417	0.437	0.854	431	16	19.9	4.1
ÃÖÀÌÁØ	6.06	23	6.2	5.84	1.06	1.1	13.5	12.7	0.8	0.425	66	7.3	8.03	10.16	9.76	6.06	4.74	5.3	1.24	140.61	170.49	118.66	0.385	0.46	0.548	1.008	479	20.8	19.4	3.8
³ª±Õ¾È	6.32	26	9.12	5.8	1.57	1.85	19.5	12.4	7.1	0.42	64.1	8.51	9	9.06	8.73	6.32	3.99	4.55	2.19	163.91	152.53	123.72	0.353	0.44	0.551	0.991	1491	57.3	20.4	3.92
ÀÌ¹Î¼®	6.44	18	5.81	7.26	0.8	0.87	13.1	16.3	-3.3	0.34	62.3	7.26	7.84	7.43	7.14	6.44	5.39	5.79	0.82	139.85	124.8	126.06	0.302	0.425	0.46	0.885	627	34.8	20.2	4.1
ÇöµµÈÆ	6.44	8	7.2	5.4	1.33	1.8	16	12	4	0.382	55.6	9	9.9	10.85	9.99	6.44	4.16	4.92	2.56	173.41	174.49	126.09	0.341	0.42	0.591	1.011	193	24.1	19.3	3.86
¼ÛÀç¿µ	6.59	19	9.72	5.4	1.8	2.16	22.5	12.5	10	0.333	41.7	10.8	10.8	11.23	10.38	6.59	3.84	4.2	4.21	208.1	181.43	128.99	0.29	0.395	0.581	0.976	162	8.5	19.4	4.05
±èµµ±Ô	7.27	5	11.25	13.5	0.83	0	20	24	-4	0.417	69.2	9	9	7.43	8.06	7.27	7.41	5.88	1.73	173.41	140.89	142.44	0.333	0.52	0.4	0.92	92	18.4	23	3.68
ÀÓÁØ¼·	7.37	24	2.38	8.74	0.27	0	5.4	19.6	-14.3	0.308	57.7	7.94	8.74	7.11	6.62	7.37	7.45	7.11	0.57	153.01	115.6	144.25	0.286	0.464	0.381	0.845	233	9.7	20.6	4.16
ÀÌÀÎº¹	7.79	8	5.46	3.55	1.54	2.73	12.6	8.2	4.4	0.348	58.8	9.55	9.55	9.83	9.35	7.79	4.31	4.87	1.75	183.92	163.29	152.6	0.358	0.411	0.679	1.09	580	72.5	17.6	3.65
Á¤¿ìÁØ	8.16	8	5.4	7.56	0.71	2.16	12.5	17.5	-5	0.308	92.9	4.32	4.32	7.13	6.76	8.16	5.42	6	-3.84	83.24	118.16	159.77	0.303	0.425	0.545	0.97	145	18.1	17.4	3.63
