Name	War	G	GS	GR	GF	CG	SHO	W	L	S	HD	IP	ER	R	Rra	TBF	H	2B	3B	HR	BB	HP	IB	SO	ROE	BK	wild pitch	ERA	RA9	rRA9	rRA9pf	FIP	WHIP
ÀªÄ¿½¼	6.81	32	32	0	1	1	1	12	8	0	0	196.2	84	90	88.8	816	210	37	3	18	27	2	0	167	13	0	3	3.84	4.12	4.06	3.91	3.62	1.21
¹ÝÁî	6.43	25	25	0	0	0	0	9	6	0	0	150.2	56	59	55.9	624	140	17	4	18	46	5	0	171	8	0	6	3.35	3.52	3.34	3.18	3.83	1.23
¹Ú¼¼¿õ	4.06	30	30	0	0	0	0	6	11	0	0	173.1	92	103	97.65	759	188	33	0	13	56	11	0	124	12	0	10	4.78	5.35	5.07	4.97	4.5	1.41
±è¿øÁß	2.44	56	0	56	42	0	0	3	6	25	0	63.1	25	27	28.5	277	59	8	0	4	31	1	7	68	2	0	5	3.55	3.84	4.05	3.85	3.64	1.42
±èÁø¿í	2.02	19	18	1	0	0	0	4	3	0	0	84.2	50	54	49.85	388	89	21	3	13	44	3	0	87	6	0	5	5.31	5.74	5.3	5.04	5.18	1.57
ÇÑÇöÈñ	1.58	57	5	52	5	0	0	5	3	0	8	76.1	44	45	44.45	342	92	18	1	7	24	10	1	70	3	0	4	5.19	5.31	5.24	4.97	4.38	1.52
¹ÚÁø	1.12	38	3	35	11	0	0	2	4	1	0	49.1	24	28	27.65	214	60	9	1	4	11	2	0	35	0	0	4	4.38	5.11	5.04	4.72	4.21	1.44
±è»ó¼ö	1.12	74	0	74	10	0	0	8	4	2	17	73.2	34	40	45.4	322	71	11	1	5	26	5	2	56	6	1	6	4.15	4.89	5.55	5.38	4.33	1.32
Á¤Çö¼ö	0.83	18	4	14	0	0	0	1	1	0	1	23.2	12	12	10.75	104	20	7	0	0	12	2	0	25	1	0	0	4.56	4.56	4.09	3.85	3.39	1.35
±è°­Çö	0.53	26	0	26	10	0	0	0	0	0	0	25.1	10	13	13.7	123	28	4	0	2	18	2	1	24	3	0	3	3.55	4.62	4.87	4.54	5.1	1.82
Àü¹Ì¸£	0.42	36	0	36	6	0	0	1	5	1	5	33.2	22	28	22.5	155	33	10	0	4	21	1	2	34	4	0	3	5.88	7.49	6.01	5.62	5.02	1.6
¹ÚÁøÇü	0.21	7	0	7	0	0	0	0	0	0	0	6.1	3	3	2.65	24	6	1	0	0	1	1	0	4	0	0	1	4.26	4.26	3.77	3.76	3.6	1.11
±¸½Â¹Î	0.19	66	0	66	7	0	0	5	3	0	13	57.2	31	37	42.7	279	68	10	0	6	35	6	1	62	5	0	7	4.84	5.77	6.66	6.44	4.9	1.79
ÃÖÁØ¿ë	0.17	27	0	27	4	0	0	1	2	0	3	21.2	13	13	15.55	105	28	2	1	2	14	1	1	12	1	0	1	5.4	5.4	6.46	6.02	5.92	1.94
ÀÌ¹Î¼®	0.07	18	5	13	5	0	0	0	2	0	1	31	25	27	25.6	153	38	5	3	3	25	2	0	20	1	0	1	7.26	7.84	7.43	7.14	6.44	2.03
ÀÓÁØ¼·	0.06	24	0	24	2	0	0	0	0	0	2	11.1	10	11	8.95	56	12	2	1	0	11	3	0	3	0	0	0	7.94	8.74	7.11	6.62	7.37	2.03
Áø½ÂÇö	0.03	7	0	7	3	0	0	0	1	0	0	6.1	6	6	5	32	7	3	0	0	5	0	0	5	2	0	0	8.53	8.53	7.11	6.48	4.67	1.89
Á¤¿ìÁØ	0.03	8	0	8	5	0	0	0	0	0	0	8.1	4	4	6.6	40	10	2	0	2	7	0	0	5	0	0	0	4.32	4.32	7.13	6.76	8.16	2.04
¹ÚÁØ¿ì	-0.01	2	0	2	2	0	0	0	0	0	0	2	2	2	2	10	3	1	0	0	1	0	0	1	0	0	0	9	9	9	9.03	4.5	2
¿ì°­ÈÆ	-0.01	1	0	1	0	0	0	0	0	0	0	0	1	1	0.65	3	0	0	0	0	2	1	0	0	0	0	0	99.99	99.99	23	21.79	9304.2	99.99
±èµµ±Ô	-0.03	5	0	5	3	0	0	0	1	0	0	4	4	4	3.3	25	5	1	0	0	6	2	1	5	0	1	0	9	9	7.43	8.06	7.27	2.75
È«¹Î±â	-0.06	3	1	2	0	0	0	0	0	0	0	3.2	5	7	5.15	24	8	3	0	0	1	2	0	2	2	0	3	12.27	17.18	12.64	11.95	5.37	2.45
ÁøÇØ¼ö	-0.17	54	0	54	3	0	0	2	1	0	5	27.2	19	21	23.55	128	36	3	0	5	10	3	1	22	0	0	2	6.18	6.83	7.66	7.29	5.82	1.66
À±¼ººó	-0.21	1	1	0	0	0	0	0	1	0	0	1	5	5	4.3	9	4	1	0	1	2	0	0	1	0	0	0	45	45	38.7	36.04	19.8	6
ÇöµµÈÆ	-0.3	8	0	8	5	0	0	0	1	0	0	10	10	11	12.05	50	15	3	1	2	6	0	0	8	2	0	1	9	9.9	10.85	9.99	6.44	2.1
ÀÌÀÎº¹	-0.31	8	6	2	1	0	0	0	3	0	0	33	35	35	36.05	159	49	14	0	10	13	3	0	20	1	0	4	9.55	9.55	9.83	9.35	7.79	1.88
¼ÛÀç¿µ	-0.36	19	0	19	4	0	0	0	1	1	3	8.1	10	10	10.4	40	9	3	0	2	5	1	0	9	0	1	1	10.8	10.8	11.23	10.38	6.59	1.68
³ª±Õ¾È	-0.64	26	14	12	4	0	0	4	7	0	0	73	69	73	73.5	380	114	19	0	15	47	5	0	74	2	0	10	8.51	9	9.06	8.73	6.32	2.21
ÃÖÀÌÁØ	-0.7	23	0	23	11	0	0	3	0	0	0	24.2	20	22	27.85	126	40	6	1	3	16	1	1	17	1	0	1	7.3	8.03	10.16	9.76	6.06	2.27
