name	G	GS	IP	ERA	W	L	QS	QS%	QS+	QS+%	QH	TL	CW	RS	RS9	start W	start L	W%	start BW	start BL	start BQ	start BQS	start BQS%	IP/GS	P/GS	AGS	starter waa	starter war
윌커슨	32	32	196.2	3.84	12	8	18	56.3	9	28.1	3	0	0	118	5.4	18	13	58.1	0	0	10	2	20	6.15	97.63	52.81	3.32	6.81
반즈	25	25	150.2	3.35	9	6	17	68	8	32	2	0	0	79	4.7	13	12	52	0	0	12	5	41.7	6.03	95.84	56.68	3.75	6.43
박세웅	30	30	173.1	4.78	6	11	14	46.7	5	16.7	2	0	0	84	4.4	11	18	37.9	0	0	18	11	61.1	5.78	97.53	47.27	0.98	4.06
김진욱	19	18	84.2	5.21	4	3	3	16.7	0	0	8	0	0	75	8	8	10	44.4	0	0	20	8	40	4.7	89.78	46.89	0.51	2.02
한현희	57	5	26.1	5.47	2	2	1	20	0	0	2	0	0	49	16.7	2	3	40	0	0	39	18	46.2	5.27	84	47.4	0.16	0.63
박진	38	3	13	2.77	1	0	1	33.3	0	0	2	0	0	34	23.5	3	0	100	0	0	14	7	50	4.33	68.33	53	0.38	0.61
정현수	18	4	12	5.25	1	1	0	0	0	0	4	0	0	19	14.3	3	1	75	0	0	10	5	50	3	64.5	47.75	0.15	0.36
홍민기	3	1	2.2	6.75	0	0	0	0	0	0	1	0	0	3	10.1	0	1	0	0	0	6	3	50	2.67	59	43	-0.01	0.04
이민석	18	5	14.1	8.16	0	1	0	0	0	0	4	0	0	16	10	2	2	50	0	0	16	4	25	2.87	65	41.2	-0.28	-0.03
이인복	8	6	28.1	8.89	0	3	1	16.7	0	0	1	0	0	17	5.4	0	6	0	0	0	3	0	0	4.72	83.83	34.17	-0.6	-0.1
윤성빈	1	1	1	45	0	1	0	0	0	0	0	0	0	4	36	0	1	0	0	0	1	1	100	1	35	24	-0.23	-0.21
나균안	26	14	60.2	9.05	2	7	2	14.3	0	0	1	0	0	47	7	6	7	46.2	0	0	13	6	46.2	4.33	89.79	33.5	-1.59	-0.51
최준용	27	0	0		0	0	0		0		0	0	0	15		0	0		0	0	17	3	17.6					
우강훈	1	0	0		0	0	0		0		0	0	0	0		0	0		0	0	3	1	33.3					
진해수	54	0	0		0	0	0		0		0	0	0	19		0	0		0	0	27	11	40.7					
김강현	26	0	0		0	0	0		0		0	0	0	17		0	0		0	0	10	3	30					
현도훈	8	0	0		0	0	0		0		0	0	0	8		0	0		0	0	3	1	33.3					
송재영	19	0	0		0	0	0		0		0	0	0	4		0	0		0	0	8	4	50					
진승현	7	0	0		0	0	0		0		0	0	0	2		0	0		0	0	7	5	71.4					
김원중	56	0	0		0	0	0		0		0	0	0	14		0	0		0	0	4	1	25					
박진형	7	0	0		0	0	0		0		0	0	0	0		0	0		0	0	4	3	75					
김도규	5	0	0		0	0	0		0		0	0	0	3		0	0		0	0	2	1	50					
박준우	2	0	0		0	0	0		0		0	0	0	2		0	0		0	0	0	0						
김상수	74	0	0		0	0	0		0		0	0	0	76		0	0		0	0	35	13	37.1					
구승민	66	0	0		0	0	0		0		0	0	0	47		0	0		0	0	35	11	31.4					
정우준	8	0	0		0	0	0		0		0	0	0	1		0	0		0	0	2	1	50					
전미르	36	0	0		0	0	0		0		0	0	0	23		0	0		0	0	21	14	66.7					
최이준	23	0	0		0	0	0		0		0	0	0	22		0	0		0	0	7	3	42.9					
임준섭	24	0	0		0	0	0		0		0	0	0	4		0	0		0	0	15	9	60					
