Name,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
김태경,0,3,33.3,0,66.7,66.7,0,0.5,0,
안인산,0,3,66.7,0,33.3,33.3,0,2,0,
소이현,0.2,35,52.8,8.3,38.9,47.2,0,1.1,5.9,12.5
문경찬,0.202,84,27,6.7,64,70.8,2.2,0.4,7.9,4.5
홍성민,0.228,79,61,3.7,29.3,32.9,6.1,1.9,7.4,5
구창모,0.233,219,49.6,7.9,38.2,46.1,4.4,1.1,6.7,6.9
박정수,0.27,63,50.7,1.5,44.8,46.3,3,1.1,9.7,5
최성영,0.271,199,27.2,8,61.5,69.5,3.3,0.4,8.8,1.5
배재환,0.272,125,38.6,8.3,51.5,59.8,1.5,0.6,5.1,2.6
김진호,0.273,33,26.3,10.5,55.3,65.8,7.9,0.4,20,0
송명기,0.275,240,37.1,5.4,53.3,58.7,4.2,0.6,7.9,7.7
임정호,0.276,105,54.5,5.5,38.2,43.6,1.8,1.3,6.3,12.5
김건태,0.294,85,29.7,7.7,59.3,67,3.3,0.4,6.6,0
배민서,0.296,44,56.3,0,39.6,39.6,4.2,1.4,21.1,5.9
원종현,0.301,173,57.1,3.8,35.7,39.6,3.3,1.4,5.6,5.4
장현식,0.306,36,43.2,2.7,54.1,56.8,0,0.8,4.8,0
박진우,0.306,147,49,3.3,47.7,51,0,1,2.6,8.5
김진성,0.311,119,26.6,11.3,60.5,71.8,1.6,0.4,4.5,4.9
루친스키,0.311,511,50.3,6,42.1,48,1.7,1,5.4,7.5
라이트,0.316,481,40.6,6.6,51.2,57.8,1.6,0.7,4.2,6.7
이재학,0.318,286,40.5,5.6,50.8,56.5,3,0.7,8.2,4.8
신민혁,0.326,144,38.3,7.1,52.6,59.7,1.9,0.6,10.9,5.3
강동연,0.329,73,29.9,6.5,59.7,66.2,3.9,0.5,5.9,3.7
이승헌,0.333,6,28.6,0,71.4,71.4,0,0.4,20,33.3
류진욱,0.333,9,50,0,50,50,0,1,20,0
김영규,0.335,212,42.2,5.8,50.2,56,1.8,0.8,9.5,4.8
임창민,0.34,103,35.5,6.4,56.4,62.7,1.8,0.6,5.8,5.1
손정욱,0.341,44,46.8,4.3,48.9,53.2,0,0.9,4,6.3
홍성무,0.346,52,62.5,1.8,33.9,35.7,1.8,1.8,15,4.8
이호중,0.375,16,47.1,0,52.9,52.9,0,0.9,11.1,14.3
강윤구,0.378,74,44.2,6.5,48.1,54.5,1.3,0.8,7.1,3.2
김태현,0.4,5,20,20,60,80,0,0.3,0,0
임형원,1,1,100,0,0,0,0,,,0
