name,GR,IP,ERA,W,L,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war
이용찬,39,37,2.19,1,3,12,2,5,16,3,4,0,4,82.6,1,0,1,0,15,7,17,5,29.4,0,0,,0.95,15.64,1.59,1.41
홍성민,53,41.1,3.92,3,4,10,1,2,0,14,2,1,3,82.4,0,3,1,1,11,11,30,9,30,21,11,52.4,0.78,13.58,1.36,1.2
류진욱,44,43.1,2.08,1,0,10,1,4,1,7,0,0,0,100,0,1,0,0,7,4,20,9,45,7,1,14.3,0.98,17.48,0.73,0.99
임정호,60,34.2,4.15,0,4,12,1,2,0,12,0,0,0,100,0,2,0,0,8,13,21,3,14.3,42,12,28.6,0.58,11,1.1,0.76
김영규,29,31.1,3.73,2,1,7,0,11,0,6,0,1,1,85.7,0,1,0,0,10,10,27,8,29.6,19,7,36.8,1.08,16.79,1.27,0.72
문경찬,35,31,4.94,0,1,6,0,2,0,4,0,1,1,80,0,1,0,0,4,4,8,1,12.5,13,7,53.8,0.89,15.17,0.73,0.47
임창민,46,40.1,3.79,0,3,9,1,5,0,17,3,0,3,85,0,3,1,0,16,8,28,10,35.7,17,9,52.9,0.88,15.63,1.43,0.46
박진우,9,11,1.64,0,0,1,0,3,0,1,0,0,0,100,0,0,0,0,0,0,4,1,25,3,0,0,1.22,21.78,0.28,0.38
김태경,4,5,1.8,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,1,1,0,0,,5,3,60,1.25,24.25,0.02,0.16
노시훈,5,4.2,3.86,0,0,1,0,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,5,1,20,0.93,18.4,0.25,0.13
원종현,61,53,4.25,2,2,14,2,1,14,6,7,0,7,74.1,1,2,3,0,14,16,25,15,60,11,2,18.2,0.87,14.82,1.65,0.13
이우석,10,9.2,5.59,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,4,0,0,0.97,19.3,0.23,0.1
최금강,20,28,4.5,2,1,3,0,9,1,0,0,0,0,100,0,0,0,0,3,5,21,12,57.1,5,3,60,1.4,25.75,0.71,0.07
이승헌,5,5.1,6.75,0,0,2,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,,1,1,100,1.07,20.8,0.19,0
신민혁,5,6,7.5,0,0,1,0,1,0,0,0,0,0,,0,0,0,0,13,9,1,0,0,11,5,45.5,1.2,21,0.13,0
배민서,30,35.2,5.55,1,0,6,0,9,0,0,0,0,0,,0,0,0,0,4,2,12,2,16.7,8,1,12.5,1.19,20.7,0.37,-0.02
안인산,7,6.2,5.4,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,2,50,1,0,0,0.95,19.14,0.14,-0.05
이용준,2,1.2,21.6,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,3,2,66.7,0.83,28,0.06,-0.1
강동연,9,11.2,6.94,2,0,2,0,4,0,1,0,1,1,50,0,0,0,0,1,7,7,5,71.4,10,7,70,1.3,24.89,1.06,-0.1
김건태,6,6.2,5.4,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,1,4,4,100,1,0,0,1.11,21.83,0.6,-0.12
소이현,10,10.2,6.75,0,0,0,0,2,0,0,0,0,0,,0,0,0,0,0,1,1,1,100,5,0,0,1.07,23.8,0.16,-0.18
김태현,6,5.1,11.81,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,9,6,66.7,6,3,50,0.89,19,0.1,-0.26
손정욱,15,12.1,6.57,1,0,1,0,3,0,0,0,1,1,0,0,0,0,1,3,4,14,9,64.3,10,3,30,0.82,16.47,1,-0.35
김진성,42,37.2,7.17,2,4,10,0,5,1,9,2,4,6,62.5,0,1,1,3,9,11,24,10,41.7,14,9,64.3,0.9,15.79,1.33,-0.97
강윤구,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,0,0,,,,,
박정수,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,,0,0,,,,,
송명기,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,10,11,0,0,,14,10,71.4,,,,
파슨스,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,14,7,0,0,,9,2,22.2,,,,
이재학,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,7,8,0,0,,16,9,56.3,,,,
김진호,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,0,0,,,,,
강태경,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,,2,0,0,,,,
루친스키,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,17,9,0,0,,5,4,80,,,,
