Name,FIP,G,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,ERA,RA9,rRA9,rRA9pf,FIP,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA
이승헌,1.07,5,11.81,1.69,7,0,25.9,3.7,22.2,0.474,50,6.75,8.44,7.26,6.86,1.07,1.2,2.73,5.68,147.4,135.97,23.3,0.346,0.37,0.462,0.832,104,20.8,19.5,3.85
박진우,2.73,9,9.82,4.09,2.4,0,27.3,11.4,15.9,0.231,83.3,1.64,1.64,1.92,1.82,2.73,2.79,3.49,-1.09,35.73,36.14,59.62,0.162,0.273,0.216,0.489,196,21.8,17.8,4.45
이용찬,2.97,39,8.51,2.68,3.18,0.49,23.2,7.3,15.9,0.25,77.8,2.19,2.68,3.31,3.15,2.97,2.41,3.49,-0.78,47.8,62.42,64.78,0.199,0.262,0.272,0.534,610,15.6,16.5,4.04
루친스키,3.22,30,8.92,2.77,3.22,0.6,23.5,7.3,16.2,0.298,71.6,3.17,3.83,3.73,3.64,3.22,2.49,3.46,-0.04,69.3,72.1,70.25,0.234,0.3,0.324,0.624,2969,99,16.6,3.94
파슨스,3.51,24,10.02,4.26,2.35,0.61,25.6,10.9,14.7,0.289,74.7,3.72,3.79,3.71,3.56,3.51,2.78,3.63,0.21,81.27,70.55,76.75,0.218,0.317,0.311,0.628,2370,98.8,17.8,4.11
홍성민,4.03,53,5.66,2.61,2.17,0.65,14.1,6.5,7.6,0.36,76.2,3.92,4.14,3.86,3.67,4.03,3.26,4.49,-0.11,85.58,72.86,88.06,0.317,0.368,0.425,0.793,720,13.6,17.4,3.89
류진욱,4.1,44,6.44,4.57,1.41,0.42,16.3,11.6,4.7,0.286,79.7,2.08,3.12,3.98,3.9,4.1,3.63,4.83,-2.02,45.35,77.31,89.56,0.242,0.33,0.327,0.657,769,17.5,17.7,4.05
원종현,4.17,61,7.64,3.91,1.96,0.85,18.4,9.4,9,0.376,76.7,4.25,4.58,5.77,5.64,4.17,3.14,4.32,0.07,92.7,111.79,91.07,0.315,0.386,0.427,0.813,904,14.8,17.1,3.69
임창민,4.33,46,6.47,4.46,1.45,0.45,16.3,11.2,5.1,0.273,64.3,3.79,5.13,5.14,5.04,4.33,3.83,4.79,-0.53,82.83,99.92,94.49,0.235,0.335,0.329,0.664,719,15.6,17.8,4.04
신민혁,4.36,30,6.64,2.73,2.43,1.06,17.1,7,10.1,0.307,71.7,4.41,4.66,4.52,4.46,4.36,3.08,4.19,0.04,96.23,88.47,95.31,0.271,0.327,0.42,0.747,2490,83,17.2,3.98
송명기,4.52,24,7.44,4.23,1.76,0.88,17.8,10.1,7.7,0.344,66.5,5.91,6.06,5.67,5.61,4.52,3.47,4.48,1.39,129.07,111.24,98.61,0.292,0.373,0.449,0.822,2254,93.9,18.3,3.93
배민서,4.85,32,5.18,3.83,1.35,0.68,12.3,9.1,3.2,0.348,67.6,4.95,5.85,6.01,5.99,4.85,4.04,5.01,0.1,108.09,118.67,105.89,0.317,0.389,0.41,0.799,718,22.4,18,3.84
손정욱,4.87,15,5.84,5.11,1.14,0.73,13.1,11.5,1.6,0.356,65.2,6.57,6.57,9.09,8.7,4.87,4.02,5.2,1.7,143.41,172.49,106.33,0.333,0.393,0.549,0.942,247,16.5,20,4.05
김태경,4.96,7,6,5.4,1.11,0.6,15.9,14.3,1.6,0.238,65,4.8,4.8,3.87,3.94,4.96,4.26,5.21,-0.16,104.81,78.12,108.31,0.208,0.333,0.34,0.673,286,40.9,19.1,4.54
김진성,5,42,8.84,4.3,2.06,1.67,21.3,10.3,10.9,0.327,53.8,7.17,8.12,8.12,7.94,5,2.91,4.09,2.16,156.53,157.32,109.27,0.283,0.358,0.487,0.845,663,15.8,17.6,3.81
안인산,5.04,7,12.15,9.45,1.29,0,26.5,20.6,5.9,0.2,61.5,5.4,6.75,8.1,8.21,5.04,5.11,4.69,0.36,117.92,162.74,110.1,0.136,0.382,0.182,0.564,134,19.1,20.1,3.94
임정호,5.23,60,6.23,6.49,0.96,0.52,14.5,15.2,-0.6,0.324,72.6,4.15,5.19,4.15,4.14,5.23,4.61,5.47,-1.07,90.7,82.14,114.13,0.278,0.401,0.368,0.769,660,11,19,4
