Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
루친스키,5.62,30,30,0,0,0,0,15,10,0,0,178.2,63,76,73.95,754,160,24,1,12,55,10,0,177,17,2,6,3.17,3.83,3.73,3.64,3.22,1.2
파슨스,4.31,24,24,0,1,1,0,4,8,0,0,133,55,56,54.8,577,109,16,2,9,63,11,0,148,7,1,10,3.72,3.79,3.71,3.56,3.51,1.29
신민혁,3.26,30,25,5,2,0,0,9,6,0,0,145,71,75,72.8,625,155,28,3,17,44,5,0,107,4,2,2,4.41,4.66,4.52,4.46,4.36,1.37
이재학,1.65,17,17,0,2,2,1,6,6,0,0,83,48,50,44.85,370,74,16,1,14,52,6,0,65,2,0,3,5.2,5.42,4.86,4.69,5.84,1.52
이용찬,1.41,39,0,39,30,0,0,1,3,16,3,37,9,11,13.6,151,27,4,0,2,11,1,3,35,3,1,2,2.19,2.68,3.31,3.15,2.97,1.03
송명기,1.33,24,24,0,0,0,0,8,9,0,0,123.1,81,83,77.65,574,147,39,2,12,58,9,1,102,3,1,2,5.91,6.06,5.67,5.61,4.52,1.66
홍성민,1.2,53,0,53,2,0,0,3,4,0,14,41.1,18,19,17.75,185,53,9,0,3,12,2,1,26,1,1,2,3.92,4.14,3.86,3.67,4.03,1.57
류진욱,0.99,44,0,44,11,0,0,1,0,1,7,43.1,10,15,19.15,190,40,6,1,2,22,0,0,31,5,0,4,2.08,3.12,3.98,3.9,4.1,1.43
임정호,0.76,60,0,60,1,0,0,0,4,0,12,34.2,16,20,16,165,37,4,1,2,25,3,2,24,3,0,0,4.15,5.19,4.15,4.14,5.23,1.79
김영규,0.66,37,8,29,1,0,0,5,3,0,6,63.2,38,40,40.5,286,69,8,0,10,28,1,0,42,3,0,3,5.37,5.65,5.73,5.51,5.4,1.52
박정수,0.48,3,3,0,0,0,0,3,0,0,0,16,7,7,7,69,16,4,0,2,8,1,0,11,0,0,0,3.94,3.94,3.94,3.74,5.28,1.5
문경찬,0.47,35,0,35,8,0,0,0,1,0,4,31,17,20,16.75,142,25,6,0,6,20,0,1,25,4,0,1,4.94,5.81,4.86,4.7,6.05,1.45
임창민,0.46,46,0,46,4,0,0,0,3,0,17,40.1,17,23,23.05,178,35,8,0,2,20,4,1,29,3,0,7,3.79,5.13,5.14,5.04,4.33,1.36
박진우,0.38,9,0,9,5,0,0,0,0,0,1,11,2,2,2.35,44,6,2,0,0,5,1,0,12,0,0,1,1.64,1.64,1.92,1.82,2.73,1
김태경,0.32,7,3,4,2,0,0,0,0,0,0,15,8,8,6.45,63,11,4,0,1,9,1,0,10,0,0,1,4.8,4.8,3.87,3.94,4.96,1.33
배민서,0.26,32,2,30,11,0,0,1,0,0,0,40,22,26,26.7,187,51,6,0,3,17,4,0,23,2,0,3,4.95,5.85,6.01,5.99,4.85,1.7
강태경,0.15,3,3,0,0,0,0,0,1,0,0,12.2,8,8,8,61,13,3,0,2,10,2,0,10,1,0,2,5.68,5.68,5.68,5.52,6.61,1.82
노시훈,0.13,5,0,5,1,0,0,0,0,0,0,4.2,2,2,1.5,22,4,1,0,1,4,0,0,2,0,0,0,3.86,3.86,2.89,2.85,7.9,1.71
원종현,0.13,61,0,61,33,0,0,2,2,14,6,53,25,27,34,245,67,9,0,5,23,3,2,45,3,0,4,4.25,4.58,5.77,5.64,4.17,1.7
이우석,0.1,10,0,10,3,0,0,1,0,0,0,9.2,6,6,6,49,13,4,0,1,7,3,0,8,0,0,0,5.59,5.59,5.59,5.29,6.14,2.07
최금강,0.07,20,0,20,4,0,0,2,1,1,0,28,14,14,19,129,29,6,0,4,17,2,0,25,0,0,3,4.5,4.5,6.11,6.03,5.34,1.64
