name,G,GS,IP,ERA,W,L,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,start BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war
루친스키,30,30,178.2,3.17,15,10,19,63.3,9,30,3,0,0,116,5.8,16,14,53.3,0,0,5,4,80,5.96,98.97,55.93,2.45,5.62
파슨스,24,24,133,3.72,4,8,13,54.2,2,8.3,6,0,0,58,3.9,11,12,47.8,0,0,9,2,22.2,5.54,98.75,54.92,1.94,4.31
신민혁,30,25,139,4.27,9,6,9,36,3,12,7,0,0,94,6.1,10,13,43.5,0,0,11,5,45.5,5.56,95.4,49.44,0.79,3.26
이재학,17,17,83,5.2,6,6,4,23.5,2,11.8,7,0,0,48,5.2,9,7,56.3,0,0,16,9,56.3,4.88,88.35,47.18,0.17,1.65
송명기,24,24,123.1,5.91,8,9,6,25,0,0,7,0,0,54,3.9,11,11,50,0,0,14,10,71.4,5.14,93.92,43.58,-0.87,1.33
박정수,3,3,16,3.94,3,0,0,0,0,0,2,0,0,20,11.3,3,0,100,0,0,0,0,,5.33,99.67,49.67,0.2,0.48
배민서,32,2,4.1,0,0,0,0,0,0,0,2,0,0,17,35.3,2,0,100,0,0,8,1,12.5,2.17,48.5,49.5,0.2,0.28
김태경,7,3,10,6.3,0,0,0,0,0,0,2,0,0,11,9.9,0,2,0,0,0,5,3,60,3.33,63,45.33,-0.02,0.16
강태경,3,3,12.2,5.68,0,1,1,33.3,0,0,2,0,0,3,2.1,0,2,0,0,0,2,0,0,4.22,80.33,44.67,-0.08,0.15
김영규,37,8,32.1,6.96,3,2,1,12.5,1,12.5,4,0,0,30,8.4,4,4,50,0,0,19,7,36.8,4.04,75.13,39.75,-0.63,-0.05
김진호,1,1,1,27,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,1,33,35,-0.15,-0.14
강윤구,1,1,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,2,65,31,-0.18,-0.14
강동연,12,3,11.1,8.74,1,2,0,0,0,0,1,0,0,19,15.1,1,2,33.3,0,0,10,7,70,3.78,70.33,38.33,-0.41,-0.2
김태현,6,0,0,,0,0,0,,0,,0,0,0,3,,0,0,,0,0,6,3,50,,,,,
최금강,20,0,0,,0,0,0,,0,,0,0,0,18,,0,0,,0,0,5,3,60,,,,,
이우석,10,0,0,,0,0,0,,0,,0,0,0,4,,0,0,,0,0,4,0,0,,,,,
이용준,2,0,0,,0,0,0,,0,,0,0,0,1,,0,0,,0,0,3,2,66.7,,,,,
임창민,46,0,0,,0,0,0,,0,,0,0,0,32,,0,0,,0,0,17,9,52.9,,,,,
김진성,42,0,0,,0,0,0,,0,,0,0,0,22,,0,0,,0,0,14,9,64.3,,,,,
류진욱,44,0,0,,0,0,0,,0,,0,0,0,30,,0,0,,0,0,7,1,14.3,,,,,
소이현,10,0,0,,0,0,0,,0,,0,0,0,21,,0,0,,0,0,5,0,0,,,,,
노시훈,5,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,5,1,20,,,,,
손정욱,15,0,0,,0,0,0,,0,,0,0,0,5,,0,0,,0,0,10,3,30,,,,,
문경찬,35,0,0,,0,0,0,,0,,0,0,0,16,,0,0,,0,0,13,7,53.8,,,,,
이승헌,5,0,0,,0,0,0,,0,,0,0,0,2,,0,0,,0,0,1,1,100,,,,,
안인산,7,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,1,0,0,,,,,
이용찬,39,0,0,,0,0,0,,0,,0,0,0,11,,0,0,,0,0,0,0,,,,,,
홍성민,53,0,0,,0,0,0,,0,,0,0,0,34,,0,0,,0,0,21,11,52.4,,,,,
임정호,60,0,0,,0,0,0,,0,,0,0,0,15,,0,0,,0,0,42,12,28.6,,,,,
박진우,9,0,0,,0,0,0,,0,,0,0,0,3,,0,0,,0,0,3,0,0,,,,,
김건태,6,0,0,,0,0,0,,0,,0,0,0,1,,0,0,,0,0,1,0,0,,,,,
원종현,61,0,0,,0,0,0,,0,,0,0,0,14,,0,0,,0,0,11,2,18.2,,,,,
