Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD_1,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP_2,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
루친스키,5.62,30,30,0,0,0,0,15,10,0,0,178.2,63,76,73.95,754,160,24,1,12,55,10,0,177,17,2,6,3.17,3.83,3.73,3.64,3.22,1.2,8.92,2.77,3.22,0.6,23.5,7.3,16.2,0.298,71.6,2.49,3.46,-0.04,69.3,72.1,70.25,0.234,0.3,0.324,0.624,2969,99,16.6,3.94,19,63.3,9,30,3,0,0,116,5.8,16,14,53.3,0,0,5,4,80,5.96,98.97,55.93,2.45,5.62,0,0,0,0,0,0,0,0,,0,0,0,0,17,9,0,0,,5,4,80,,,,,0.298,497,51.8,5.9,40.4,46.3,2,1.1,5.1,8.1,,,,,,
파슨스,4.31,24,24,0,1,1,0,4,8,0,0,133,55,56,54.8,577,109,16,2,9,63,11,0,148,7,1,10,3.72,3.79,3.71,3.56,3.51,1.29,10.02,4.26,2.35,0.61,25.6,10.9,14.7,0.289,74.7,2.78,3.63,0.21,81.27,70.55,76.75,0.218,0.317,0.311,0.628,2370,98.8,17.8,4.11,13,54.2,2,8.3,6,0,0,58,3.9,11,12,47.8,0,0,9,2,22.2,5.54,98.75,54.92,1.94,4.31,0,0,0,0,0,0,0,0,,0,0,0,0,14,7,0,0,,9,2,22.2,,,,,0.289,346,52.1,3.9,41.1,45.1,2.8,1.2,5.6,8.3,,,,,,
신민혁,3.26,30,25,5,2,0,0,9,6,0,0,145,71,75,72.8,625,155,28,3,17,44,5,0,107,4,2,2,4.41,4.66,4.52,4.46,4.36,1.37,6.64,2.73,2.43,1.06,17.1,7,10.1,0.307,71.7,3.08,4.19,0.04,96.23,88.47,95.31,0.271,0.327,0.42,0.747,2490,83,17.2,3.98,9,36,3,12,7,0,0,94,6.1,10,13,43.5,0,0,11,5,45.5,5.56,95.4,49.44,0.79,3.26,1,0,1,0,0,0,0,0,,0,0,0,0,13,9,1,0,0,11,5,45.5,1.2,21,0.13,0,0.307,450,38,8.5,51,59.5,2.6,0.6,6.1,8.4,,,,,,
이재학,1.65,17,17,0,2,2,1,6,6,0,0,83,48,50,44.85,370,74,16,1,14,52,6,0,65,2,0,3,5.2,5.42,4.86,4.69,5.84,1.52,7.05,5.64,1.25,1.52,17.6,14.1,3.5,0.257,73.2,4.07,4.98,-0.63,113.65,93.01,127.51,0.239,0.359,0.434,0.793,1502,88.4,18.1,4.06,4,23.5,2,11.8,7,0,0,48,5.2,9,7,56.3,0,0,16,9,56.3,4.88,88.35,47.18,0.17,1.65,0,0,0,0,0,0,0,0,,0,0,0,0,7,8,0,0,,16,9,56.3,,,,,0.263,232,38.9,5.3,52.6,57.9,3.2,0.7,9.8,2.7,,,,,,
이용찬,1.41,39,0,39,30,0,0,1,3,16,3,37,9,11,13.6,151,27,4,0,2,11,1,3,35,3,1,2,2.19,2.68,3.31,3.15,2.97,1.03,8.51,2.68,3.18,0.49,23.2,7.3,15.9,0.25,77.8,2.41,3.49,-0.78,47.8,62.42,64.78,0.199,0.262,0.272,0.534,610,15.6,16.5,4.04,0,,0,,0,0,0,11,,0,0,,0,0,0,0,,,,,,,12,2,5,16,3,4,0,4,82.6,1,0,1,0,15,7,17,5,29.4,0,0,,0.95,15.64,1.59,1.41,0.25,100,40.4,7.7,46.2,53.8,5.8,0.8,3.6,7.4,,,,,,
송명기,1.33,24,24,0,0,0,0,8,9,0,0,123.1,81,83,77.65,574,147,39,2,12,58,9,1,102,3,1,2,5.91,6.06,5.67,5.61,4.52,1.66,7.44,4.23,1.76,0.88,17.8,10.1,7.7,0.344,66.5,3.47,4.48,1.39,129.07,111.24,98.61,0.292,0.373,0.449,0.822,2254,93.9,18.3,3.93,6,25,0,0,7,0,0,54,3.9,11,11,50,0,0,14,10,71.4,5.14,93.92,43.58,-0.87,1.33,0,0,0,0,0,0,0,0,,0,0,0,0,10,11,0,0,,14,10,71.4,,,,,0.344,392,36.5,4.9,55.8,60.7,2.7,0.6,4.9,6.8,,,,,,
홍성민,1.2,53,0,53,2,0,0,3,4,0,14,41.1,18,19,17.75,185,53,9,0,3,12,2,1,26,1,1,2,3.92,4.14,3.86,3.67,4.03,1.57,5.66,2.61,2.17,0.65,14.1,6.5,7.6,0.36,76.2,3.26,4.49,-0.11,85.58,72.86,88.06,0.317,0.368,0.425,0.793,720,13.6,17.4,3.89,0,,0,,0,0,0,34,,0,0,,0,0,21,11,52.4,,,,,,10,1,2,0,14,2,1,3,82.4,0,3,1,1,11,11,30,9,30,21,11,52.4,0.78,13.58,1.36,1.2,0.36,139,51.7,2.8,44.1,46.9,1.4,1.1,4.4,11.3,,,,,,
류진욱,0.99,44,0,44,11,0,0,1,0,1,7,43.1,10,15,19.15,190,40,6,1,2,22,0,0,31,5,0,4,2.08,3.12,3.98,3.9,4.1,1.43,6.44,4.57,1.41,0.42,16.3,11.6,4.7,0.286,79.7,3.63,4.83,-2.02,45.35,77.31,89.56,0.242,0.33,0.327,0.657,769,17.5,17.7,4.05,0,,0,,0,0,0,30,,0,0,,0,0,7,1,14.3,,,,,,10,1,4,1,7,0,0,0,100,0,1,0,0,7,4,20,9,45,7,1,14.3,0.98,17.48,0.73,0.99,0.286,133,56.9,5.1,37.2,42.3,0.7,1.3,3.4,7.5,,,,,,
임정호,0.76,60,0,60,1,0,0,0,4,0,12,34.2,16,20,16,165,37,4,1,2,25,3,2,24,3,0,0,4.15,5.19,4.15,4.14,5.23,1.79,6.23,6.49,0.96,0.52,14.5,15.2,-0.6,0.324,72.6,4.61,5.47,-1.07,90.7,82.14,114.13,0.278,0.401,0.368,0.769,660,11,19,4,0,,0,,0,0,0,15,,0,0,,0,0,42,12,28.6,,,,,,12,1,2,0,12,0,0,0,100,0,2,0,0,8,13,21,3,14.3,42,12,28.6,0.58,11,1.1,0.76,0.324,108,55.8,2.7,35.4,38.1,6.2,1.5,4.7,13.5,,,,,,
김영규,0.66,37,8,29,1,0,0,5,3,0,6,63.2,38,40,40.5,286,69,8,0,10,28,1,0,42,3,0,3,5.37,5.65,5.73,5.51,5.4,1.52,5.94,3.96,1.5,1.41,14.7,9.8,4.9,0.294,69,3.63,4.81,-0.03,117.3,109.25,117.89,0.274,0.348,0.425,0.773,1088,29.4,17.1,3.8,1,12.5,1,12.5,4,0,0,30,8.4,4,4,50,0,0,19,7,36.8,4.04,75.13,39.75,-0.63,-0.05,7,0,11,0,6,0,1,1,85.7,0,1,0,0,10,10,27,8,29.6,19,7,36.8,1.08,16.79,1.27,0.72,0.294,201,46.5,3.7,47.4,51.2,2.3,0.9,9.1,8.7,,,,,,
박정수,0.48,3,3,0,0,0,0,3,0,0,0,16,7,7,7,69,16,4,0,2,8,1,0,11,0,0,0,3.94,3.94,3.94,3.74,5.28,1.5,6.19,4.5,1.38,1.13,15.9,11.6,4.3,0.298,81.8,3.88,4.88,-1.34,85.98,74.06,115.28,0.267,0.362,0.433,0.795,299,99.7,18.7,4.33,0,0,0,0,2,0,0,20,11.3,3,0,100,0,0,0,0,,5.33,99.67,49.67,0.2,0.48,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,,0,0,,,,,,0.298,47,46.9,4.1,44.9,49,4.1,1,8.3,6.3,,,,,,
문경찬,0.47,35,0,35,8,0,0,0,1,0,4,31,17,20,16.75,142,25,6,0,6,20,0,1,25,4,0,1,4.94,5.81,4.86,4.7,6.05,1.45,7.26,5.81,1.25,1.74,17.6,14.1,3.5,0.211,67.6,3.87,4.98,-1.12,107.77,93.12,132.2,0.207,0.319,0.405,0.724,531,15.2,17.1,3.74,0,,0,,0,0,0,16,,0,0,,0,0,13,7,53.8,,,,,,6,0,2,0,4,0,1,1,80,0,1,0,0,4,4,8,1,12.5,13,7,53.8,0.89,15.17,0.73,0.47,0.211,90,30.9,6.2,60.8,67,2.1,0.5,9.2,4,,,,,,
