Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
루친스키,5.69,31,31,0,0,0,0,10,12,0,0,193.2,64,77,75.1,797,184,34,2,14,34,8,1,194,10,0,9,2.97,3.58,3.49,3.49,2.8,1.13,9.02,1.58,5.71,0.65,24.3,4.3,20.1,0.318,72.3,2.01,2.99,0.18,71.97,75.43,67.67,0.249,0.288,0.357,0.645,2974,95.9,15.4,3.73,22,71,13,41.9,0,0,0,97,4.5,14,16,46.7,0,0,8,4,50,6.25,95.94,57.32,2.24,5.69,0,0,0,0,0,0,0,0,,0,0,0,0,19,10,0,0,,8,4,50,,,,,0.318,535,53.1,4.6,40.8,45.5,1.4,1.2,5.5,8.7
구창모,4.79,19,19,0,0,0,0,11,5,0,0,111.2,26,32,30.1,451,92,16,0,7,29,4,0,108,5,0,7,2.1,2.58,2.43,2.43,3.03,1.08,8.7,2.34,3.72,0.56,23.9,6.4,17.5,0.286,80.9,2.36,3.3,-0.93,50.71,52.43,73.28,0.224,0.281,0.314,0.595,1756,92.4,15.7,3.89,11,57.9,3,15.8,5,0,0,74,6,13,6,68.4,0,0,7,3,42.9,5.88,92.42,59.47,2.81,4.79,0,0,0,0,0,0,0,0,,0,0,0,0,14,4,0,0,,7,3,42.9,,,,,0.286,297,48.4,3.9,44.5,48.4,3.2,1,4.7,14.1
이용찬,2.41,59,0,59,49,0,0,3,3,22,0,60.2,14,16,18.4,253,56,6,1,3,13,3,0,61,4,0,1,2.08,2.37,2.73,2.73,2.68,1.14,9.05,1.93,4.69,0.45,24.1,5.1,19,0.308,82.4,2.16,3.12,-0.6,50.26,59.08,64.76,0.238,0.286,0.311,0.597,952,16.1,15.7,3.76,0,,0,,0,0,0,11,,0,0,,0,0,1,1,100,,,,,,16,2,9,22,0,4,0,4,84.6,2,0,2,0,27,7,26,6,23.1,1,1,100,1.03,16.14,1.59,2.41,0.308,172,50.6,4.5,40.9,45.5,4,1.1,3.8,7.1
김시훈,2.25,59,7,52,8,0,0,4,5,0,11,83.1,30,35,33.65,365,75,10,0,7,43,4,0,79,3,1,2,3.24,3.78,3.63,3.53,4.16,1.42,8.53,4.64,1.84,0.76,21.6,11.8,9.9,0.298,77.7,3.24,4.22,-0.92,78.4,76.38,100.71,0.24,0.338,0.34,0.678,1449,24.6,17.4,3.97,1,14.3,0,0,4,0,0,52,14.8,4,3,57.1,0,0,25,8,32,4.52,83.86,44.43,-0.24,0.32,12,1,11,0,11,2,0,2,84.6,0,2,1,0,19,8,21,7,33.3,25,8,32,0.99,16.58,1.11,1.93,0.298,228,47.3,4.6,43.5,48.1,4.6,1,6.1,9.3
신민혁,1.93,26,23,3,0,0,0,4,9,0,0,118.1,60,64,61.8,521,128,30,1,15,31,10,1,105,4,1,5,4.56,4.87,4.7,4.63,4.12,1.34,7.99,2.36,3.39,1.14,20.2,6,14.2,0.318,70.9,2.71,3.7,0.44,110.42,99.97,99.75,0.275,0.328,0.44,0.768,2010,77.3,17,3.86,8,34.8,2,8.7,8,0,0,51,4,11,12,47.8,0,0,16,4,25,4.97,84.52,49.17,-0.18,1.85,0,0,2,0,0,0,0,0,,0,0,0,0,12,10,2,0,0,16,4,25,1.33,22,1.02,0.08,0.318,355,40.8,6.7,48.5,55.2,4,0.7,7.2,7.8
김태경,1.48,16,7,9,3,0,0,3,2,0,1,44.1,16,16,16,194,36,6,0,4,21,5,0,31,2,0,2,3.25,3.25,3.25,3.11,4.93,1.29,6.29,4.26,1.48,0.81,16,10.8,5.2,0.242,82.1,3.96,4.78,-1.68,78.6,67.18,119.24,0.217,0.321,0.325,0.646,791,49.4,17.8,4.08,0,0,0,0,7,0,0,20,5.8,5,2,71.4,0,0,9,0,0,4.43,76,54.14,0.82,1.37,1,0,3,0,1,0,0,0,100,0,0,0,0,5,4,6,0,0,9,0,0,1.48,28.78,0.48,0.1,0.242,132,38.7,8.8,51.8,60.6,0.7,0.6,4.8,13.9
김영규,1.43,72,0,72,11,0,0,2,7,1,13,66,25,26,29.55,269,56,8,2,5,22,7,4,46,3,0,3,3.41,3.55,4.03,3.9,4.16,1.18,6.27,3,2.09,0.68,17.1,8.2,8.9,0.28,75.6,3.32,4.33,-0.76,82.49,84.35,100.77,0.242,0.324,0.359,0.683,985,13.7,14.9,3.66,0,,0,,0,0,0,49,,0,0,,0,0,25,10,40,,,,,,23,2,14,1,13,6,1,7,66.7,1,4,3,1,25,14,44,15,34.1,25,10,40,0.92,13.68,1.42,1.43,0.28,182,60.8,2.6,34,36.6,2.6,1.7,7,10.7
송명기,1.21,25,22,3,2,0,0,5,7,0,0,107.2,54,67,62.05,496,116,21,4,14,54,15,0,106,6,0,9,4.51,5.6,5.19,5.15,4.75,1.58,8.86,4.51,1.96,1.17,21.4,10.9,10.5,0.333,71.5,3.41,4.14,-0.23,109.23,111.35,114.85,0.276,0.375,0.444,0.819,2047,81.9,19,4.13,5,22.7,0,0,9,0,0,50,4.3,8,13,38.1,0,0,21,10,47.6,4.77,90.64,47.55,-0.61,1.25,1,0,1,0,0,0,0,0,,0,0,0,0,7,12,0,0,,21,10,47.6,0.89,17.67,0.36,-0.04,0.338,305,36.1,4.4,58.3,62.6,1.2,0.6,7,7.8
원종현,1.11,68,0,68,11,0,0,5,0,1,13,63.1,21,22,30.2,260,55,8,0,5,17,1,0,50,7,0,2,2.98,3.13,4.29,4.18,3.63,1.14,7.11,2.42,2.94,0.71,19.2,6.5,12.7,0.27,77.3,2.75,3.88,-0.65,72.21,90.33,87.86,0.233,0.283,0.331,0.614,957,14.1,15.1,3.68,0,,0,,0,0,0,30,,0,0,,0,0,15,4,26.7,,,,,,16,0,10,1,13,3,0,3,82.4,0,3,0,0,17,14,42,20,47.6,15,4,26.7,0.93,14.07,1.28,1.11,0.27,185,56.3,4.7,33.3,38,5.7,1.5,6.8,12.7
이재학,1.05,26,17,9,2,0,0,3,8,0,0,91,48,56,52.4,406,75,14,2,5,54,8,0,72,9,1,6,4.75,5.54,5.18,5.12,4.57,1.42,7.12,5.34,1.33,0.5,17.7,13.3,4.4,0.267,62.3,4.01,4.87,0.18,114.87,110.56,110.63,0.224,0.342,0.322,0.664,1615,62.1,17.7,3.98,5,29.4,0,0,5,0,0,55,6.7,7,10,41.2,0,0,32,9,28.1,4.33,75.18,49.24,0.03,1.34,0,0,7,0,0,0,0,0,,0,0,0,0,10,8,2,1,50,32,9,28.1,1.93,37.44,0.56,-0.29,0.267,262,39.7,8.1,49.3,57.4,2.9,0.7,3.2,8
