Name,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
정구범,0,2,33.3,33.3,33.3,66.7,0,0.5,50,0
전사민,0.16,25,50,7.7,38.5,46.2,3.8,1.1,8.3,0
이우석,0.2,5,80,0,20,20,0,4,0,0
김태경,0.242,132,38.7,8.8,51.8,60.6,0.7,0.6,4.8,13.9
하준영,0.258,97,42.7,6.8,47.6,54.4,2.9,0.8,5.4,10.7
이재학,0.267,262,39.7,8.1,49.3,57.4,2.9,0.7,3.2,8
파슨스,0.268,112,47.9,4.3,45.3,49.6,2.6,1,6.9,5.9
원종현,0.27,185,56.3,4.7,33.3,38,5.7,1.5,6.8,12.7
하준수,0.273,11,45.5,0,45.5,45.5,9.1,1,0,33.3
김영규,0.28,182,60.8,2.6,34,36.6,2.6,1.7,7,10.7
구창모,0.286,297,48.4,3.9,44.5,48.4,3.2,1,4.7,14.1
박동수,0.297,37,48.6,5.4,45.9,51.4,0,0.9,0,0
김시훈,0.298,228,47.3,4.6,43.5,48.1,4.6,1,6.1,9.3
이용찬,0.308,172,50.6,4.5,40.9,45.5,4,1.1,3.8,7.1
임정호,0.313,64,56.9,4.6,38.5,43.1,0,1.3,3.6,19
루친스키,0.318,535,53.1,4.6,40.8,45.5,1.4,1.2,5.5,8.7
신민혁,0.318,355,40.8,6.7,48.5,55.2,4,0.7,7.2,7.8
류진욱,0.329,140,47.2,2.8,47.9,50.7,2.1,0.9,2.8,10.4
더모디,0.333,117,48.4,4.9,43.4,48.4,3.3,1,5.1,14.3
송명기,0.338,305,36.1,4.4,58.3,62.6,1.2,0.6,7,7.8
조민석,0.341,44,60.4,10.4,27.1,37.5,2.1,1.6,11.1,11.8
김진호,0.354,130,44.3,6.4,45,51.4,4.3,0.9,9.7,5.7
이용준,0.377,77,45.7,1.2,46.9,48.1,6.2,0.9,10.3,3
김건태,0.385,52,30.4,12.5,57.1,69.6,0,0.4,5.1,0
강동연,0.4,35,56.8,2.7,37.8,40.5,2.7,1.4,13.3,6.3
한재승,0.406,32,50,6.3,43.8,50,0,1,0,7.7
심창민,0.45,20,42.9,9.5,47.6,57.1,0,0.8,0,22.2
