Name	BABIP	BIP	GB%	ifFB%	ofFB%	FB%	LD%	GB/FB	HR/FB%	if1B%
신민혁	0.296	405	34.4	8.2	54.1	62.3	3.3	0.6	7.5	6.4
하트	0.293	386	47.5	4.5	44.5	49	3.5	1	5.6	7.3
카스타노	0.312	340	53.5	3.9	39.7	43.7	2.8	1.2	7.1	12
김시훈	0.309	333	46.9	2.9	46.3	49.3	3.8	1	4.2	8.2
이재학	0.31	294	36.1	5.6	53.6	59.2	4.7	0.6	9	6.5
김재열	0.3	180	41	8.5	47.3	55.9	3.2	0.7	3.8	5.2
이용찬	0.425	179	46.3	3.2	46.8	50	3.7	0.9	6.3	7.3
최성영	0.355	166	41.9	3.5	49.4	52.9	5.2	0.8	7.7	6.2
이준호	0.393	163	43	2.9	50.6	53.5	3.5	0.8	7.6	9.9
임정호	0.321	159	46.7	3.6	45	48.5	4.7	1	3.7	11.1
임상현	0.315	130	35.6	6.7	55.6	62.2	2.2	0.6	6	6.5
류진욱	0.369	130	54.4	6.6	35.3	41.9	3.7	1.3	7	9.6
요키시	0.362	127	49.6	2.2	42.2	44.4	5.9	1.1	8.3	5.9
한재승	0.282	124	45.7	3.9	48	52	2.4	0.9	3	2.7
송명기	0.308	117	33.6	5.7	54.1	59.8	6.6	0.6	5.5	5
김영규	0.322	115	48.3	2.5	45.8	48.3	3.3	1	5.2	5
이용준	0.339	109	39.7	4.3	51.7	56	4.3	0.7	7.7	7.1
전사민	0.414	87	50.5	2.2	44	46.2	3.3	1.1	7.1	10.3
배재환	0.268	56	33.3	6.3	57.1	63.5	3.2	0.5	12.5	5
목지훈	0.389	36	45.9	2.7	45.9	48.6	5.4	0.9	5.6	6.7
김태현	0.314	35	40	2.5	57.5	60	0	0.7	12.5	7.1
전루건	0.517	29	41.9	3.2	48.4	51.6	6.5	0.8	0	6.7
신영우	0.333	27	44.8	3.4	48.3	51.7	3.4	0.9	0	0
김민규	0.333	24	56	4	36	40	4	1.4	0	25
최우석	0.238	21	43.5	8.7	47.8	56.5	0	0.8	15.4	0
서의태	0.222	18	68.4	0	26.3	26.3	5.3	2.6	20	0
소이현	0.375	16	31.3	6.3	62.5	68.8	0	0.5	0	0
채원후	0.462	13	46.2	0	53.8	53.8	0	0.9	0	0
손주환	0.222	9	55.6	0	44.4	44.4	0	1.3	0	0
박주현	0.286	7	37.5	25	37.5	62.5	0	0.6	20	33.3
김진호	0.5	6	57.1	0	42.9	42.9	0	1.3	0	33.3
