name	GR	IP	ERA	W	L	2time	3time	plus 1	SV	HD	BLSV	BLHD	BL+	save%	TS	TH	TBS	TBH	SD	MD	IR	IRS	IRS%	BQ	BQS	BQS%	IP/GR	P/GR	gmLI	closer war
김재열	69	68.2	2.49	1	5	16	0	13	2	12	4	1	5	73.7	0	1	2	0	13	14	34	14	41.2	14	3	21.4	1	15.9	1.16	2.42
김영규	42	45.2	3.15	4	2	9	0	13	1	14	1	1	2	88.2	0	3	0	1	19	8	19	5	26.3	18	8	44.4	1.09	17.48	1.55	1.74
한재승	51	45.1	3.97	1	2	10	0	6	0	6	3	2	5	54.5	0	1	2	1	11	12	23	12	52.2	14	7	50	0.89	15.98	0.96	0.88
임정호	65	55	4.42	1	6	13	1	11	2	9	2	0	2	84.6	2	2	1	0	11	14	41	16	39	38	19	50	0.85	15.09	1.39	0.85
김시훈	21	24	2.63	0	1	5	0	8	0	5	0	0	0	100	0	1	0	0	10	11	9	3	33.3	25	8	32	1.14	16.76	0.99	0.69
최우석	9	8.2	3.12	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0	0	2	2	100	0	0		0.96	15.44	0.06	0.16
신민혁	1	0.2	0	1	0	0	0	0	0	0	0	0	0		0	0	0	0	11	12	1	0	0	16	10	62.5	0.67	8	3.27	0.09
손주환	3	2	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	1	3	0	0	3	2	66.7	0.67	9.67	0.01	0.08
송명기	33	38.1	5.87	2	1	7	0	16	0	4	0	0	0	100	0	2	0	0	6	5	25	11	44	14	6	42.9	1.16	21.03	0.75	0.04
박주현	3	3	6	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0		0	0		1	17	0.03	0.04
신영우	2	5.2	6.35	0	0	0	0	2	0	0	0	0	0		0	0	0	0	0	2	0	0		5	2	40	2.83	50	0.16	0.03
임상현	5	9.2	3.72	0	0	0	0	3	0	0	0	0	0		0	0	0	0	3	6	2	2	100	5	3	60	1.93	31.8	0.2	0.02
김진호	2	2.1	7.71	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0	0	3	0	0	0	0		1.17	26	0.06	0
류진욱	50	42.1	5.74	2	1	10	1	6	0	10	1	1	2	83.3	0	2	0	1	11	14	31	16	51.6	30	12	40	0.85	15.2	1.22	-0.03
이준호	36	45.1	5.96	3	3	3	0	15	0	2	0	3	3	40	0	0	0	1	4	12	30	17	56.7	11	7	63.6	1.26	25	0.73	-0.05
채원후	3	3	12	0	0	1	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0		2	0	0	1	24.33	0.01	-0.06
배재환	20	19.2	7.32	0	1	3	0	4	0	0	0	0	0		0	0	0	0	1	3	13	4	30.8	8	5	62.5	0.98	19.4	0.56	-0.07
김민규	7	6.1	5.68	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0	1	4	4	100	1	0	0	0.9	16	0.42	-0.07
서의태	11	7.2	9.39	1	0	2	0	1	0	0	0	0	0		0	0	0	0	1	2	8	2	25	6	3	50	0.7	13.55	0.4	-0.08
소이현	4	3.1	13.5	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0		2	2	100	0.83	16	0.02	-0.15
김태현	11	10	7.2	0	0	0	0	3	0	0	0	0	0		0	0	0	0	0	3	7	3	42.9	1	1	100	0.91	17	0.31	-0.2
전사민	17	23.2	9.51	0	0	0	0	6	0	0	0	0	0		0	0	0	0	0	2	8	6	75	8	3	37.5	1.39	28.18	0.39	-0.45
전루건	6	5.2	22.24	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0	1	1	1	100	9	1	11.1	0.94	29	0.11	-0.45
최성영	20	30	7.8	0	0	2	0	7	1	1	0	0	0	100	1	0	0	0	4	6	8	5	62.5	6	4	66.7	1.5	27.85	0.74	-0.52
이용찬	57	54.1	6.13	3	9	13	1	10	16	2	4	1	5	78.3	2	1	2	0	19	17	22	5	22.7	13	7	53.8	0.95	18.28	1.66	-1.14
요키시	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	4	3	0	0		5	1	20				
목지훈	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	3	0	0		3	2	66.7				
카스타노	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	7	7	0	0		8	3	37.5				
하트	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	16	8	0	0		4	0	0				
이재학	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	7	10	0	0		8	4	50				
이용준	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	3	6	0	0		8	5	62.5				
