Name	FIP	G	K/9	BB/9	K/BB	HR/9	K%	BB%	K-BB%	BABIP	LOB	ERA	RA9	rRA9	rRA9pf	FIP	xFIP	kwERA	ERA-FIP	ERA-	rRA9-	FIP-	AVG	OBP	SLG	OPS	NP	P/G	P/IP	P/PA
하트	3.1	26	10.43	2.18	4.79	0.63	28.8	6	22.8	0.293	77.2	2.69	2.92	2.92	3	3.1	2.35	2.66	-0.41	55.74	56.24	65.23	0.215	0.275	0.303	0.578	2465	94.8	15.7	3.91
김영규	3.37	42	9.46	2.76	3.43	0.59	26.2	7.7	18.6	0.322	70.6	3.15	3.74	3.39	3.53	3.37	2.67	3.17	-0.22	65.24	66.3	70.89	0.244	0.304	0.323	0.627	734	17.5	16.1	4.01
김진호	3.64	2	11.57	7.71	1.5	0	25	16.7	8.3	0.5	60	7.71	7.71	7.71	8.07	3.64	3.73	4.4	4.07	159.61	151.32	76.58	0.333	0.455	0.333	0.788	52	26	22.3	4.33
김재열	3.72	69	8.78	3.8	2.31	0.52	23.6	10.2	13.4	0.3	82.7	2.49	2.62	3.34	3.46	3.72	3.12	3.79	-1.23	51.52	64.89	78.16	0.233	0.311	0.349	0.66	1097	15.9	16	3.86
손주환	4.01	4	9.82	4.91	2	0	25	12.5	12.5	0.222	20	9.82	9.82	6.87	6.9	4.01	4.08	3.9	5.81	203.14	129.37	84.28	0.154	0.313	0.154	0.467	65	16.3	17.7	4.06
임정호	4.22	65	7.53	4.09	1.84	0.49	18.9	10.3	8.6	0.321	64.1	4.42	5.24	5.18	5.28	4.22	3.67	4.36	0.2	91.41	99.01	88.79	0.263	0.347	0.356	0.703	981	15.1	17.8	4.04
카스타노	4.27	19	7.17	2.02	3.56	0.89	18.7	5.3	13.4	0.312	62.7	4.35	5.24	5.11	5.2	4.27	3.19	3.79	0.08	90.05	97.56	89.72	0.269	0.316	0.416	0.732	1783	93.8	16	3.75
한재승	4.35	51	8.74	5.36	1.63	0.4	21.9	13.4	8.5	0.282	71.9	3.97	4.17	4.8	4.84	4.35	3.92	4.39	-0.38	82.15	90.76	91.45	0.222	0.335	0.311	0.646	815	16	18	4.05
이용찬	4.57	57	8.12	3.48	2.33	0.99	18.7	8	10.7	0.425	58.8	6.13	7.95	7.7	8	4.57	3.37	4.12	1.56	126.8	150.01	96.11	0.353	0.409	0.543	0.952	1042	18.3	19.2	3.98
류진욱	4.68	50	7.87	4.04	1.95	0.85	19.1	9.8	9.3	0.369	64.2	5.74	6.38	6.78	6.7	4.68	3.64	4.29	1.06	118.76	125.61	98.33	0.308	0.38	0.426	0.806	760	15.2	18	3.92
김민규	4.88	7	2.84	4.26	0.67	0	6.7	10	-3.3	0.333	63.6	5.68	5.68	8.6	8.9	4.88	4.98	5.8	0.81	117.6	166.9	102.57	0.32	0.379	0.36	0.739	112	16	17.7	3.73
송명기	4.96	33	7.28	3.99	1.82	0.94	17.9	9.8	8.1	0.308	61.1	5.87	6.34	6.74	6.82	4.96	3.84	4.43	0.91	121.44	128.01	104.2	0.268	0.349	0.409	0.758	694	21	18.1	4.01
김시훈	5.04	39	6.21	4.95	1.25	0.59	15.5	12.4	3.1	0.309	69.1	4.53	5.03	4.82	4.98	5.04	4.37	5.02	-0.51	93.68	93.5	106.02	0.269	0.361	0.386	0.747	1887	48.4	17.6	3.96
이재학	5.18	21	8.37	3.62	2.31	1.47	21	9.1	11.9	0.31	66.2	5.52	5.87	5.71	5.86	5.18	3.36	3.97	0.34	114.22	110.01	108.93	0.266	0.339	0.473	0.812	1814	86.4	17.4	3.93
신민혁	5.23	25	5.5	1.19	4.63	1.49	14.1	3.1	11.1	0.296	71.1	4.31	4.98	4.56	4.67	5.23	3.4	4.07	-0.91	89.26	87.61	109.89	0.284	0.312	0.467	0.779	2003	80.1	16.6	3.82
