Name	War	G	GS	GR	GF	CG	SHO	W	L	S	HD	IP	ER	R	Rra	TBF	H	2B	3B	HR	BB	HP	IB	SO	ROE	BK	wild pitch	ERA	RA9	rRA9	rRA9pf	FIP	WHIP
하트	6.93	26	26	0	0	0	0	13	3	0	0	157	47	51	51	631	124	16	1	11	38	11	0	182	7	0	2	2.69	2.92	2.92	3	3.1	1.03
신민혁	3.14	25	24	1	1	0	0	8	9	0	0	121	58	67	61.3	524	140	24	3	20	16	7	0	74	8	1	2	4.31	4.98	4.56	4.67	5.23	1.29
김재열	2.42	69	0	69	16	0	0	1	5	2	12	68.2	19	20	25.45	284	58	15	1	4	29	0	3	67	2	1	1	2.49	2.62	3.34	3.46	3.72	1.27
김시훈	2.31	39	18	21	0	0	0	3	4	0	5	107.1	54	60	57.45	477	110	25	1	7	59	3	0	74	7	1	1	4.53	5.03	4.82	4.98	5.04	1.57
카스타노	2.26	19	19	0	0	0	0	8	6	0	0	111.2	54	65	63.45	476	117	23	4	11	25	7	0	89	7	1	0	4.35	5.24	5.11	5.2	4.27	1.27
김영규	1.74	42	0	42	4	0	0	4	2	1	14	45.2	16	19	17.2	183	40	4	0	3	14	1	0	48	2	0	1	3.15	3.74	3.39	3.53	3.37	1.18
이재학	1.45	21	21	0	0	0	0	3	12	0	0	104.1	64	68	66.25	462	108	27	3	17	42	4	0	97	3	0	2	5.52	5.87	5.71	5.86	5.18	1.44
한재승	0.88	51	0	51	12	0	0	1	2	0	6	45.1	20	21	24.2	201	37	7	1	2	27	3	0	44	2	0	6	3.97	4.17	4.8	4.84	4.35	1.41
임정호	0.85	65	0	65	10	0	0	1	6	2	9	55	27	32	31.65	243	54	8	1	3	25	3	3	46	3	0	0	4.42	5.24	5.18	5.28	4.22	1.44
요키시	0.22	8	8	0	0	0	0	3	4	0	0	39.1	25	29	28.65	189	51	11	2	5	20	2	0	32	3	0	2	5.72	6.64	6.56	6.86	5.41	1.81
최우석	0.16	9	0	9	3	0	0	0	0	0	0	8.2	3	3	4.2	37	7	2	0	2	6	0	0	8	0	0	1	3.12	3.12	4.36	4.59	6.78	1.5
이용준	0.12	9	9	0	0	0	0	2	3	0	0	33.2	25	28	25.4	157	42	6	2	5	14	1	0	26	3	0	1	6.68	7.49	6.79	7.1	5.42	1.66
송명기	0.04	33	0	33	5	0	0	2	1	0	4	38.1	25	27	28.7	173	40	7	1	4	17	3	1	31	2	0	7	5.87	6.34	6.74	6.82	4.96	1.49
박주현	0.04	3	0	3	1	0	0	0	0	0	0	3	2	2	2	13	3	0	0	1	1	0	0	4	0	0	0	6	6	6	5.44	5.87	1.33
김진호	0	2	0	2	1	0	0	0	0	0	0	2.1	2	2	2	12	3	0	0	0	2	0	0	3	0	0	0	7.71	7.71	7.71	8.07	3.64	2.14
류진욱	-0.03	50	0	50	5	0	0	2	1	0	10	42.1	27	30	31.9	194	52	8	0	4	19	2	0	37	1	0	3	5.74	6.38	6.78	6.7	4.68	1.68
손주환	-0.03	4	1	3	2	0	0	0	1	0	0	3.2	4	4	2.8	16	2	0	0	0	2	1	0	4	0	0	0	9.82	9.82	6.87	6.9	4.01	1.09
임상현	-0.03	12	7	5	1	0	0	1	5	0	0	40.1	29	35	34.5	181	46	13	0	5	23	2	0	21	1	0	1	6.47	7.81	7.7	7.64	6.29	1.71
최성영	-0.05	24	4	20	7	0	0	2	0	1	1	46.2	30	37	37.5	218	65	10	0	7	17	0	0	29	3	0	0	5.79	7.14	7.23	7.25	5.3	1.76
채원후	-0.06	3	0	3	1	0	0	0	0	0	0	3	4	4	4	18	6	2	0	0	3	0	0	2	0	0	2	12	12	12	11.86	5.63	3
배재환	-0.07	20	0	20	5	0	0	0	1	0	0	19.2	16	17	16.5	91	20	2	0	5	15	0	1	13	0	0	0	7.32	7.78	7.55	7.56	7.94	1.78
김민규	-0.07	7	0	7	3	0	0	0	0	0	0	6.1	4	4	6.05	30	8	1	0	0	3	0	0	2	0	0	1	5.68	5.68	8.6	8.9	4.88	1.74
