name	G	GS	IP	ERA	W	L	QS	QS%	QS+	QS+%	QH	TL	CW	RS	RS9	start W	start L	W%	start BW	start BL	start BQ	start BQS	start BQS%	IP/GS	P/GS	AGS	starter waa	starter war
하트	26	26	157	2.69	13	3	17	65.4	9	34.6	4	0	0	93	5.3	18	7	72	0	0	4	0	0	6.04	94.81	60.58	4.14	6.93
신민혁	25	24	120.1	4.34	7	9	10	41.7	2	8.3	7	0	0	84	6.3	10	14	41.7	0	0	16	10	62.5	5.01	83.13	47.83	0.91	3.05
카스타노	19	19	111.2	4.35	8	6	12	63.2	4	21.1	1	0	0	82	6.6	10	8	55.6	0	0	8	3	37.5	5.88	93.84	49.63	0.28	2.26
김시훈	39	18	83.1	5.08	3	3	3	16.7	0	0	7	0	0	83	9	7	11	38.9	0	0	25	8	32	4.63	85.28	45.44	0.13	1.62
이재학	21	21	104.1	5.52	3	12	7	33.3	2	9.5	6	0	0	48	4.1	5	16	23.8	0	0	8	4	50	4.97	86.38	46.95	-0.41	1.45
최성영	24	4	16.2	2.16	2	0	1	25	0	0	1	0	0	27	14.6	3	1	75	0	0	6	4	66.7	4.17	63	48.5	0.18	0.48
요키시	8	8	39.1	5.72	3	4	2	25	0	0	3	0	0	32	7.3	3	5	37.5	0	0	5	1	20	4.92	94.5	41.5	-0.48	0.22
이용준	9	9	33.2	6.68	2	3	1	11.1	0	0	3	0	0	27	7.2	2	7	22.2	0	0	8	5	62.5	3.74	67	42.56	-0.48	0.12
임상현	12	7	30.2	7.34	1	5	1	14.3	0	0	2	0	0	20	5.9	1	6	14.3	0	0	5	3	60	4.38	72.57	38.86	-0.6	-0.05
손주환	4	1	1.2	21.6	0	1	0	0	0	0	0	0	0	2	10.8	0	1	0	0	0	3	2	66.7	1.67	36	35	-0.14	-0.11
신영우	4	2	3.2	17.18	0	1	0	0	0	0	1	0	0	7	17.2	1	1	50	0	0	5	2	40	1.83	50	37	-0.23	-0.17
목지훈	3	3	9	12	0	1	0	0	0	0	1	0	0	11	11	1	2	33.3	0	0	3	2	66.7	3	71.67	30.67	-0.42	-0.26
이준호	38	2	4	24.75	0	2	0	0	0	0	0	0	0	23	51.8	0	2	0	0	0	11	7	63.6	2	59.5	22	-0.64	-0.57
김민규	7	0	0		0	0	0		0		0	0	0	2		0	0		0	0	1	0	0					
배재환	20	0	0		0	0	0		0		0	0	0	22		0	0		0	0	8	5	62.5					
김진호	2	0	0		0	0	0		0		0	0	0	2		0	0		0	0	0	0						
김영규	42	0	0		0	0	0		0		0	0	0	21		0	0		0	0	18	8	44.4					
전루건	6	0	0		0	0	0		0		0	0	0	3		0	0		0	0	9	1	11.1					
송명기	33	0	0		0	0	0		0		0	0	0	25		0	0		0	0	14	6	42.9					
한재승	51	0	0		0	0	0		0		0	0	0	16		0	0		0	0	14	7	50					
류진욱	50	0	0		0	0	0		0		0	0	0	22		0	0		0	0	30	12	40					
김태현	11	0	0		0	0	0		0		0	0	0	10		0	0		0	0	1	1	100					
박주현	3	0	0		0	0	0		0		0	0	0	4		0	0		0	0	0	0						
김재열	69	0	0		0	0	0		0		0	0	0	48		0	0		0	0	14	3	21.4					
임정호	65	0	0		0	0	0		0		0	0	0	37		0	0		0	0	38	19	50					
서의태	11	0	0		0	0	0		0		0	0	0	0		0	0		0	0	6	3	50					
전사민	17	0	0		0	0	0		0		0	0	0	10		0	0		0	0	8	3	37.5					
최우석	9	0	0		0	0	0		0		0	0	0	3		0	0		0	0	0	0						
이용찬	57	0	0		0	0	0		0		0	0	0	7		0	0		0	0	13	7	53.8					
채원후	3	0	0		0	0	0		0		0	0	0	1		0	0		0	0	2	0	0					
소이현	4	0	0		0	0	0		0		0	0	0	1		0	0		0	0	2	2	100					
