Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
하트,6.93,26,26,0,0,0,0,13,3,0,0,157,47,51,51,631,124,16,1,11,38,11,0,182,7,0,2,2.69,2.92,2.92,3,3.1,1.03,10.43,2.18,4.79,0.63,28.8,6,22.8,0.293,77.2,2.35,2.66,-0.41,55.74,56.24,65.23,0.215,0.275,0.303,0.578,2465,94.8,15.7,3.91,17,65.4,9,34.6,4,0,0,93,5.3,18,7,72,0,0,4,0,0,6.04,94.81,60.58,4.14,6.93,0,0,0,0,0,0,0,0,,0,0,0,0,16,8,0,0,,4,0,0,,,,,0.293,386,47.5,4.5,44.5,49,3.5,1,5.6,7.3,942,955,1036,1136,1085,1052
신민혁,3.14,25,24,1,1,0,0,8,9,0,0,121,58,67,61.3,524,140,24,3,20,16,7,0,74,8,1,2,4.31,4.98,4.56,4.67,5.23,1.29,5.5,1.19,4.63,1.49,14.1,3.1,11.1,0.296,71.1,3.4,4.07,-0.91,89.26,87.61,109.89,0.284,0.312,0.467,0.779,2003,80.1,16.6,3.82,10,41.7,2,8.3,7,0,0,84,6.3,10,14,41.7,0,0,16,10,62.5,5.01,83.13,47.83,0.91,3.05,0,0,0,0,0,0,0,0,,0,0,0,0,11,12,1,0,0,16,10,62.5,0.67,8,3.27,0.09,0.296,405,34.4,8.2,54.1,62.3,3.3,0.6,7.5,6.4,942,955,1036,1136,1085,1052
김재열,2.42,69,0,69,16,0,0,1,5,2,12,68.2,19,20,25.45,284,58,15,1,4,29,0,3,67,2,1,1,2.49,2.62,3.34,3.46,3.72,1.27,8.78,3.8,2.31,0.52,23.6,10.2,13.4,0.3,82.7,3.12,3.79,-1.23,51.52,64.89,78.16,0.233,0.311,0.349,0.66,1097,15.9,16,3.86,0,,0,,0,0,0,48,,0,0,,0,0,14,3,21.4,,,,,,16,0,13,2,12,4,1,5,73.7,0,1,2,0,13,14,34,14,41.2,14,3,21.4,1,15.9,1.16,2.42,0.3,180,41,8.5,47.3,55.9,3.2,0.7,3.8,5.2,942,955,1036,1136,1085,1052
김시훈,2.31,39,18,21,0,0,0,3,4,0,5,107.1,54,60,57.45,477,110,25,1,7,59,3,0,74,7,1,1,4.53,5.03,4.82,4.98,5.04,1.57,6.21,4.95,1.25,0.59,15.5,12.4,3.1,0.309,69.1,4.37,5.02,-0.51,93.68,93.5,106.02,0.269,0.361,0.386,0.747,1887,48.4,17.6,3.96,3,16.7,0,0,7,0,0,83,9,7,11,38.9,0,0,25,8,32,4.63,85.28,45.44,0.13,1.62,5,0,8,0,5,0,0,0,100,0,1,0,0,10,11,9,3,33.3,25,8,32,1.14,16.76,0.99,0.69,0.309,333,46.9,2.9,46.3,49.3,3.8,1,4.2,8.2,942,955,1036,1136,1085,1052
카스타노,2.26,19,19,0,0,0,0,8,6,0,0,111.2,54,65,63.45,476,117,23,4,11,25,7,0,89,7,1,0,4.35,5.24,5.11,5.2,4.27,1.27,7.17,2.02,3.56,0.89,18.7,5.3,13.4,0.312,62.7,3.19,3.79,0.08,90.05,97.56,89.72,0.269,0.316,0.416,0.732,1783,93.8,16,3.75,12,63.2,4,21.1,1,0,0,82,6.6,10,8,55.6,0,0,8,3,37.5,5.88,93.84,49.63,0.28,2.26,0,0,0,0,0,0,0,0,,0,0,0,0,7,7,0,0,,8,3,37.5,,,,,0.312,340,53.5,3.9,39.7,43.7,2.8,1.2,7.1,12,942,955,1036,1136,1085,1052
김영규,1.74,42,0,42,4,0,0,4,2,1,14,45.2,16,19,17.2,183,40,4,0,3,14,1,0,48,2,0,1,3.15,3.74,3.39,3.53,3.37,1.18,9.46,2.76,3.43,0.59,26.2,7.7,18.6,0.322,70.6,2.67,3.17,-0.22,65.24,66.3,70.89,0.244,0.304,0.323,0.627,734,17.5,16.1,4.01,0,,0,,0,0,0,21,,0,0,,0,0,18,8,44.4,,,,,,9,0,13,1,14,1,1,2,88.2,0,3,0,1,19,8,19,5,26.3,18,8,44.4,1.09,17.48,1.55,1.74,0.322,115,48.3,2.5,45.8,48.3,3.3,1,5.2,5,942,955,1036,1136,1085,1052
이재학,1.45,21,21,0,0,0,0,3,12,0,0,104.1,64,68,66.25,462,108,27,3,17,42,4,0,97,3,0,2,5.52,5.87,5.71,5.86,5.18,1.44,8.37,3.62,2.31,1.47,21,9.1,11.9,0.31,66.2,3.36,3.97,0.34,114.22,110.01,108.93,0.266,0.339,0.473,0.812,1814,86.4,17.4,3.93,7,33.3,2,9.5,6,0,0,48,4.1,5,16,23.8,0,0,8,4,50,4.97,86.38,46.95,-0.41,1.45,0,0,0,0,0,0,0,0,,0,0,0,0,7,10,0,0,,8,4,50,,,,,0.31,294,36.1,5.6,53.6,59.2,4.7,0.6,9,6.5,942,955,1036,1136,1085,1052
한재승,0.88,51,0,51,12,0,0,1,2,0,6,45.1,20,21,24.2,201,37,7,1,2,27,3,0,44,2,0,6,3.97,4.17,4.8,4.84,4.35,1.41,8.74,5.36,1.63,0.4,21.9,13.4,8.5,0.282,71.9,3.92,4.39,-0.38,82.15,90.76,91.45,0.222,0.335,0.311,0.646,815,16,18,4.05,0,,0,,0,0,0,16,,0,0,,0,0,14,7,50,,,,,,10,0,6,0,6,3,2,5,54.5,0,1,2,1,11,12,23,12,52.2,14,7,50,0.89,15.98,0.96,0.88,0.282,124,45.7,3.9,48,52,2.4,0.9,3,2.7,942,955,1036,1136,1085,1052
임정호,0.85,65,0,65,10,0,0,1,6,2,9,55,27,32,31.65,243,54,8,1,3,25,3,3,46,3,0,0,4.42,5.24,5.18,5.28,4.22,1.44,7.53,4.09,1.84,0.49,18.9,10.3,8.6,0.321,64.1,3.67,4.36,0.2,91.41,99.01,88.79,0.263,0.347,0.356,0.703,981,15.1,17.8,4.04,0,,0,,0,0,0,37,,0,0,,0,0,38,19,50,,,,,,13,1,11,2,9,2,0,2,84.6,2,2,1,0,11,14,41,16,39,38,19,50,0.85,15.09,1.39,0.85,0.321,159,46.7,3.6,45,48.5,4.7,1,3.7,11.1,942,955,1036,1136,1085,1052
요키시,0.22,8,8,0,0,0,0,3,4,0,0,39.1,25,29,28.65,189,51,11,2,5,20,2,0,32,3,0,2,5.72,6.64,6.56,6.86,5.41,1.81,7.32,4.58,1.6,1.14,16.9,10.6,6.3,0.362,66.7,4,4.64,0.31,118.35,128.7,113.79,0.313,0.392,0.497,0.889,756,94.5,19.2,4,2,25,0,0,3,0,0,32,7.3,3,5,37.5,0,0,5,1,20,4.92,94.5,41.5,-0.48,0.22,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,0,0,,5,1,20,,,,,0.362,127,49.6,2.2,42.2,44.4,5.9,1.1,8.3,5.9,942,955,1036,1136,1085,1052
