Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD_1,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP_2,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
뷰캐넌,6.7,27,27,0,1,1,0,15,7,0,0,174.2,67,71,69.45,728,172,19,2,16,50,7,0,121,12,0,2,3.45,3.66,3.58,3.3,4.36,1.27,6.24,2.58,2.42,0.82,16.6,6.9,9.8,0.297,76.3,3.37,4.23,-0.91,67.64,58.93,85.52,0.261,0.318,0.369,0.687,2819,104.4,16.1,3.87,18,66.7,11,40.7,1,0,0,130,6.7,17,8,68,0,0,7,3,42.9,6.47,104.41,53.81,3.59,6.7,0,0,0,0,0,0,0,0,,0,0,0,0,15,8,0,0,,7,3,42.9,,,,,0.297,526,51.8,2.5,43.8,46.4,1.8,1.1,6.3,9.9,,,,,,
최채흥,4.85,26,26,0,1,1,1,11,6,0,0,146,58,67,64.75,617,131,27,1,12,51,7,0,123,9,3,3,3.58,4.13,3.99,3.75,4.1,1.25,7.58,3.14,2.41,0.74,19.9,8.3,11.7,0.282,70.9,3.23,4,-0.52,70.05,67.09,80.3,0.237,0.307,0.354,0.661,2516,96.8,17.2,4.08,12,46.2,6,23.1,8,0,0,95,5.9,13,12,52,0,0,17,5,29.4,5.62,96.77,53.08,2.25,4.85,0,0,0,0,0,0,0,0,,0,0,0,0,13,6,0,0,,17,5,29.4,,,,,0.282,422,39.9,7.6,50.5,58,2.1,0.7,4.7,6.9,,,,,,
라이블리,3.19,21,21,0,0,0,0,6,7,0,0,112,53,54,54,478,98,16,1,11,39,12,0,95,7,0,2,4.26,4.34,4.34,4.19,4.45,1.22,7.63,3.13,2.44,0.88,19.9,8.2,11.7,0.273,70.9,3.39,3.99,-0.2,83.44,74.93,87.28,0.233,0.313,0.355,0.668,1986,94.6,17.7,4.15,7,33.3,5,23.8,7,0,0,55,4.4,8,12,40,0,0,6,0,0,5.33,94.57,52.29,1.2,3.19,0,0,0,0,0,0,0,0,,0,0,0,0,8,11,0,0,,6,0,0,,,,,0.273,319,42.8,9,45.8,54.8,2.4,0.8,6,7.1,,,,,,
원태인,2.9,27,26,1,1,0,0,6,10,0,0,140,76,84,81.95,626,162,32,1,19,56,5,2,78,7,0,6,4.89,5.4,5.27,4.9,5.55,1.56,5.01,3.6,1.39,1.22,12.5,8.9,3.5,0.308,70.9,4.06,4.98,-0.66,95.72,87.62,108.66,0.289,0.358,0.451,0.809,2372,87.9,16.9,3.79,11,42.3,6,23.1,5,0,0,77,5,9,16,36,0,0,10,5,50,5.35,90.77,45.08,0.39,2.86,0,0,0,0,0,0,0,0,,0,0,0,0,9,11,0,0,,10,5,50,1,12,0.06,0.04,0.308,465,40,6.4,51.1,57.5,2.5,0.7,6.8,7.4,,,,,,
오승환,2.14,45,0,45,34,0,0,3,2,18,2,47.2,14,14,17.45,201,44,10,1,2,15,2,0,39,1,0,1,2.64,2.64,3.29,2.94,3.55,1.24,7.36,2.83,2.6,0.38,19.4,7.5,11.9,0.302,81,3.17,3.97,-0.91,51.79,52.62,69.64,0.244,0.31,0.344,0.654,790,17.6,16.6,3.93,0,,0,,0,0,0,11,,0,0,,0,0,1,0,0,,,,,,14,2,10,18,2,4,0,4,83.3,3,0,1,0,20,7,19,6,31.6,1,0,0,1.06,17.56,1.65,2.14,0.302,139,40.7,7.6,50.3,57.9,1.4,0.7,2.4,2.3,,,,,,
이승현,1.67,65,0,65,6,0,0,1,2,0,14,54.1,21,22,23.35,226,45,7,1,11,25,0,1,52,1,0,2,3.48,3.64,3.87,3.64,5.44,1.29,8.61,4.14,2.08,1.82,23,11.1,11.9,0.252,87.3,3.13,3.97,-1.96,68.15,65.14,106.55,0.228,0.314,0.442,0.756,924,14.2,17,4.09,0,,0,,0,0,0,30,,0,0,,0,0,20,2,10,,,,,,15,1,6,0,14,2,1,3,82.4,0,4,1,0,16,9,39,4,10.3,20,2,10,0.84,14.22,1.11,1.67,0.252,135,40.9,6,51,57,2,0.7,12.9,6.7,,,,,,
김대우,1.26,28,9,19,3,0,0,3,7,0,1,77.2,44,49,47.95,350,95,17,1,9,26,6,0,37,4,1,1,5.1,5.68,5.56,5.16,5.46,1.56,4.29,3.01,1.42,1.04,10.6,7.4,3.1,0.317,68.4,4.22,5.02,-0.36,99.9,92.18,106.98,0.304,0.364,0.45,0.814,1346,48.1,17.3,3.85,1,11.1,0,0,6,0,0,45,9.9,3,6,33.3,0,0,12,5,41.7,4.56,79.44,40.78,-0.02,0.71,1,0,9,0,1,0,1,1,50,0,0,0,1,6,9,8,4,50,12,5,41.7,1.93,33.21,0.72,0.55,0.317,271,37.4,7.5,50.5,58,4.6,0.6,5.5,3.2,,,,,,
허윤동,1.05,11,11,0,0,0,0,2,1,0,0,45,24,26,23.95,204,43,10,0,4,31,2,0,18,2,1,0,4.8,5.2,4.79,4.67,6.33,1.64,3.6,6.2,0.58,0.8,8.8,15.2,-6.4,0.264,71.4,5.41,6.16,-1.53,94.04,83.54,123.95,0.254,0.374,0.385,0.759,839,76.3,18.6,4.11,0,0,0,0,11,0,0,32,6.4,6,5,54.5,0,0,7,4,57.1,4.09,76.27,45.64,0.25,1.05,0,0,0,0,0,0,0,0,,0,0,0,0,3,6,0,0,,7,4,57.1,,,,,0.264,148,30.7,8.5,57.5,66,3.3,0.5,4,7,,,,,,
최지광,0.87,51,0,51,2,0,0,1,3,0,15,44.1,24,24,25.2,199,34,5,0,2,31,3,4,45,3,0,5,4.87,4.87,5.12,4.69,4.16,1.47,9.14,6.29,1.45,0.41,22.6,15.6,7,0.283,67.7,3.71,4.56,0.71,95.46,83.91,81.55,0.218,0.351,0.288,0.639,781,15.3,17.6,3.92,0,,0,,0,0,0,36,,0,0,,0,0,16,8,50,,,,,,13,0,2,0,15,6,0,6,71.4,0,2,3,0,11,9,27,12,44.4,16,8,50,0.87,15.31,1.29,0.87,0.283,113,50,5,44.2,49.2,0.8,1,3.4,5.9,,,,,,
임현준,0.62,51,0,51,5,0,0,1,1,0,5,25.1,5,7,12.1,109,24,3,0,2,7,6,1,18,0,0,1,1.78,2.49,4.3,4.09,4.63,1.22,6.4,2.49,2.57,0.71,16.5,6.4,10.1,0.293,88.2,3.82,4.19,-2.85,34.8,73.16,90.65,0.261,0.343,0.359,0.702,419,8.2,16.5,3.84,0,,0,,0,0,0,5,,0,0,,0,0,20,0,0,,,,,,22,11,0,0,5,0,0,0,100,0,2,0,0,9,5,44,11,25,20,0,0,0.5,8.22,0.89,0.62,0.293,75,30.8,10.3,56.4,66.7,2.6,0.5,3.8,4.2,,,,,,
