name,GR,IP,ERA,W,L,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war
오승환,45,47.2,2.64,3,2,14,2,10,18,2,4,0,4,83.3,3,0,1,0,20,7,19,6,31.6,1,0,0,1.06,17.56,1.65,2.14
이승현,65,54.1,3.48,1,2,15,1,6,0,14,2,1,3,82.4,0,4,1,0,16,9,39,4,10.3,20,2,10,0.84,14.22,1.11,1.67
최지광,51,44.1,4.87,1,3,13,0,2,0,15,6,0,6,71.4,0,2,3,0,11,9,27,12,44.4,16,8,50,0.87,15.31,1.29,0.87
임현준,51,25.1,1.78,1,1,22,11,0,0,5,0,0,0,100,0,2,0,0,9,5,44,11,25,20,0,0,0.5,8.22,0.89,0.62
김대우,19,36.2,3.93,1,2,1,0,9,0,1,0,1,1,50,0,0,0,1,6,9,8,4,50,12,5,41.7,1.93,33.21,0.72,0.55
노성호,45,36.1,4.46,2,3,8,1,3,0,10,0,0,0,100,0,1,0,0,6,10,15,9,60,18,9,50,0.81,15.02,0.91,0.52
우규민,52,48,6.19,3,3,11,1,7,7,11,2,1,3,85.7,1,3,1,0,19,9,21,7,33.3,15,12,80,0.92,15,1.32,0.5
김윤수,61,58,4.66,3,5,13,0,10,0,12,3,0,3,80,0,0,2,0,12,9,26,14,53.8,19,5,26.3,0.95,16.49,1.01,0.42
양창섭,7,6.2,2.7,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,1,0,0,0,0,,0.95,15,0.55,0.23
이상민,16,12,6.75,0,1,3,1,2,0,1,0,0,0,100,0,0,0,0,2,5,6,4,66.7,9,4,44.4,0.75,13.75,0.97,0.05
원태인,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,9,11,0,0,,10,5,50,1,12,0.06,0.04
홍원표,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1,24,0.01,0.04
홍정우,30,30,6.6,0,0,4,0,3,0,1,0,0,0,100,0,0,0,0,0,2,11,5,45.5,2,1,50,1,18.67,0.34,0.03
정인욱,5,5.1,8.44,0,0,2,1,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,,1.07,20.8,0.03,0
장필준,29,26,6.92,0,2,7,1,2,0,4,0,1,1,80,0,0,0,0,3,7,8,4,50,12,4,33.3,0.9,17.1,0.65,-0.04
심창민,23,20.1,7.52,2,2,4,0,4,0,3,1,0,1,75,0,1,0,0,7,6,10,2,20,18,9,50,0.88,17.91,1.24,-0.09
이승민,2,3,15,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,1,4,0,0,,4,1,25,1.5,30.5,0.12,-0.13
이재익,4,0.2,99.99,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,4,4,100,0.17,13.5,0.11,-0.39
권오준,17,16,8.44,0,2,2,0,4,0,1,0,0,0,100,0,0,0,0,1,4,15,8,53.3,9,5,55.6,0.94,17.24,0.54,-0.4
황동재,1,1.1,54,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,,3,1,33.3,1.33,50,0.94,-0.53
장지훈,29,27.2,10.08,0,1,8,0,3,0,0,1,0,1,0,0,0,0,0,1,3,4,1,25,8,4,50,0.95,20.9,0.41,-0.71
라이블리,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,8,11,0,0,,6,0,0,,,,
윤성환,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,3,0,0,,2,0,0,,,,
허윤동,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,3,6,0,0,,7,4,57.1,,,,
백정현,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,4,7,0,0,,1,0,0,,,,
최채흥,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,13,6,0,0,,17,5,29.4,,,,
뷰캐넌,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,15,8,0,0,,7,3,42.9,,,,
