Name,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
구준범,0,5,14.3,0,71.4,71.4,14.3,0.2,40,0
노성호,0.178,45,31.3,14.6,50,64.6,4.2,0.5,6.5,0
라이블리,0.241,79,32.1,3.6,59.5,63.1,4.8,0.5,7.5,8.7
홍정우,0.244,45,39.6,8.3,52.1,60.4,0,0.7,10.3,0
백정현,0.274,463,46,3.9,46.4,50.3,3.7,0.9,6.2,8.5
문용익,0.286,63,41.2,5.9,44.1,50,8.8,0.8,8.8,9.5
심창민,0.293,133,31,8.5,58.5,66.9,2.1,0.5,8.4,0
원태인,0.3,453,49.8,7.7,39.1,46.8,3.4,1.1,5,8.8
몽고메리,0.303,142,56.5,5.4,35.4,40.8,2.7,1.4,5,10.9
이재익,0.303,33,54.3,5.7,37.1,42.9,2.9,1.3,6.7,18.2
뷰캐넌,0.308,519,57,3,36.4,39.4,3.6,1.4,6.2,11
오승환,0.312,170,37.3,4,55.4,59.3,3.4,0.6,2.9,5.4
최채흥,0.32,397,40.5,5,52.5,57.6,1.9,0.7,6.7,8.4
이상민,0.325,80,50,4.9,40.2,45.1,4.9,1.1,5.4,14.3
우규민,0.333,159,46.7,4.2,47.9,52.1,1.2,0.9,5.7,3.4
김대우,0.333,183,39.5,5.3,52.1,57.4,3.2,0.7,6.4,5.9
최지광,0.336,143,41.8,6.5,49,55.6,2.6,0.8,5.9,5.7
이승현,0.337,95,54.9,3.9,38.2,42.2,2.9,1.3,7,2.9
이재희,0.339,65,52.9,7.4,38.2,45.6,1.5,1.2,6.5,12.5
임현준,0.344,32,48.5,3,45.5,48.5,3,1,0,9.1
이승민,0.355,124,38.5,3.8,57.7,61.5,0,0.6,7.5,2
장필준,0.356,118,43.4,6.6,45.1,51.6,4.9,0.8,6.3,8.7
박세웅,0.364,11,41.7,8.3,50,58.3,0,0.7,14.3,0
이승현,0.369,65,33.8,5.6,57.7,63.4,2.8,0.5,13.3,0
양창섭,0.375,48,32.7,9.6,55.8,65.4,1.9,0.5,8.8,0
김윤수,0.418,55,46.6,1.7,46.6,48.3,5.2,1,7.1,12
허윤동,0.438,16,29.4,5.9,64.7,70.6,0,0.4,8.3,12.5
