Name,FIP,G,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,ERA,RA9,rRA9,rRA9pf,FIP,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA
오승환,2.79,64,8.27,2.32,3.56,0.44,22.6,6.3,16.3,0.312,81.4,2.03,2.47,3.04,2.9,2.79,2.32,3.45,-0.76,43.55,56.47,59.88,0.245,0.298,0.376,0.674,1003,15.7,16.2,3.98
뷰캐넌,3.39,30,8.24,3,2.75,0.66,21.4,7.8,13.6,0.308,75.5,3.1,3.61,3.55,3.55,3.39,2.58,3.77,-0.28,66.47,69.02,72.57,0.25,0.31,0.355,0.665,2967,98.9,16.8,3.91
원태인,3.65,26,7.32,2.89,2.53,0.62,19.7,7.8,11.9,0.3,76.6,3.06,3.35,3.28,3.11,3.65,2.91,3.97,-0.59,65.64,60.42,78.3,0.249,0.313,0.362,0.675,2522,97,15.9,3.85
이승현,3.8,41,10.53,5.26,2,0.69,26.4,13.2,13.2,0.337,64.9,5.26,5.49,5.08,4.86,3.8,2.96,3.81,1.46,112.79,94.52,81.44,0.246,0.359,0.366,0.725,744,18.1,18.9,4.28
우규민,3.83,60,6.43,1.65,3.89,0.92,16.4,4.2,12.2,0.333,75.8,3.31,4.04,4.67,4.49,3.83,2.72,3.94,-0.52,70.85,87.33,82.04,0.294,0.329,0.401,0.73,786,13.1,16,3.69
라이블리,4.02,6,10.26,3.51,2.92,1.08,27.1,9.3,17.9,0.241,71.4,4.05,4.32,4.09,3.94,4.02,2.68,3.26,0.03,86.8,76.66,86.13,0.19,0.295,0.339,0.634,613,102.2,18.4,4.38
백정현,4.23,27,6.22,3.08,2.02,0.86,16.8,8.3,8.5,0.274,81.4,2.63,3.08,3.04,2.98,4.23,3.19,4.38,-1.61,56.27,58.05,90.7,0.244,0.308,0.367,0.675,2503,92.7,15.9,3.86
최지광,4.29,60,8.59,4.73,1.81,0.88,21.2,11.7,9.5,0.336,69.3,4.91,5.26,5.3,5.15,4.29,3.23,4.26,0.62,105.21,100.27,91.96,0.276,0.363,0.432,0.795,893,14.9,17.4,3.87
몽고메리,4.31,11,9.52,6.58,1.45,0.52,22.5,15.6,7,0.303,65.5,5.37,5.71,5.44,5.23,4.31,3.69,4.56,1.05,114.99,101.78,92.43,0.234,0.364,0.315,0.679,991,90.1,19.1,4.06
이재희,4.33,5,7.06,4.15,1.7,0.83,17.9,10.5,7.4,0.339,67.7,5.4,5.4,4.76,4.36,4.33,3.32,4.52,1.07,115.73,84.75,92.89,0.286,0.362,0.417,0.779,390,78,18,4.11
최채흥,4.61,26,6.03,2.72,2.22,1.18,15.2,6.9,8.4,0.32,72.5,4.56,4.86,4.72,4.63,4.61,3.17,4.4,-0.05,97.75,90.05,98.81,0.291,0.341,0.439,0.78,2092,80.5,17.1,3.89
김윤수,4.67,20,11.84,8.05,1.47,0.95,24.8,16.8,7.9,0.418,62.5,6.63,8.53,8.27,7.62,4.67,3.5,4.45,1.96,142.12,148.29,100.02,0.305,0.43,0.439,0.869,399,20,21,3.95
문용익,4.78,22,7.77,4.09,1.9,1.23,19.4,10.2,9.2,0.286,75,4.5,4.5,5.07,4.76,4.78,3.25,4.3,-0.28,96.44,92.55,102.45,0.247,0.333,0.388,0.721,412,18.7,18.7,4.2
홍정우,4.92,15,6.89,2.3,3,1.72,18.8,6.3,12.5,0.244,85.7,3.45,3.45,4.94,4.99,4.92,2.75,3.9,-1.48,73.87,97.16,105.49,0.233,0.281,0.467,0.748,256,17.1,16.3,4
노성호,4.97,16,9,6.63,1.36,0.95,23.2,17.1,6.1,0.178,68.2,4.74,4.74,4.24,3.88,4.97,3.81,4.67,-0.23,101.52,75.57,106.45,0.152,0.309,0.258,0.567,352,22,18.5,4.29
임현준,5.05,27,6.55,5.73,1.14,0,15.4,13.5,1.9,0.344,63.6,6.55,6.55,7.32,6.91,5.05,5.13,5.17,1.5,140.28,134.55,108.2,0.275,0.431,0.4,0.831,209,7.7,19,4.02
김대우,5.05,31,4.77,2.65,1.8,1.24,11.5,6.4,5.1,0.333,61.3,6.35,6.88,6.54,6.27,5.05,3.54,4.78,1.3,136.15,121.94,108.21,0.315,0.363,0.495,0.858,839,27.1,16.5,3.59
이상민,5.07,30,5.11,5.11,1,0.73,12.7,12.7,0,0.325,69.2,4.74,5.47,6.04,5.92,5.07,4.19,5.4,-0.33,101.65,115.2,108.7,0.295,0.382,0.442,0.824,447,14.9,18.1,4.06
심창민,5.09,59,10.17,5.61,1.81,1.4,24.4,13.4,10.9,0.293,71.6,5.08,5.61,5.49,5.34,5.09,3.34,4.09,-0.01,108.97,103.81,109.12,0.237,0.359,0.419,0.778,1018,17.3,19.8,4.28
양창섭,5.63,9,7.8,4.8,1.63,1.8,17.8,11,6.8,0.375,72,6.6,6.6,6.09,5.88,5.63,3.38,4.58,0.97,141.45,114.4,120.73,0.333,0.403,0.556,0.959,283,31.4,18.9,3.88
장필준,5.82,41,6.23,7.01,0.89,1.04,13.8,15.5,-1.7,0.356,64.7,7.27,7.79,8.85,8.41,5.82,4.56,5.61,1.45,155.79,163.68,124.81,0.317,0.425,0.469,0.894,723,17.6,20.9,4.16
이승민,6.05,11,5.55,4.54,1.22,1.51,12.7,10.4,2.3,0.355,58.7,8.58,8.58,7.8,7.45,6.05,4.18,5.12,2.53,183.87,144.96,129.7,0.336,0.41,0.51,0.92,732,66.5,20.5,4.23
허윤동,6.66,1,7.36,2.46,3,2.46,13.6,4.5,9.1,0.438,44.4,12.27,14.73,14.73,15.59,6.66,3.6,4.31,5.61,263.02,303.43,142.68,0.4,0.455,0.65,1.105,73,73,19.9,3.32
이재익,7.12,11,4.5,10.8,0.42,0.9,9.8,23.5,-13.7,0.303,77.3,4.5,5.4,6.8,6.6,7.12,6.01,7.05,-2.62,96.44,128.42,152.52,0.297,0.451,0.378,0.829,222,20.2,22.2,4.35
이승현,8.4,21,3.71,4.24,0.88,3.18,8.1,9.3,-1.2,0.369,66.7,9.53,9.53,8.52,8.42,8.4,4.35,5.54,1.13,204.23,163.8,179.94,0.385,0.442,0.705,1.147,346,16.5,20.4,4.02
박세웅,10.2,4,6,9,0.67,3,11.1,16.7,-5.6,0.364,62.5,9,12,15.15,14.66,10.2,6.37,6.07,-1.2,192.88,285.23,218.6,0.385,0.5,0.769,1.269,68,17,22.7,3.78
구준범,20.62,1,4.5,13.5,0.33,9,8.3,25,-16.7,0,33.3,22.5,22.5,22.5,21.22,20.62,8.86,7.4,1.88,482.2,412.96,441.84,0.25,0.5,1,1.5,43,43,21.5,3.58
