Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
백정현,6.2,27,27,0,0,0,0,14,5,0,0,157.2,46,54,53.3,648,142,25,1,15,54,2,2,109,6,0,5,2.63,3.08,3.04,2.98,4.23,1.24
원태인,6.01,26,26,0,0,0,0,14,7,0,0,158.2,54,59,57.8,655,147,32,1,11,51,5,1,129,4,1,5,3.06,3.35,3.28,3.11,3.65,1.25
뷰캐넌,5.76,30,30,0,1,1,1,16,5,0,0,177,61,71,69.8,758,173,25,4,13,59,2,2,162,11,0,7,3.1,3.61,3.55,3.55,3.39,1.31
오승환,2.7,64,0,64,61,0,0,0,2,44,0,62,14,17,20.95,252,56,15,3,3,16,2,3,57,2,0,2,2.03,2.47,3.04,2.9,2.79,1.16
최채흥,2.48,26,20,6,2,1,0,5,9,0,2,122.1,62,66,64.1,538,143,21,2,16,37,2,1,82,4,1,4,4.56,4.86,4.72,4.63,4.61,1.47
라이블리,0.94,6,6,0,0,0,0,0,1,0,0,33.1,15,16,15.15,140,23,6,0,4,13,5,0,38,1,0,0,4.05,4.32,4.09,3.94,4.02,1.08
우규민,0.9,60,0,60,8,0,0,3,3,2,24,49,18,22,25.45,213,58,4,1,5,9,2,1,35,2,0,1,3.31,4.04,4.67,4.49,3.83,1.37
몽고메리,0.75,11,11,0,0,0,0,2,5,0,0,52,31,33,31.45,244,46,5,1,3,38,4,0,55,2,0,4,5.37,5.71,5.44,5.23,4.31,1.62
이승현,0.54,41,0,41,5,0,0,1,4,0,7,39.1,23,24,22.2,174,35,8,0,3,23,3,0,46,0,0,5,5.26,5.49,5.08,4.86,3.8,1.47
최지광,0.52,60,0,60,8,0,0,7,1,0,14,51.1,28,30,30.25,231,53,11,2,5,27,2,0,49,2,0,2,4.91,5.26,5.3,5.15,4.29,1.56
이재희,0.51,5,5,0,0,0,0,0,1,0,0,21.2,13,13,11.45,95,24,3,1,2,10,0,0,17,0,0,2,5.4,5.4,4.76,4.36,4.33,1.57
심창민,0.42,59,0,59,7,0,0,3,2,0,16,51.1,29,32,31.3,238,47,12,0,8,32,6,0,58,3,1,2,5.08,5.61,5.49,5.34,5.09,1.54
노성호,0.42,16,0,16,4,0,0,0,2,0,1,19,10,10,8.95,82,10,1,0,2,14,1,0,19,0,0,2,4.74,4.74,4.24,3.88,4.97,1.26
문용익,0.32,22,0,22,6,0,0,2,0,0,2,22,11,11,12.4,98,21,3,0,3,10,1,0,19,1,0,4,4.5,4.5,5.07,4.76,4.78,1.41
홍정우,0.2,15,0,15,4,0,0,2,0,0,0,15.2,6,6,8.6,64,14,3,1,3,4,0,0,12,0,0,1,3.45,3.45,4.94,4.99,4.92,1.15
김대우,0.13,31,4,27,6,0,0,0,2,0,1,51,36,39,37.05,234,68,18,0,7,15,2,1,27,1,0,1,6.35,6.88,6.54,6.27,5.05,1.63
이상민,0.12,30,0,30,6,0,0,1,1,0,3,24.2,13,15,16.55,110,28,6,1,2,14,0,0,14,2,0,1,4.74,5.47,6.04,5.92,5.07,1.7
양창섭,0.03,9,0,9,1,0,0,1,1,0,1,15,11,11,10.15,73,21,5,0,3,8,0,0,13,2,0,1,6.6,6.6,6.09,5.88,5.63,1.93
이재익,-0.01,11,0,11,4,0,0,2,0,0,0,10,5,6,7.55,51,11,0,0,1,12,0,1,5,1,0,0,4.5,5.4,6.8,6.6,7.12,2.3
임현준,-0.08,27,0,27,2,0,0,1,2,0,5,11,8,8,8.95,52,11,1,2,0,7,4,0,8,0,0,0,6.55,6.55,7.32,6.91,5.05,1.64
김윤수,-0.12,20,1,19,5,0,0,0,0,0,1,19,14,18,17.45,101,25,5,0,2,17,1,0,25,2,0,4,6.63,8.53,8.27,7.62,4.67,2.21
이승민,-0.13,11,11,0,0,0,0,1,4,0,0,35.2,34,34,30.9,173,50,6,1,6,18,3,0,22,1,0,0,8.58,8.58,7.8,7.45,6.05,1.91
박세웅,-0.17,4,0,4,1,0,0,0,0,0,0,3,3,4,5.05,18,5,0,1,1,3,1,0,2,1,0,0,9,12,15.15,14.66,10.2,2.67
구준범,-0.21,1,1,0,0,0,0,0,0,0,0,2,5,5,5,12,2,0,0,2,3,1,0,1,0,0,0,22.5,22.5,22.5,21.22,20.62,2.5
허윤동,-0.23,1,1,0,0,0,0,0,1,0,0,3.2,5,6,6,22,8,2,0,1,1,1,0,3,1,0,0,12.27,14.73,14.73,15.59,6.66,2.45
이승현,-0.28,21,0,21,3,0,0,1,1,0,1,17,18,18,16.1,86,30,5,1,6,8,0,0,7,0,0,1,9.53,9.53,8.52,8.42,8.4,2.24
장필준,-0.75,41,0,41,10,0,0,0,0,0,2,34.2,28,30,34.1,174,46,8,1,4,27,1,1,24,0,0,4,7.27,7.79,8.85,8.41,5.82,2.11
