name,G,GS,IP,ERA,W,L,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,start BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war
백정현,27,27,157.2,2.63,14,5,15,55.6,5,18.5,6,0,0,106,6.1,17,9,65.4,0,0,13,2,15.4,5.84,92.7,54.96,3.39,6.2
원태인,26,26,158.2,3.06,14,7,16,61.5,10,38.5,5,0,0,72,4.1,15,8,65.2,0,0,5,2,40,6.1,97,55.31,3.18,6.01
뷰캐넌,30,30,177,3.1,16,5,20,66.7,5,16.7,4,0,0,132,6.7,18,10,64.3,0,0,12,2,16.7,5.9,98.9,54.6,2.61,5.76
최채흥,26,20,111.2,4.84,4,9,6,30,1,5,6,0,0,68,5.5,8,11,42.1,0,0,7,3,42.9,5.58,96,45.15,-0.1,1.89
라이블리,6,6,33.1,4.05,0,1,4,66.7,0,0,0,0,0,14,3.8,3,3,50,0,0,3,2,66.7,5.56,102.17,55.5,0.35,0.94
몽고메리,11,11,52,5.37,2,5,4,36.4,0,0,2,0,0,27,4.7,4,6,40,0,0,5,3,60,4.73,90.09,47.55,-0.18,0.75
이재희,5,5,21.2,5.4,0,1,0,0,0,0,3,0,0,11,4.6,1,4,20,0,0,3,3,100,4.33,78,45.2,0.12,0.51
김윤수,20,1,1.1,6.75,0,0,0,0,0,0,1,0,0,10,67.5,1,0,100,0,0,12,5,41.7,1.33,42,43,-0.01,0.01
이승민,11,11,35.2,8.58,1,4,1,9.1,0,0,5,0,0,22,5.6,6,5,54.5,0,0,12,6,50,3.24,66.55,39,-0.77,-0.13
구준범,1,1,2,22.5,0,0,0,0,0,0,0,0,0,3,13.5,1,0,100,0,0,0,0,,2,43,30,-0.24,-0.21
허윤동,1,1,3.2,12.27,0,1,0,0,0,0,0,0,0,1,2.5,0,1,0,0,0,2,0,0,3.67,73,25,-0.29,-0.23
김대우,31,4,15,9,0,1,0,0,0,0,1,0,0,40,24,2,1,66.7,0,0,11,6,54.5,3.75,68.25,36.75,-0.5,-0.23
장필준,41,0,0,,0,0,0,,0,,0,0,0,27,,0,0,,0,0,16,4,25,,,,,
이승현,41,0,0,,0,0,0,,0,,0,0,0,17,,0,0,,0,0,13,6,46.2,,,,,
우규민,60,0,0,,0,0,0,,0,,0,0,0,23,,0,0,,0,0,16,1,6.3,,,,,
노성호,16,0,0,,0,0,0,,0,,0,0,0,12,,0,0,,0,0,8,3,37.5,,,,,
문용익,22,0,0,,0,0,0,,0,,0,0,0,11,,0,0,,0,0,5,1,20,,,,,
홍정우,15,0,0,,0,0,0,,0,,0,0,0,14,,0,0,,0,0,0,0,,,,,,
양창섭,9,0,0,,0,0,0,,0,,0,0,0,13,,0,0,,0,0,6,2,33.3,,,,,
이승현,21,0,0,,0,0,0,,0,,0,0,0,9,,0,0,,0,0,15,7,46.7,,,,,
이상민,30,0,0,,0,0,0,,0,,0,0,0,9,,0,0,,0,0,14,4,28.6,,,,,
최지광,60,0,0,,0,0,0,,0,,0,0,0,25,,0,0,,0,0,25,13,52,,,,,
이재익,11,0,0,,0,0,0,,0,,0,0,0,5,,0,0,,0,0,4,1,25,,,,,
오승환,64,0,0,,0,0,0,,0,,0,0,0,7,,0,0,,0,0,3,0,0,,,,,
심창민,59,0,0,,0,0,0,,0,,0,0,0,23,,0,0,,0,0,31,11,35.5,,,,,
박세웅,4,0,0,,0,0,0,,0,,0,0,0,3,,0,0,,0,0,1,0,0,,,,,
임현준,27,0,0,,0,0,0,,0,,0,0,0,8,,0,0,,0,0,12,6,50,,,,,
