Name	BABIP	BIP	GB%	ifFB%	ofFB%	FB%	LD%	GB/FB	HR/FB%	if1B%
뷰캐넌	0.327	508	58.3	3.8	35.3	39.1	2.7	1.5	4.9	10.8
원태인	0.314	507	43.6	5.5	47.9	53.4	3	0.8	5.7	6.3
수아레즈	0.296	487	52	5.6	40.2	45.8	2.2	1.1	3.1	6
백정현	0.314	420	47.5	5.6	43.5	49.1	3.4	1	10	9.1
황동재	0.376	218	37.7	6.6	51.3	57.9	4.4	0.7	6.8	5.5
허윤동	0.315	178	33	7.4	56.4	63.8	3.2	0.5	6.7	6.3
오승환	0.309	165	35.1	6.3	55.7	62.1	2.9	0.6	7.4	10.2
우규민	0.333	156	46.3	4.4	45.6	50	3.8	0.9	3.8	7.3
이승현	0.299	144	30.1	7.8	58.2	66	3.9	0.5	5	4.2
이승현	0.312	122	50.4	3.8	42.7	46.6	3.1	1.1	8.2	14
최충연	0.308	117	43.9	4.9	46.3	51.2	4.9	0.9	4.8	7.7
최하늘	0.325	114	48.8	2.5	48.8	51.2	0	1	8.1	7.1
문용익	0.259	112	42.2	7.8	41.4	49.1	8.6	0.9	3.5	6.5
이재익	0.333	111	57.6	0.8	39	39.8	2.5	1.4	8.5	14.6
김윤수	0.339	109	50.9	5.4	41.1	46.4	2.7	1.1	3.8	5.1
장필준	0.37	100	48.1	8.7	37.5	46.2	5.8	1	2.1	5.3
이상민	0.275	91	42.3	7.2	47.4	54.6	3.1	0.8	9.4	10
홍정우	0.222	72	38.5	5.1	52.6	57.7	3.8	0.7	6.7	0
양창섭	0.304	69	45.2	6.8	47.9	54.8	0	0.8	7.5	0
임대한	0.268	41	48.9	6.4	44.7	51.1	0	1	4.2	8.3
박정준	0.242	33	48.6	2.9	48.6	51.4	0	0.9	11.1	0
박주혁	0.2	20	45.5	9.1	45.5	54.5	0	0.8	8.3	0
이승민	0.125	16	18.8	18.8	62.5	81.3	0	0.2	0	0
이수민	0.143	14	33.3	26.7	40	66.7	0	0.5	10	0
김승현	0.308	13	53.3	6.7	40	46.7	0	1.1	28.6	0
김대우	0.364	11	36.4	18.2	36.4	54.5	9.1	0.7	0	0
김서준	0.455	11	33.3	0	58.3	58.3	8.3	0.6	14.3	16.7
박세웅	0.167	6	100	0	0	0	0			0
노성호	0.333	6	33.3	0	66.7	66.7	0	0.5	0	50
