Name	War	G	GS	GR	GF	CG	SHO	W	L	S	HD	IP	ER	R	Rra	TBF	H	2B	3B	HR	BB	HP	IB	SO	ROE	BK	wild pitch	ERA	RA9	rRA9	rRA9pf	FIP	WHIP
¼ö¾Æ·¹Áî	6.23	30	29	1	0	0	0	6	8	0	0	173.2	48	61	59.8	714	151	19	0	7	50	4	0	159	16	0	6	2.49	3.16	3.1	3.09	2.94	1.16
ºäÄ³³Í	5.47	26	26	0	1	1	1	11	8	0	0	160	54	61	60.3	691	176	29	2	10	39	8	0	117	6	0	2	3.04	3.43	3.39	3.22	3.61	1.34
¿øÅÂÀÎ	4.37	27	27	0	0	0	0	10	8	0	0	165.1	72	75	73.3	700	175	25	1	16	38	4	3	130	8	0	3	3.92	4.08	3.99	3.86	3.72	1.29
¿À½ÂÈ¯	1.54	57	0	57	47	0	0	6	2	31	2	57	21	23	25.2	239	59	9	1	8	13	1	0	51	4	0	1	3.32	3.63	3.98	3.75	3.98	1.26
¹éÁ¤Çö	1.51	24	24	0	0	0	0	4	13	0	0	124.2	73	76	73.75	562	154	27	2	22	37	9	1	70	9	0	9	5.27	5.49	5.32	5.2	5.62	1.53
È«Á¤¿ì	0.67	26	0	26	4	0	0	5	2	0	1	26.2	9	10	10.7	111	19	6	0	3	13	0	4	20	1	0	0	3.04	3.38	3.61	3.42	4.53	1.2
ÀÌ½ÂÇö	0.66	54	0	54	8	0	0	0	2	0	13	50	26	26	26.4	217	48	14	1	5	22	3	1	39	0	0	0	4.68	4.68	4.75	4.64	4.51	1.4
¿ì±Ô¹Î	0.57	60	0	60	7	0	0	4	3	1	16	47	17	21	25.8	201	55	11	0	3	6	4	2	31	6	1	0	3.26	4.02	4.94	4.72	3.42	1.3
¹®¿ëÀÍ	0.42	39	0	39	11	0	0	1	2	1	2	37.2	14	20	20.85	163	31	5	0	2	22	2	0	23	2	0	2	3.35	4.78	4.98	4.84	4.86	1.41
ÀÌ½ÂÇö	0.25	58	0	58	12	0	0	2	4	1	14	47.2	24	28	28.9	212	43	10	1	5	21	3	2	57	5	0	6	4.53	5.29	5.46	5.26	3.47	1.34
ÃÖÇÏ´Ã	0.22	14	5	9	4	0	0	1	4	0	1	33.2	23	23	22.25	156	42	4	1	5	15	2	0	18	0	1	0	6.15	6.15	5.95	5.6	5.78	1.69
ÀÌ½Â¹Î	0.21	2	0	2	0	0	0	0	0	0	0	5.1	1	1	1	23	2	1	0	0	5	0	0	2	0	0	0	1.69	1.69	1.69	1.57	5.75	1.31
¹ÚÁÖÇõ	0.17	8	0	8	6	0	0	0	0	0	0	6.2	1	3	2.15	29	5	0	0	1	4	0	0	3	0	0	1	1.35	4.05	2.9	2.76	6.3	1.35
±è´ë¿ì	0.16	4	0	4	1	0	0	1	0	0	0	4.1	1	1	1	16	4	0	0	0	0	0	0	5	0	0	0	2.08	2.08	2.08	2.33	0.9	0.92
ÇãÀ±µ¿	0.15	12	12	0	0	0	0	4	3	0	0	55	40	43	40.05	264	64	13	0	8	34	6	0	36	1	0	2	6.55	7.04	6.55	6.26	6.13	1.78
ÃÖÃæ¿¬	0.11	38	0	38	13	0	0	0	1	0	0	38.1	20	24	25.25	177	39	10	1	3	20	5	3	29	5	0	3	4.7	5.63	5.93	5.82	4.6	1.54
±èÀ±¼ö	0.1	37	1	36	5	0	0	3	3	0	3	35	23	29	22.95	168	39	9	0	2	22	2	1	32	5	0	6	5.91	7.46	5.9	5.59	4.22	1.74
ÀåÇÊÁØ	0.02	19	1	18	1	0	0	0	3	0	0	30	19	20	20.35	139	38	11	1	1	15	3	2	17	1	0	1	5.7	6	6.11	5.87	4.42	1.77
ÀÌ¼ö¹Î	0.01	4	0	4	0	0	0	0	0	0	0	4.2	3	3	3	23	3	0	0	1	5	1	0	2	1	0	0	5.79	5.79	5.79	6.19	9.25	1.71
³ë¼ºÈ£	-0.01	3	0	3	0	0	0	0	0	0	0	2	1	1	1.5	11	2	0	0	0	3	0	0	2	0	0	0	4.5	4.5	6.75	6.28	5.93	2.5
¹Ú¼¼¿õ	-0.02	5	0	5	2	0	0	0	0	0	0	2.2	2	2	2	14	1	0	0	0	5	1	0	2	0	0	0	6.75	6.75	6.75	7.05	8.88	2.25
¹ÚÁ¤ÁØ	-0.05	8	0	8	2	0	0	0	0	0	0	10	7	7	8.7	45	10	2	0	2	5	1	0	4	0	0	0	6.3	6.3	7.83	7.66	7.02	1.5
ÀÓ´ëÇÑ	-0.1	12	0	12	0	0	0	2	1	0	1	13.2	8	11	10.15	65	12	5	0	1	9	1	2	8	3	0	1	5.27	7.24	6.68	6.39	5.01	1.54
±è¼­ÁØ	-0.13	3	0	3	2	0	0	0	0	0	0	2.2	3	4	4.5	19	6	2	0	1	4	1	0	2	0	0	0	10.13	13.5	15.19	14.78	12.18	3.75
ÀÌ»ó¹Î	-0.14	46	0	46	6	0	0	0	0	0	9	29.1	12	13	19.75	138	30	6	1	5	15	3	1	23	2	0	2	3.68	3.99	6.06	5.99	5.75	1.53
ÀÌÀçÀÍ	-0.15	42	0	42	9	0	0	3	2	0	7	33.1	22	25	23.95	149	41	7	0	4	9	1	0	21	3	0	0	5.94	6.75	6.47	6.22	4.57	1.5
¾çÃ¢¼·	-0.17	6	6	0	0	0	0	2	3	0	0	20.1	19	19	17.45	96	24	5	1	3	12	1	0	10	0	0	0	8.41	8.41	7.72	7.73	6.29	1.77
±è½ÂÇö	-0.35	6	0	6	1	0	0	0	1	0	2	4	5	7	6.5	24	6	1	0	2	4	0	0	5	1	0	1	11.25	15.75	14.63	13.89	9.71	2.5
È²µ¿Àç	-0.46	16	13	3	2	0	0	1	3	0	0	66.1	52	58	57.5	312	91	20	2	9	31	0	0	53	3	1	1	7.06	7.87	7.8	7.41	4.85	1.84
