name	G	GS	IP	ERA	W	L	QS	QS%	QS+	QS+%	QH	TL	CW	RS	RS9	start W	start L	W%	start BW	start BL	start BQ	start BQS	start BQS%	IP/GS	P/GS	AGS	starter waa	starter war
수아레즈	30	29	171.1	2.52	6	8	19	65.5	8	27.6	4	0	0	80	4.2	15	14	51.7	0	0	7	2	28.6	5.91	100.97	57.59	2.99	6.04
뷰캐넌	26	26	160	3.04	11	8	21	80.8	9	34.6	3	0	0	81	4.6	16	10	61.5	0	0	8	1	12.5	6.15	100.19	53.31	2.62	5.47
원태인	27	27	165.1	3.92	10	8	11	40.7	10	37	6	0	0	95	5.2	13	13	50	0	0	8	3	37.5	6.12	98.85	52	1.43	4.37
백정현	24	24	124.2	5.27	4	13	7	29.2	1	4.2	9	0	0	46	3.3	7	17	29.2	0	0	12	4	33.3	5.19	86.46	44.13	-0.71	1.51
김윤수	37	1	4.1	0	0	0	0	0	0	0	1	0	0	14	29.1	1	0	100	0	0	24	13	54.2	4.33	77	59	0.2	0.28
허윤동	12	12	55	6.55	4	3	1	8.3	0	0	6	0	0	43	7	4	8	33.3	0	0	8	5	62.5	4.58	82.08	40.92	-0.83	0.15
최하늘	14	5	22	6.55	1	3	0	0	0	0	3	0	0	18	7.4	1	3	25	0	0	7	5	71.4	4.4	77.8	39.8	-0.25	0.14
황동재	16	13	63.1	6.25	1	3	2	15.4	0	0	5	0	0	20	2.8	7	6	53.8	0	0	10	3	30	4.87	91.77	41.46	-1.1	0.03
장필준	19	1	4.2	9.64	0	0	0	0	0	0	0	0	0	13	25.1	0	1	0	0	0	15	5	33.3	4.67	75	30	-0.2	-0.11
양창섭	6	6	20.1	8.41	2	3	2	33.3	0	0	1	0	0	20	8.9	2	4	33.3	0	0	6	3	50	3.39	67.17	40.5	-0.53	-0.17
이승민	2	0	0		0	0	0		0		0	0	0	5		0	0		0	0	2	0	0					
김서준	3	0	0		0	0	0		0		0	0	0	2		0	0		0	0	0	0						
오승환	57	0	0		0	0	0		0		0	0	0	20		0	0		0	0	1	0	0					
이상민	46	0	0		0	0	0		0		0	0	0	17		0	0		0	0	18	5	27.8					
임대한	12	0	0		0	0	0		0		0	0	0	13		0	0		0	0	8	4	50					
이승현	58	0	0		0	0	0		0		0	0	0	21		0	0		0	0	25	10	40					
김대우	4	0	0		0	0	0		0		0	0	0	1		0	0		0	0	0	0						
문용익	39	0	0		0	0	0		0		0	0	0	26		0	0		0	0	13	7	53.8					
이재익	42	0	0		0	0	0		0		0	0	0	29		0	0		0	0	18	9	50					
우규민	60	0	0		0	0	0		0		0	0	0	23		0	0		0	0	19	7	36.8					
이수민	4	0	0		0	0	0		0		0	0	0	0		0	0		0	0	5	0	0					
김승현	6	0	0		0	0	0		0		0	0	0	5		0	0		0	0	2	1	50					
노성호	3	0	0		0	0	0		0		0	0	0	0		0	0		0	0	3	1	33.3					
최충연	38	0	0		0	0	0		0		0	0	0	13		0	0		0	0	16	5	31.3					
박주혁	8	0	0		0	0	0		0		0	0	0	0		0	0		0	0	2	2	100					
이승현	54	0	0		0	0	0		0		0	0	0	24		0	0		0	0	14	5	35.7					
박정준	8	0	0		0	0	0		0		0	0	0	6		0	0		0	0	0	0						
박세웅	5	0	0		0	0	0		0		0	0	0	0		0	0		0	0	6	2	33.3					
홍정우	26	0	0		0	0	0		0		0	0	0	28		0	0		0	0	12	3	25					
