name	GR	IP	ERA	W	L	2time	3time	plus 1	SV	HD	BLSV	BLHD	BL+	save%	TS	TH	TBS	TBH	SD	MD	IR	IRS	IRS%	BQ	BQS	BQS%	IP/GR	P/GR	gmLI	closer war
오승환	57	57.2	3.28	4	4	12	1	12	30	2	4	0	4	88.9	3	1	2	0	22	13	28	12	42.9	2	1	50	1.01	16.74	1.66	0.93
이승현	60	60	3.6	4	4	12	1	16	0	14	1	0	1	93.3	0	0	1	0	15	12	28	12	42.9	22	5	22.7	1	17.95	1.1	0.69
이재익	51	41	3.95	1	3	19	1	7	0	11	1	0	1	91.7	0	1	0	0	9	12	31	19	61.3	28	10	35.7	0.8	13.65	0.92	0.29
문용익	14	13	4.15	1	0	3	0	2	0	0	0	0	0		0	0	0	0	1	2	4	2	50	5	3	60	0.93	15.86	0.44	0.28
우규민	56	43	4.81	3	1	8	1	7	0	13	2	0	2	86.7	0	2	0	0	14	11	39	16	41	30	15	50	0.77	13.09	1.33	0.27
양창섭	11	12.1	5.11	0	0	1	0	3	0	2	0	0	0	100	0	0	0	0	2	6	3	1	33.3	5	3	60	1.12	19.73	0.69	0.23
김서준	7	6.2	1.35	0	0	1	0	1	0	1	0	0	0	100	0	0	0	0	0	1	3	1	33.3	3	3	100	0.95	13.43	0.26	0.22
이호성	3	7	2.57	0	0	0	0	2	0	0	0	0	0		0	0	0	0	1	1	0	0		0	0		2.33	32.67	0.41	0.22
김대우	39	43	4.6	0	2	7	1	13	0	4	0	3	3	57.1	0	1	0	2	8	9	25	12	48	15	5	33.3	1.1	18.59	0.85	0.2
이재희	1	4	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	1	1	0	0		0	0		4	62	0.26	0.19
홍원표	3	3.2	2.45	0	0	1	0	1	0	0	0	0	0		0	0	0	0	0	0	0	0		1	1	100	1.22	18.67	0.11	0.13
이승현	48	43.1	4.98	1	5	10	1	9	5	7	4	2	6	66.7	1	1	1	2	14	11	30	10	33.3	21	7	33.3	0.9	16.44	1.49	0.07
와이드너	1	2	4.5	1	0	0	0	1	0	0	0	0	0		0	0	0	0	3	4	0	0		6	2	33.3	2	32	0.97	0.04
박권후	4	2.2	3.38	0	0	1	0	0	0	0	0	0	0		0	0	0	0	0	0	3	0	0	1	0	0	0.67	13.75	0.06	0.01
최채흥	1	1.1	13.5	0	0	0	0	1	0	0	0	0	0		0	0	0	0	3	10	0	0		11	10	90.9	1.33	23	0.75	-0.01
최충연	7	9.1	4.82	0	0	0	0	4	0	0	0	0	0		0	0	0	0	0	0	6	2	33.3	0	0		1.33	24.86	0.28	-0.12
김시현	2	3	12	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0	0	0	0		0	0		1.5	39.5	0.04	-0.13
최지광	22	17.1	5.19	2	0	5	0	3	0	1	0	0	0	100	0	0	0	0	2	7	17	8	47.1	13	1	7.7	0.79	15.09	0.78	-0.13
박세웅	2	0.2	27	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	100	2	0	0	0.33	14	0.65	-0.15
허윤동	6	7.2	9.39	0	0	1	0	3	0	0	0	0	0		0	0	0	0	0	2	2	1	50	4	0	0	1.28	28.33	0.22	-0.2
장필준	14	13.1	6.08	1	0	2	1	3	0	1	0	0	0	100	0	0	0	0	3	3	10	4	40	3	2	66.7	0.95	17.93	0.9	-0.21
노건우	16	12.1	7.3	0	1	3	1	1	0	1	0	0	0	100	0	0	0	0	0	4	9	7	77.8	8	3	37.5	0.77	16.44	0.5	-0.31
이상민	23	18	8.5	2	1	4	0	3	0	1	0	0	0	100	0	1	0	0	5	7	11	6	54.5	13	9	69.2	0.78	14.22	1.04	-0.31
홍정우	35	34.1	7.08	2	3	4	1	10	0	3	0	3	3	50	0	2	0	1	6	11	26	9	34.6	22	17	77.3	0.98	16.51	1.19	-0.34
최하늘	1	0.2	54	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	3	2	2	100	2	1	50	0.67	20	1.15	-0.5
김태훈	63	55.2	7.28	5	7	15	4	12	3	8	5	1	6	64.7	1	3	3	1	12	16	27	5	18.5	39	17	43.6	0.88	16.14	1.17	-0.6
백정현	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	8	5	0	0		7	4	57.1				
원태인	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	12	9	0	0		9	2	22.2				
황동재	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	1	5	0	0		5	2	40				
뷰캐넌	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	15	7	0	0		5	2	40				
수아레즈	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	8	7	0	0		7	5	71.4				
