Name	FIP	G	K/9	BB/9	K/BB	HR/9	K%	BB%	K-BB%	BABIP	LOB	ERA	RA9	rRA9	rRA9pf	FIP	xFIP	kwERA	ERA-FIP	ERA-	rRA9-	FIP-	AVG	OBP	SLG	OPS	NP	P/G	P/IP	P/PA
ºäÄ³³Í	3.05	30	6.65	2.06	3.23	0.19	17.7	5.5	12.2	0.291	70	2.54	3.4	3.35	3.25	3.05	2.85	3.93	-0.51	59.25	67.87	71.12	0.241	0.287	0.298	0.585	2984	99.5	15.9	3.81
¼ö¾Æ·¹Áî	3.12	19	7.33	2.67	2.75	0.25	18.4	6.7	11.7	0.362	68.6	3.92	4.5	4.25	4.09	3.12	2.86	4	0.8	91.46	85.35	72.83	0.299	0.345	0.368	0.713	1881	99	17.4	3.93
ÀÌ»ó¹Î	3.33	23	8.5	1.5	5.67	1	20.5	3.6	16.9	0.492	56.3	8.5	8.5	7.65	7.29	3.33	2.08	3.38	5.17	198.48	152.01	77.69	0.405	0.422	0.544	0.966	327	14.2	18.2	3.94
¿ì±Ô¹Î	3.63	56	5.86	1.05	5.6	0.63	14.9	2.7	12.2	0.354	64.4	4.81	5.23	5.28	5.16	3.63	2.9	3.93	1.19	112.41	107.71	84.73	0.316	0.339	0.42	0.759	733	13.1	17	3.9
¿ÍÀÌµå³Ê	3.71	10	7.09	2.87	2.47	0.51	17.8	7.2	10.6	0.343	66.2	4.56	5.06	4.86	4.63	3.71	3.12	4.13	0.84	106.39	96.62	86.69	0.289	0.346	0.374	0.72	907	90.7	17	3.84
ÀÌ½ÂÇö	3.81	60	6.3	2.25	2.8	0.75	15.9	5.7	10.2	0.317	71.1	3.6	4.35	4.87	4.78	3.81	2.91	4.17	-0.21	84.06	99.77	89.07	0.278	0.318	0.396	0.714	1077	18	18	4.08
¹éÁ¤Çö	3.91	18	5.45	2.68	2.03	0.54	14.6	7.2	7.4	0.298	70.5	3.67	3.93	3.76	3.63	3.91	3.27	4.51	-0.24	85.59	75.8	91.21	0.264	0.316	0.372	0.688	1589	88.3	15.8	3.79
¿øÅÂÀÎ	4.17	26	6.12	2.04	3	0.9	16.1	5.4	10.7	0.301	77.3	3.24	3.66	3.6	3.58	4.17	3.06	4.11	-0.93	75.66	74.71	97.28	0.268	0.313	0.393	0.706	2521	97	16.8	3.98
ÀÌÀçÀÍ	4.27	51	5.71	3.73	1.53	0.66	14.4	9.4	5	0.326	74.6	3.95	4.17	5.38	5.2	4.27	3.46	4.8	-0.32	92.26	108.51	99.68	0.288	0.354	0.388	0.742	696	13.6	17	3.85
±è´ë¿ì	4.4	44	6.89	3.09	2.23	0.98	17.7	7.9	9.7	0.309	66.7	4.5	5.2	5.61	5.47	4.4	3.18	4.23	0.1	105.08	114.02	102.73	0.273	0.335	0.405	0.74	1083	24.6	16.9	3.91
¿À½ÂÈ¯	4.59	58	6.32	2.15	2.93	1.29	16.7	5.7	11	0.254	78.7	3.45	3.73	4.6	4.5	4.59	2.96	4.08	-1.15	80.49	93.79	107.29	0.238	0.286	0.404	0.69	1027	17.7	16.4	3.89
ÀÌÈ£¼º	4.76	5	5.82	5.29	1.1	0.53	15.5	14.1	1.4	0.213	80	2.65	2.65	2.65	2.47	4.76	4.12	5.23	-2.11	61.81	51.42	111.04	0.19	0.304	0.345	0.649	272	54.4	16	3.83
È«¿øÇ¥	4.86	3	2.46	4.91	0.5	0	6.7	13.3	-6.7	0.167	75	2.45	2.45	1.23	1.22	4.86	4.93	6.2	-2.4	57.32	25.46	113.45	0.154	0.267	0.154	0.421	56	18.7	15.3	3.73
¹®¿ëÀÍ	4.88	14	8.31	8.31	1	0	20.3	20.3	0	0.25	72.7	4.15	4.15	3.81	3.62	4.88	4.92	5.4	-0.73	97	75.49	113.95	0.182	0.379	0.205	0.584	222	15.9	17.1	3.76
ÃÖÃ¤Èï	5.12	15	4.69	2.27	2.06	1.28	11.2	5.4	5.8	0.346	59.4	6.68	7.39	6.66	6.55	5.12	3.53	4.71	1.56	155.96	136.7	119.53	0.33	0.369	0.498	0.867	1167	77.8	18.4	3.96
