name,GR,IP,ERA,W,L,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war
임창민,60,54.1,3.98,2,1,14,0,9,1,28,3,1,4,87.9,0,5,1,0,23,10,25,2,8,41,7,17.1,0.91,17.18,1.55,1.97
최지광,35,36.1,2.23,3,2,11,0,10,0,7,3,0,3,70,0,0,3,0,14,7,28,10,35.7,11,3,27.3,1.04,19.26,1.43,1.63
김재윤,65,66,4.09,4,8,16,0,13,11,25,5,0,5,87.8,0,4,1,0,24,13,30,6,20,12,5,41.7,1.02,16.8,1.77,1.42
김태훈,56,52.1,3.96,3,2,14,2,10,0,23,1,3,4,85.2,0,4,0,1,16,11,28,9,32.1,25,5,20,0.93,15.54,1.22,1.32
이승현,60,60.1,4.48,6,2,13,0,15,1,9,2,3,5,66.7,1,0,0,1,10,15,30,12,40,22,7,31.8,1.01,18.45,1.09,1.17
이상민,37,30,3.9,2,1,9,2,7,1,8,0,0,0,100,0,2,0,0,7,4,29,2,6.9,12,4,33.3,0.81,11.24,0.9,0.94
송은범,9,8.1,1.08,0,0,2,0,1,0,2,0,0,0,100,0,1,0,0,1,1,4,1,25,2,0,0,0.93,12.67,0.65,0.38
김대우,31,32,5.63,0,0,5,1,9,0,5,0,0,0,100,0,3,0,0,3,3,21,7,33.3,14,9,64.3,1.03,15.87,0.6,0.34
최하늘,27,32,5.34,1,1,5,2,12,0,1,1,0,1,50,0,1,1,0,6,4,24,11,45.8,14,9,64.3,1.19,21.44,1.02,0.32
황동재,9,12.2,4.26,0,1,0,0,5,0,0,1,0,1,0,0,0,0,0,4,5,7,5,71.4,14,6,42.9,1.41,25.11,1.22,0.17
이승민,17,18,6,1,0,1,0,8,0,0,0,0,0,,0,0,0,0,0,8,16,3,18.8,14,8,57.1,1.06,18,0.47,0.14
오승환,58,55,4.91,3,9,16,1,10,27,2,8,1,9,76.3,4,0,1,0,21,17,23,9,39.1,6,2,33.3,0.95,17.28,1.9,0.09
홍원표,4,6.1,4.26,0,0,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,2,2,100,0,0,,1.58,28,0.11,0.08
최성훈,28,13,6.92,0,1,6,2,1,0,3,1,0,1,75,0,0,1,0,3,5,23,7,30.4,18,8,44.4,0.46,9.64,1.05,0.08
육선엽,10,14.2,5.52,0,0,0,0,5,0,0,0,0,0,,0,0,0,0,0,1,3,3,100,2,0,0,1.47,28.9,0.18,0.06
최채흥,13,17,5.29,0,0,2,0,8,0,1,0,0,0,100,0,0,0,0,1,3,8,3,37.5,2,0,0,1.31,23.77,0.48,0.05
백정현,2,3.2,7.36,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,4,9,0,0,,12,2,16.7,1.83,37,0.7,0.04
양현,18,13,7.62,0,1,2,0,2,0,2,0,0,0,100,0,1,0,0,2,3,12,0,0,11,2,18.2,0.72,13.44,0.76,0.02
이호성,4,5.2,6.35,0,0,0,0,3,0,0,0,1,1,0,0,0,0,1,0,11,6,4,66.7,20,4,20,1.42,29.5,1.09,-0.14
장필준,1,0.1,99.99,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,2,2,100,0.33,27,0,-0.16
홍정우,1,1,45,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1,28,0.06,-0.18
김윤수,4,5.1,10.13,0,0,1,0,2,0,0,0,0,0,,0,0,0,0,0,2,4,4,100,3,3,100,1.33,26.25,1.08,-0.24
이재익,9,9.2,17.69,1,0,1,0,5,0,0,0,0,0,,0,0,0,0,1,2,4,1,25,4,3,75,1.07,24.67,0.53,-0.76
원태인,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,13,10,0,0,,4,1,25,,,,
코너,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,13,9,0,0,,13,3,23.1,,,,
김대호,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,0,0,,,,,
이승현,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,0,0,,7,3,42.9,,,,
레예스,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,13,9,0,0,,18,5,27.8,,,,
