Name,FIP,G,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,ERA,RA9,rRA9,rRA9pf,FIP,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,
최지광,3.96,35,9.41,5.2,1.81,0.25,24.7,13.6,11,0.236,82.6,2.23,2.23,3.03,2.85,3.96,3.73,4.08,-1.73,42.82,49.65,77.29,0.176,0.307,0.264,0.571,674,19.3,18.6,4.38,
송은범,3.97,9,2.16,1.08,2,0,6.3,3.1,3.1,0.276,88.9,1.08,1.08,1.62,1.51,3.97,4.14,5.03,-2.89,20.74,26.27,77.51,0.258,0.281,0.323,0.604,114,12.7,13.7,3.56,
장필준,4.2,1,0,0,,0,0,0,0,0.833,0,135,99.99,106.65,102.27,4.2,4.59,5.4,130.8,2592.79,1780.91,81.96,0.833,0.833,1,1.833,27,27,81,4.5,
레예스,4.26,26,7.13,1.88,3.8,0.94,18.5,4.9,13.6,0.323,74.9,3.81,4.06,3.91,3.72,4.26,3.12,3.77,-0.44,73.22,64.8,83.07,0.278,0.32,0.404,0.724,2429,93.4,16.9,3.94,
코너,4.44,28,8.89,2.25,3.95,1.18,23.8,6,17.8,0.27,77,3.43,3.77,3.68,3.54,4.44,2.98,3.26,-1,65.9,61.72,86.57,0.226,0.293,0.37,0.663,2604,93,16.3,3.93,
임창민,4.49,60,8.28,4.97,1.67,0.66,19.8,11.9,7.9,0.339,76.7,3.98,4.31,3.86,3.61,4.49,3.74,4.45,-0.51,76.35,62.93,87.56,0.279,0.367,0.381,0.748,1031,17.2,19,4.08,
원태인,4.55,28,6.71,2.37,2.83,0.96,17.8,6.3,11.5,0.278,74.9,3.66,3.83,3.79,3.58,4.55,3.39,4.02,-0.89,70.37,62.33,88.89,0.245,0.3,0.385,0.685,2693,96.2,16.9,4.02,
황동재,4.6,15,6.43,3.86,1.67,0.43,16.7,10,6.7,0.29,70.2,4.07,4.29,4.29,4.25,4.6,4.12,4.6,-0.53,78.2,73.97,89.86,0.248,0.337,0.359,0.696,707,47.1,16.8,3.93,
이승현,4.61,60,7.61,3.43,2.22,0.9,19.2,8.7,10.6,0.343,73.3,4.48,4.62,5.09,4.82,4.61,3.55,4.13,-0.13,85.95,83.9,89.89,0.292,0.356,0.446,0.802,1107,18.5,18.3,4.18,
김대우,4.81,32,6.03,2.36,2.56,1.05,14.6,5.7,8.9,0.325,62.5,5.5,6.29,6.08,5.9,4.81,3.56,4.33,0.69,105.73,102.72,93.96,0.296,0.346,0.444,0.79,529,16.5,15.4,3.37,
이승현,5.01,17,7.01,3.81,1.84,0.93,17.7,9.6,8.1,0.304,73.7,4.23,4.53,4.32,4.11,5.01,3.87,4.43,-0.78,81.15,71.64,97.69,0.264,0.345,0.384,0.729,1528,89.9,17.5,3.98,
이상민,5.03,37,3.6,1.8,2,0.6,9.9,5,5,0.302,73.7,3.9,3.9,3.48,3.52,5.03,4.34,4.8,-1.13,74.9,61.33,98.1,0.282,0.342,0.382,0.724,416,11.2,13.9,3.44,
김태훈,5.16,56,6.36,3.27,1.95,1.03,16.4,8.4,8,0.27,75,3.96,4.13,4.39,4.34,5.16,3.91,4.44,-1.2,75.97,75.6,100.68,0.243,0.32,0.381,0.701,870,15.5,16.6,3.87,
오승환,5.31,58,6.87,2.95,2.33,1.47,16,6.9,9.2,0.355,72.3,4.91,5.89,6.6,6.17,5.31,3.5,4.3,-0.4,94.28,107.49,103.61,0.321,0.372,0.526,0.898,1002,17.3,18.2,3.82,
최성훈,5.34,28,6.92,6.23,1.11,0.69,16.4,14.8,1.6,0.325,60.9,6.92,6.92,6.44,6.07,5.34,4.54,5.2,1.59,132.96,105.72,104.18,0.292,0.393,0.375,0.768,270,9.6,20.8,4.43,
백정현,5.45,17,6.41,3.09,2.07,1.49,15.6,7.5,8.1,0.35,66.7,5.95,6.41,6.27,5.83,5.45,3.6,4.43,0.5,114.26,101.49,106.37,0.319,0.37,0.497,0.867,1288,75.8,16.4,3.58,
최하늘,5.47,27,5.06,4.5,1.13,0.56,12.9,11.5,1.4,0.25,60.5,5.34,5.63,5.86,5.72,5.47,4.84,5.23,-0.13,102.63,99.62,106.85,0.234,0.338,0.324,0.662,579,21.4,18.1,4.17,
