Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
코너,5.95,28,28,0,1,1,1,11,6,0,0,160,61,67,65.45,663,135,17,3,21,40,19,0,158,4,0,9,3.43,3.77,3.68,3.54,4.44,1.09
원태인,5.87,28,28,0,1,1,0,15,6,0,0,159.2,65,68,67.3,670,150,29,3,17,42,7,1,119,5,0,3,3.66,3.83,3.79,3.58,4.55,1.2
레예스,5.06,26,26,0,0,0,0,11,4,0,0,144,61,65,62.55,617,159,21,3,15,30,7,0,114,5,0,4,3.81,4.06,3.91,3.72,4.26,1.31
이승현,2.7,17,17,0,0,0,0,6,4,0,0,87.1,41,44,41.9,384,88,11,1,9,37,6,0,68,3,0,4,4.23,4.53,4.32,4.11,5.01,1.43
임창민,1.97,60,0,60,6,0,0,2,1,1,28,54.1,24,26,23.3,253,60,10,0,4,30,2,2,50,3,0,5,3.98,4.31,3.86,3.61,4.49,1.66
최지광,1.63,35,0,35,1,0,0,3,2,0,7,36.1,9,9,12.25,154,22,6,1,1,21,4,2,38,0,1,2,2.23,2.23,3.03,2.85,3.96,1.18
김재윤,1.42,65,0,65,21,0,0,4,8,11,25,66,30,37,37.45,284,58,9,1,13,25,1,5,51,5,0,2,4.09,5.05,5.11,4.81,5.69,1.26
김태훈,1.32,56,0,56,8,0,0,3,2,0,23,52.1,23,24,25.55,225,49,8,1,6,19,4,1,37,2,1,2,3.96,4.13,4.39,4.34,5.16,1.3
황동재,1.18,15,6,9,2,0,0,1,2,0,0,42,19,20,20,180,38,9,1,2,18,4,0,30,0,0,5,4.07,4.29,4.29,4.25,4.6,1.33
이승현,1.17,60,0,60,9,0,0,6,2,1,9,60.1,30,31,34.15,265,68,14,2,6,23,3,0,51,1,0,2,4.48,4.62,5.09,4.82,4.61,1.51
백정현,1.05,17,15,2,1,0,0,6,5,0,0,78.2,52,56,54.8,360,104,15,2,13,27,1,1,56,4,0,0,5.95,6.41,6.27,5.83,5.45,1.67
이상민,0.94,37,0,37,6,0,0,2,1,1,8,30,13,13,11.6,121,31,5,0,2,6,4,0,12,0,0,2,3.9,3.9,3.48,3.52,5.03,1.23
송은범,0.38,9,0,9,3,0,0,0,0,0,2,8.1,1,1,1.5,32,8,2,0,0,1,0,0,2,0,0,0,1.08,1.08,1.62,1.51,3.97,1.08
최하늘,0.32,27,0,27,4,0,0,1,1,0,1,32,19,20,20.85,139,26,4,0,2,16,4,0,18,3,0,2,5.34,5.63,5.86,5.72,5.47,1.31
김대우,0.31,32,1,31,13,0,0,0,0,0,5,34.1,21,24,23.2,157,42,9,0,4,9,3,2,23,3,0,1,5.5,6.29,6.08,5.9,4.81,1.49
육선엽,0.14,11,1,10,5,0,0,0,0,0,0,17,10,11,12.55,87,19,2,0,3,17,2,0,11,1,0,1,5.29,5.82,6.64,6.46,8.15,2.12
오승환,0.09,58,0,58,42,0,0,3,9,27,2,55,30,36,40.35,262,75,17,2,9,18,3,3,42,3,0,5,4.91,5.89,6.6,6.17,5.31,1.69
홍원표,0.08,4,0,4,4,0,0,0,0,0,0,6.1,3,3,4.2,28,4,1,0,1,6,0,0,5,0,0,0,4.26,4.26,5.97,5.43,7.04,1.58
최성훈,0.08,28,0,28,0,0,0,0,1,0,3,13,10,10,9.3,61,14,1,0,1,9,1,1,10,0,0,2,6.92,6.92,6.44,6.07,5.34,1.77
양현,0.02,18,0,18,4,0,0,0,1,0,2,13,11,11,10.35,64,21,2,0,4,5,1,0,10,0,0,0,7.62,7.62,7.17,6.71,7.37,2
이호성,-0.04,16,12,4,0,0,0,2,4,0,0,45,37,39,39.2,224,66,13,1,9,26,2,0,28,0,0,3,7.4,7.8,7.84,7.39,6.95,2.04
최채흥,-0.04,14,1,13,3,0,0,0,0,0,1,20,14,15,16.55,96,24,5,1,4,12,0,0,14,2,0,1,6.3,6.75,7.45,7.37,6.69,1.8
장필준,-0.16,1,0,1,0,0,0,0,0,0,0,0.1,5,5,3.95,6,5,1,0,0,0,0,0,0,0,0,1,99.99,99.99,106.65,102.27,4.2,15
김대호,-0.17,1,1,0,0,0,0,0,1,0,0,4,5,6,6,22,7,2,0,1,2,0,0,1,1,0,0,11.25,13.5,13.5,13.55,8.1,2.25
홍정우,-0.18,1,0,1,1,0,0,0,0,0,0,1,5,5,5,9,5,1,0,1,1,0,0,1,0,0,0,45,45,45,40.8,16.7,6
김윤수,-0.24,4,0,4,2,0,0,0,0,0,0,5.1,6,6,6.7,26,6,0,0,0,7,0,0,2,0,0,1,10.13,10.13,11.31,10.93,7.33,2.44
이승민,-0.33,25,8,17,6,0,0,1,4,0,0,47.1,45,48,45.25,237,71,8,1,14,26,3,0,23,5,0,1,8.56,9.13,8.6,8.27,8.4,2.05
이재익,-0.76,9,0,9,1,0,0,1,0,0,0,9.2,19,19,17.75,58,29,3,0,2,4,0,0,6,0,0,0,17.69,17.69,16.53,17.15,6.39,3.41
