name,starter war,G,GS,IP,ERA,W,L,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,start BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa
코너,5.95,28,28,160,3.43,11,6,13,46.4,8,28.6,7,0,0,82,4.6,16,12,57.1,0,0,13,3,23.1,5.71,93,56.07,3.1
원태인,5.87,28,28,159.2,3.66,15,6,13,46.4,3,10.7,6,0,0,92,5.2,15,11,57.7,0,0,4,1,25,5.7,96.18,53.07,3.03
레예스,5.06,26,26,144,3.81,11,4,12,46.2,2,7.7,5,0,0,115,7.2,17,9,65.4,0,0,18,5,27.8,5.54,93.42,50.85,2.5
이승현,2.7,17,17,87.1,4.23,6,4,5,29.4,0,0,7,0,0,46,4.7,10,7,58.8,0,0,7,3,42.9,5.14,89.88,49.12,1.14
황동재,1.01,15,6,29.1,3.99,1,1,0,0,0,0,5,0,0,22,6.8,4,2,66.7,0,0,14,6,42.9,4.89,80.17,50.5,0.49
백정현,1,17,15,75,5.88,6,4,4,26.7,1,6.7,6,0,0,49,5.9,6,9,40,0,0,12,2,16.7,5,80.93,42.33,-0.33
이호성,0.1,16,12,39.1,7.55,2,4,0,0,0,0,10,0,0,20,4.6,5,7,41.7,0,0,20,4,20,3.28,69.5,39.75,-0.6
육선엽,0.08,11,1,2.1,3.86,0,0,0,0,0,0,1,0,0,6,23.1,1,0,100,0,0,2,0,0,2.33,66,46,0.04
김대우,-0.03,32,1,2.1,3.86,0,0,0,0,0,0,0,0,0,20,77.1,1,0,100,0,0,14,9,64.3,2.33,37,41,-0.07
최채흥,-0.09,14,1,3,12,0,0,0,0,0,0,0,0,0,12,36,0,1,0,0,0,2,0,0,3,50,35,-0.14
김대호,-0.17,1,1,4,11.25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,4,87,25,-0.24
이승민,-0.48,25,8,29.1,10.13,0,4,0,0,0,0,3,0,0,32,9.8,3,5,37.5,0,0,14,8,57.1,3.67,76.75,31.13,-1
임창민,,60,0,0,,0,0,0,,0,,0,0,0,40,,0,0,,0,0,41,7,17.1,,,,
김태훈,,56,0,0,,0,0,0,,0,,0,0,0,38,,0,0,,0,0,25,5,20,,,,
최하늘,,27,0,0,,0,0,0,,0,,0,0,0,20,,0,0,,0,0,14,9,64.3,,,,
양현,,18,0,0,,0,0,0,,0,,0,0,0,5,,0,0,,0,0,11,2,18.2,,,,
김재윤,,65,0,0,,0,0,0,,0,,0,0,0,39,,0,0,,0,0,12,5,41.7,,,,
홍정우,,1,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,0,0,,,,,
이승현,,60,0,0,,0,0,0,,0,,0,0,0,39,,0,0,,0,0,22,7,31.8,,,,
이상민,,37,0,0,,0,0,0,,0,,0,0,0,24,,0,0,,0,0,12,4,33.3,,,,
홍원표,,4,0,0,,0,0,0,,0,,0,0,0,1,,0,0,,0,0,0,0,,,,,
오승환,,58,0,0,,0,0,0,,0,,0,0,0,17,,0,0,,0,0,6,2,33.3,,,,
최성훈,,28,0,0,,0,0,0,,0,,0,0,0,8,,0,0,,0,0,18,8,44.4,,,,
최지광,,35,0,0,,0,0,0,,0,,0,0,0,20,,0,0,,0,0,11,3,27.3,,,,
이재익,,9,0,0,,0,0,0,,0,,0,0,0,11,,0,0,,0,0,4,3,75,,,,
송은범,,9,0,0,,0,0,0,,0,,0,0,0,11,,0,0,,0,0,2,0,0,,,,
장필준,,1,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,2,2,100,,,,
김윤수,,4,0,0,,0,0,0,,0,,0,0,0,1,,0,0,,0,0,3,3,100,,,,
