Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD_1,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP_2,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
폰트,4.01,25,25,0,0,0,0,8,5,0,0,145.2,56,66,66,604,114,22,1,12,45,6,1,157,11,1,2,3.46,4.08,4.08,3.96,3.12,1.09,9.7,2.78,3.49,0.74,26,7.5,18.5,0.271,66.9,2.22,3.17,0.34,75.4,78.4,67.92,0.211,0.277,0.322,0.599,2526,101,17.3,4.18,13,52,5,20,5,0,0,76,4.7,14,8,63.6,0,0,2,0,0,5.83,101.04,56.84,1.42,4.01,0,0,0,0,0,0,0,0,,0,0,0,0,11,9,0,0,,2,0,0,,,,,0.271,376,42.2,6.8,49,55.8,2,0.8,5.4,2.6,,,,,,
김택형,2.43,59,0,59,24,0,0,5,1,7,4,75.1,20,23,28.35,316,61,11,0,3,42,3,5,62,7,0,3,2.39,2.75,3.39,3.32,3.95,1.37,7.41,5.02,1.48,0.36,19.6,13.3,6.3,0.286,81.4,3.55,4.64,-1.56,52.07,65.77,86.14,0.231,0.339,0.307,0.646,1277,21.6,17,4.04,0,,0,,0,0,0,42,,0,0,,0,0,5,1,20,,,,,,13,2,23,7,4,3,1,4,73.3,0,0,0,1,26,7,34,10,29.4,5,1,20,1.28,21.64,1.22,2.43,0.286,203,53.1,4.8,37.8,42.6,4.3,1.2,3.4,18,,,,,,
박종훈,2.1,9,9,0,0,0,0,4,2,0,0,54.1,17,19,18.65,222,40,7,0,2,17,7,0,41,6,2,0,2.82,3.15,3.09,3.02,3.69,1.05,6.79,2.82,2.41,0.33,18.5,7.7,10.8,0.248,73.8,3.31,4.1,-0.87,61.36,59.66,80.36,0.205,0.291,0.272,0.563,867,96.3,16,3.91,6,66.7,2,22.2,1,0,0,29,4.8,6,3,66.7,0,0,4,1,25,6.04,96.33,57.67,1.13,2.1,0,0,0,0,0,0,0,0,,0,0,0,0,6,1,0,0,,4,1,25,,,,,0.248,153,63.1,3.2,32.5,35.7,1.3,1.8,3.6,15,,,,,,
장지훈,1.72,60,0,60,6,0,0,2,5,1,10,80.1,35,40,37.9,342,84,12,2,6,19,4,1,51,5,1,1,3.92,4.48,4.25,4.2,3.96,1.28,5.71,2.13,2.68,0.67,14.9,5.6,9.4,0.304,67.7,3.15,4.28,-0.03,85.45,83.07,86.21,0.268,0.318,0.377,0.695,1239,20.7,15.4,3.62,0,,0,,0,0,0,49,,0,0,,0,0,22,12,54.5,,,,,,14,0,23,1,10,2,1,3,78.6,0,2,0,1,19,16,34,10,29.4,22,12,54.5,1.34,20.65,1.22,1.72,0.304,257,55.2,2.2,39.6,41.8,3,1.3,5.4,7.1,,,,,,
문승원,1.67,9,9,0,0,0,0,2,2,0,0,50.1,16,20,20,212,42,14,0,1,18,2,0,32,4,0,1,2.86,3.58,3.58,3.48,3.65,1.19,5.72,3.22,1.78,0.18,15.1,8.5,6.6,0.26,68.9,3.5,4.61,-0.78,62.34,68.77,79.44,0.22,0.294,0.309,0.603,858,95.3,17,4.05,5,55.6,1,11.1,2,0,0,27,4.8,5,4,55.6,0,0,1,0,0,5.59,95.33,54.11,0.77,1.67,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,0,0,,1,0,0,,,,,0.26,158,46.3,5.6,45,50.6,3.1,0.9,1.2,4.8,,,,,,
서진용,1.48,65,0,65,32,0,0,7,5,9,3,67.1,25,28,31.95,297,57,8,1,9,43,0,7,62,5,0,3,3.34,3.74,4.27,4.16,4.85,1.49,8.29,5.75,1.44,1.2,20.9,14.5,6.4,0.268,82.8,3.35,4.63,-1.51,72.82,82.36,105.71,0.232,0.341,0.382,0.723,1132,17.4,16.8,3.81,0,,0,,0,0,0,34,,0,0,,0,0,13,3,23.1,,,,,,17,2,14,9,3,5,0,5,70.6,0,0,2,0,16,15,25,10,40,13,3,23.1,1.04,17.42,1.25,1.48,0.268,179,40.6,4.7,52.6,57.3,2.1,0.7,8.2,1.8,,,,,,
김태훈,0.92,65,0,65,4,0,0,2,4,1,16,58,32,35,31.3,269,55,5,0,7,38,10,3,49,5,1,4,4.97,5.43,4.86,4.68,5.55,1.6,7.6,5.9,1.29,1.09,18.2,14.1,4.1,0.296,73.1,4.2,4.91,-0.58,108.21,92.54,120.93,0.253,0.387,0.373,0.76,1012,15.6,17.4,3.76,0,,0,,0,0,0,46,,0,0,,0,0,26,13,50,,,,,,20,3,11,1,16,7,1,8,68,1,4,3,1,21,16,39,8,20.5,26,13,50,0.89,15.57,1.45,0.92,0.296,162,48.3,6.4,44.2,50.6,1.2,1,8,9.1,,,,,,
가빌리오,0.88,15,15,0,0,0,0,6,4,0,0,81.1,53,54,51.95,351,88,18,0,7,30,6,1,70,1,0,3,5.86,5.98,5.75,5.58,3.97,1.45,7.75,3.32,2.33,0.78,19.9,8.5,11.4,0.343,61.4,3.03,4.03,1.89,127.8,110.31,86.59,0.285,0.355,0.411,0.766,1286,85.7,15.8,3.66,5,33.3,1,6.7,3,0,0,82,9.1,8,6,57.1,0,0,9,4,44.4,5.42,85.73,45.47,-0.57,0.88,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,0,0,,9,4,44.4,,,,,0.343,236,51.8,0,44.5,44.5,3.7,1.2,6.4,8,,,,,,
김상수,0.83,50,0,50,20,0,0,4,3,6,5,58.1,33,33,32.45,273,71,8,0,10,30,1,3,44,1,0,2,5.09,5.09,5.01,4.78,5.46,1.73,6.79,4.63,1.47,1.54,16.1,11,5.1,0.33,78.4,3.53,4.78,-0.37,110.95,94.54,119.03,0.298,0.378,0.458,0.836,1059,21.2,18.2,3.88,0,,0,,0,0,0,26,,0,0,,0,0,10,2,20,,,,,,11,2,11,6,5,3,0,3,78.6,0,0,0,0,15,10,9,1,11.1,10,2,20,1.17,21.18,1.06,0.83,0.33,185,42.9,3,50.5,53.5,3.5,0.8,9.4,9.9,,,,,,
박민호,0.8,40,0,40,5,0,0,4,0,0,5,41,17,18,20.55,177,45,5,0,3,11,4,0,19,0,0,0,3.73,3.95,4.51,4.29,4.61,1.37,4.17,2.42,1.73,0.66,10.7,6.2,4.5,0.307,75,3.85,4.86,-0.88,81.32,84.92,100.53,0.283,0.345,0.371,0.716,703,17.6,17.1,3.97,0,,0,,0,0,0,35,,0,0,,0,0,12,2,16.7,,,,,,8,1,9,0,5,3,1,4,55.6,0,0,0,1,9,5,17,6,35.3,12,2,16.7,1.03,17.58,1.02,0.8,0.307,137,41.3,4.9,51,55.9,2.8,0.7,3.8,2.2,,,,,,
