Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
김광현,7.39,28,28,0,0,0,0,13,3,0,0,173.1,41,48,48,694,141,16,2,10,45,5,2,153,9,0,1,2.13,2.49,2.49,2.44,3.14,1.07,7.94,2.34,3.4,0.52,22,6.5,15.6,0.276,80.8,2.53,3.53,-1.01,50.28,51.46,74.17,0.222,0.278,0.3,0.578,2634,94.1,15.2,3.8,19,67.9,8,28.6,5,0,0,105,5.5,20,7,74.1,0,0,4,0,0,6.19,94.07,60.36,4.31,7.39,0,0,0,0,0,0,0,0,,0,0,0,0,19,4,0,0,,4,0,0,,,,,0.276,475,49.3,4.3,42.8,47,3.7,1,4.3,5.7
폰트,6.5,28,28,0,1,1,0,13,6,0,0,184,55,63,63,729,141,22,3,18,34,6,1,170,7,0,5,2.69,3.08,3.08,3.01,3.31,0.95,8.32,1.66,5,0.88,23.3,4.7,18.7,0.247,75.6,2.24,3.16,-0.62,63.54,63.39,78.24,0.207,0.249,0.327,0.576,2769,98.9,15,3.8,20,71.4,16,57.1,2,0,0,105,5.1,18,9,66.7,0,0,0,0,,6.57,98.89,61.21,3.23,6.5,0,0,0,0,0,0,0,0,,0,0,0,0,17,7,0,0,,0,0,,,,,,0.247,498,39.3,9.1,49.7,58.8,1.9,0.7,5.9,6.4
모리만도,3.43,12,12,0,0,0,0,7,1,0,0,75.1,14,19,19,304,57,8,0,2,23,4,0,67,5,0,2,1.67,2.27,2.27,2.23,2.99,1.06,8,2.75,2.91,0.24,22,7.6,14.5,0.268,80.2,2.75,3.66,-1.32,39.5,47.01,70.57,0.209,0.279,0.26,0.539,1178,98.2,15.6,3.88,10,83.3,6,50,1,0,0,47,5.6,10,2,83.3,0,0,3,0,0,6.28,98.17,62,2.09,3.43,0,0,0,0,0,0,0,0,,0,0,0,0,8,2,0,0,,3,0,0,,,,,0.268,205,45.9,5.7,45.5,51.2,2.9,0.9,1.9,5.3
노경은,2.8,41,8,33,7,0,0,12,5,1,7,79.2,27,28,29.05,323,69,10,0,5,23,4,0,55,5,0,5,3.05,3.16,3.28,3.13,3.86,1.15,6.21,2.6,2.39,0.57,17,7.1,9.9,0.275,76.4,3.19,4.21,-0.81,72.04,65.96,91.07,0.238,0.3,0.324,0.624,1242,30.3,15.6,3.85,2,25,0,0,4,0,0,58,13.1,5,3,62.5,0,0,7,3,42.9,5,80.25,51.75,0.62,1.33,12,3,11,1,7,5,1,6,57.1,1,0,3,1,20,10,16,5,31.3,7,3,42.9,1.2,18.18,1.94,1.47,0.275,233,49.4,7.1,39.8,46.9,3.7,1.1,4.4,10.1
이태양,2.77,30,17,13,3,0,0,8,3,0,1,112,45,50,49.3,472,116,18,0,15,24,5,2,61,7,0,0,3.62,4.02,3.96,3.78,4.76,1.25,4.9,1.93,2.54,1.21,12.9,5.1,7.8,0.281,76.6,3.27,4.46,-1.15,85.41,79.79,112.51,0.267,0.312,0.411,0.723,1712,57.1,15.3,3.63,9,52.9,4,23.5,3,0,0,61,6,9,7,56.3,0,0,12,3,25,5.41,83.24,50.47,0.58,2.22,3,0,6,0,1,0,0,0,100,0,0,0,0,12,9,6,1,16.7,12,3,25,1.54,22.85,0.79,0.55,0.281,360,42.9,5.5,49.5,55,2.1,0.8,7.1,6
오원석,2.53,31,24,7,0,0,0,6,8,0,0,144,72,79,72.75,633,158,21,2,16,58,3,1,112,9,0,7,4.5,4.94,4.55,4.46,4.48,1.5,7,3.63,1.93,1,17.7,9.2,8.5,0.324,71.1,3.24,4.38,0.02,106.29,94.1,105.7,0.28,0.349,0.409,0.758,2531,81.6,17.6,4,11,45.8,2,8.3,5,0,0,63,4.4,13,11,54.2,0,0,26,12,46.2,5.32,91.83,49.33,0.5,2.77,1,0,3,0,0,1,0,1,0,0,0,0,0,11,15,4,1,25,26,12,46.2,2.33,46.71,0.98,-0.24,0.324,439,44.3,3.7,49.1,52.8,2.8,0.8,6.6,7
서진용,1.36,68,0,68,40,0,0,7,3,21,12,67.1,30,32,31.85,297,64,10,1,5,36,3,3,55,2,0,6,4.01,4.28,4.26,4.04,4.33,1.49,7.35,4.81,1.53,0.67,18.5,12.1,6.4,0.306,74,3.53,4.63,-0.32,94.71,85.22,102.25,0.255,0.353,0.363,0.716,1148,16.9,17,3.87,0,,0,,0,0,0,23,,0,0,,0,0,9,5,55.6,,,,,,18,3,11,21,12,4,0,4,89.2,0,0,2,0,33,9,21,6,28.6,9,5,55.6,0.99,16.88,1.6,1.36,0.306,193,49.8,3.4,45.3,48.8,1.5,1,5.1,7.8
최민준,0.82,51,1,50,10,0,0,5,4,0,5,68.1,30,37,36.8,288,51,8,1,10,34,2,2,48,8,0,7,3.95,4.87,4.85,4.64,5.4,1.24,6.32,4.48,1.41,1.32,16.7,11.8,4.9,0.216,68.5,3.73,4.82,-1.45,93.32,97.97,127.61,0.207,0.306,0.37,0.676,1111,21.8,16.3,3.86,0,0,0,0,1,0,0,51,100,0,1,0,0,0,19,8,42.1,3,54,41,-0.14,-0.08,13,1,17,0,5,2,1,3,62.5,0,1,1,0,9,14,20,6,30,19,8,42.1,1.31,21.14,0.93,0.91,0.216,190,51.5,2.9,42.2,45.1,3.4,1.1,10.9,5.9
김택형,0.79,64,0,64,24,0,0,3,5,17,10,60.1,33,33,32.15,261,57,9,0,8,22,3,1,62,2,0,6,4.92,4.92,4.8,4.52,4.03,1.31,9.25,3.28,2.82,1.19,23.8,8.4,15.3,0.299,69,2.52,3.56,0.9,116.27,95.38,95.09,0.245,0.317,0.386,0.703,1034,16.2,17.1,3.96,0,,0,,0,0,0,20,,0,0,,0,0,21,10,47.6,,,,,,21,0,10,17,10,5,1,6,81.8,1,1,2,1,22,14,31,12,38.7,21,10,47.6,0.94,16.16,1.55,0.79,0.299,164,50.6,5.2,42.5,47.7,1.7,1.1,9.6,3.5
장지훈,0.58,40,0,40,12,0,0,2,0,0,6,55,26,26,30.65,231,56,8,2,6,11,3,2,33,3,0,4,4.25,4.25,5.02,4.77,4.37,1.22,5.4,1.8,3,0.98,14.3,4.8,9.5,0.289,71,3.16,4.26,-0.12,100.49,100.56,103.25,0.269,0.31,0.413,0.723,833,20.8,15.1,3.61,0,,0,,0,0,0,32,,0,0,,0,0,6,1,16.7,,,,,,4,0,17,0,6,2,1,3,66.7,0,1,1,1,7,6,23,10,43.5,6,1,16.7,1.38,20.83,0.84,0.58,0.289,173,50,2.7,44,46.7,3.3,1.1,7,7.1
