Name,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
폰트,0.247,498,39.3,9.1,49.7,58.8,1.9,0.7,5.9,6.4
김광현,0.276,475,49.3,4.3,42.8,47,3.7,1,4.3,5.7
오원석,0.324,439,44.3,3.7,49.1,52.8,2.8,0.8,6.6,7
이태양,0.281,360,42.9,5.5,49.5,55,2.1,0.8,7.1,6
노경은,0.275,233,49.4,7.1,39.8,46.9,3.7,1.1,4.4,10.1
노바,0.329,222,54.6,1.7,39.3,41,4.4,1.3,5.3,9
모리만도,0.268,205,45.9,5.7,45.5,51.2,2.9,0.9,1.9,5.3
서진용,0.306,193,49.8,3.4,45.3,48.8,1.5,1,5.1,7.8
최민준,0.216,190,51.5,2.9,42.2,45.1,3.4,1.1,10.9,5.9
장지훈,0.289,173,50,2.7,44,46.7,3.3,1.1,7,7.1
김택형,0.299,164,50.6,5.2,42.5,47.7,1.7,1.1,9.6,3.5
박종훈,0.324,142,55,3.3,39.1,42.4,2.6,1.3,9.4,11.5
고효준,0.298,114,51.3,4.3,41,45.3,3.4,1.1,1.9,5.7
박민호,0.315,73,42.1,1.3,53.9,55.3,2.6,0.8,7.1,0
문승원,0.397,73,46.2,1.3,50,51.3,2.6,0.9,7.5,0
조요한,0.278,54,47.4,3.5,49.1,52.6,0,0.9,6.7,5.9
서동민,0.192,52,29.1,9.1,58.2,67.3,3.6,0.4,8.1,7.7
김상수,0.269,26,34.5,6.9,55.2,62.1,3.4,0.6,11.1,11.1
한두솔,0.4,25,52,0,48,48,0,1.1,0,10
김태훈,0.235,17,15.8,10.5,73.7,84.2,0,0.2,12.5,0
신재영,0.467,15,47.1,11.8,35.3,47.1,5.9,1,25,11.1
전영준,0.417,12,50,7.1,42.9,50,0,1,28.6,0
김건우,0.364,11,33.3,8.3,58.3,66.7,0,0.5,12.5,0
김주온,0.2,10,72.7,0,27.3,27.3,0,2.7,33.3,33.3
이건욱,0.143,7,50,0,50,50,0,1,25,0
윤태현,0.333,6,66.7,0,33.3,33.3,0,2,0,0
박시후,0.5,6,66.7,0,33.3,33.3,0,2,0,0
정성곤,0,5,50,0,50,50,0,1,33.3,0
신헌민,0.75,4,75,0,25,25,0,3,0,0
