name,GR,IP,ERA,W,L,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war
노경은,33,39.2,2.72,7,2,12,3,11,1,7,5,1,6,57.1,1,0,3,1,20,10,16,5,31.3,7,3,42.9,1.2,18.18,1.94,1.47
서진용,68,67.1,4.01,7,3,18,3,11,21,12,4,0,4,89.2,0,0,2,0,33,9,21,6,28.6,9,5,55.6,0.99,16.88,1.6,1.36
최민준,50,65.1,3.72,5,3,13,1,17,0,5,2,1,3,62.5,0,1,1,0,9,14,20,6,30,19,8,42.1,1.31,21.14,0.93,0.91
김택형,64,60.1,4.92,3,5,21,0,10,17,10,5,1,6,81.8,1,1,2,1,22,14,31,12,38.7,21,10,47.6,0.94,16.16,1.55,0.79
장지훈,40,55,4.25,2,0,4,0,17,0,6,2,1,3,66.7,0,1,1,1,7,6,23,10,43.5,6,1,16.7,1.38,20.83,0.84,0.58
이태양,13,20,3.15,1,0,3,0,6,0,1,0,0,0,100,0,0,0,0,12,9,6,1,16.7,12,3,25,1.54,22.85,0.79,0.55
고효준,45,38.2,3.72,1,0,10,1,7,0,7,1,0,1,87.5,0,3,1,0,11,9,34,14,41.2,23,9,39.1,0.86,16.44,1.09,0.36
서동민,20,21,2.57,1,1,6,1,6,0,5,0,0,0,100,0,1,0,0,6,1,10,3,30,7,3,42.9,1.05,18.3,1.12,0.32
박민호,22,22,4.09,1,1,3,0,2,1,4,1,0,1,83.3,0,0,1,0,3,5,5,4,80,10,1,10,1,18.82,0.93,0.17
김건우,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,0,0,,1,16,0.01,0.04
문승원,23,24.2,5.11,1,1,3,0,6,3,3,0,0,0,100,0,0,0,0,9,5,7,4,57.1,2,2,100,1.07,19.57,1.22,-0.01
김주온,5,4,11.25,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,3,3,100,0.8,15,0.1,-0.02
전영준,3,2.2,6.75,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,1,1,100,1,1,100,0.89,18.67,0.05,-0.03
박시후,2,1,18,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,2,1,50,0.5,11,0.02,-0.04
신헌민,1,1,9,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1,20,0.05,-0.07
정성곤,2,2.2,10.13,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,1,1,1,100,0,0,,1.33,23,0.25,-0.08
조요한,23,19.1,6.52,2,1,7,0,3,0,5,2,0,2,71.4,0,1,1,0,5,3,9,1,11.1,10,5,50,0.84,14.17,1.46,-0.09
윤태현,3,2,9,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,2,2,100,2,2,100,0.67,17.67,0.8,-0.1
신재영,4,4.1,12.46,0,0,1,0,1,0,0,0,0,0,,0,0,0,0,0,0,2,1,50,1,1,100,1.08,20.25,0.19,-0.15
김상수,8,8,9,0,0,1,0,1,1,0,0,0,0,100,0,0,0,0,1,0,2,0,0,0,0,,1,20.13,0.47,-0.17
오원석,7,16.1,7.16,1,0,1,0,3,0,0,1,0,1,0,0,0,0,0,11,15,4,1,25,26,12,46.2,2.33,46.71,0.98,-0.24
김태훈,9,5.1,10.13,0,0,3,1,0,1,3,0,0,0,100,0,2,0,0,1,3,3,1,33.3,6,1,16.7,0.59,13.11,1.05,-0.28
한두솔,8,5.1,16.88,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,3,4,4,100,4,2,50,0.67,13.38,0.62,-0.57
노바,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,4,7,0,0,,6,2,33.3,,,,
이건욱,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,0,0,,,,,
김광현,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,19,4,0,0,,4,0,0,,,,
폰트,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,17,7,0,0,,0,0,,,,,
모리만도,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,8,2,0,0,,3,0,0,,,,
박종훈,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,4,6,0,0,,7,2,28.6,,,,
