Name,FIP,G,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,ERA,RA9,rRA9,rRA9pf,FIP,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA
신헌민,1.28,1,9,0,,0,20,0,20,0.75,33.3,9,18,18,17.54,1.28,1.34,3,7.72,212.57,370.11,30.33,0.6,0.6,0.6,1.2,20,20,20,4
모리만도,2.99,12,8,2.75,2.91,0.24,22,7.6,14.5,0.268,80.2,1.67,2.27,2.27,2.23,2.99,2.75,3.66,-1.32,39.5,47.01,70.57,0.209,0.279,0.26,0.539,1178,98.2,15.6,3.88
김광현,3.14,28,7.94,2.34,3.4,0.52,22,6.5,15.6,0.276,80.8,2.13,2.49,2.49,2.44,3.14,2.53,3.53,-1.01,50.28,51.46,74.17,0.222,0.278,0.3,0.578,2634,94.1,15.2,3.8
폰트,3.31,28,8.32,1.66,5,0.88,23.3,4.7,18.7,0.247,75.6,2.69,3.08,3.08,3.01,3.31,2.24,3.16,-0.62,63.54,63.39,78.24,0.207,0.249,0.327,0.576,2769,98.9,15,3.8
고효준,3.51,45,8.15,4.66,1.75,0.23,20.1,11.5,8.6,0.298,69.6,3.72,4.19,4.91,4.84,3.51,3.28,4.37,0.21,87.96,102.18,82.96,0.235,0.331,0.322,0.653,740,16.4,19.1,4.25
박시후,3.78,2,0,0,,0,0,0,0,0.5,33.3,18,18,13.5,13.65,3.78,3.89,5.4,14.22,425.14,288.04,89.38,0.5,0.5,0.667,1.167,22,11,22,3.67
문승원,3.83,23,9.12,2.55,3.57,1.1,22.3,6.3,16.1,0.397,70.3,5.11,5.47,5.91,5.57,3.83,2.47,3.47,1.28,120.65,117.59,90.43,0.317,0.373,0.465,0.838,450,19.6,18.2,4.02
노경은,3.86,41,6.21,2.6,2.39,0.57,17,7.1,9.9,0.275,76.4,3.05,3.16,3.28,3.13,3.86,3.19,4.21,-0.81,72.04,65.96,91.07,0.238,0.3,0.324,0.624,1242,30.3,15.6,3.85
김택형,4.03,64,9.25,3.28,2.82,1.19,23.8,8.4,15.3,0.299,69,4.92,4.92,4.8,4.52,4.03,2.52,3.56,0.9,116.27,95.38,95.09,0.245,0.317,0.386,0.703,1034,16.2,17.1,3.96
서진용,4.33,68,7.35,4.81,1.53,0.67,18.5,12.1,6.4,0.306,74,4.01,4.28,4.26,4.04,4.33,3.53,4.63,-0.32,94.71,85.22,102.25,0.255,0.353,0.363,0.716,1148,16.9,17,3.87
장지훈,4.37,40,5.4,1.8,3,0.98,14.3,4.8,9.5,0.289,71,4.25,4.25,5.02,4.77,4.37,3.16,4.26,-0.12,100.49,100.56,103.25,0.269,0.31,0.413,0.723,833,20.8,15.1,3.61
윤태현,4.38,3,9,9,1,0,20,20,0,0.333,50,9,9,9.68,10.84,4.38,4.44,5.4,4.62,212.57,228.78,103.55,0.25,0.4,0.25,0.65,53,17.7,26.5,5.3
오원석,4.48,31,7,3.63,1.93,1,17.7,9.2,8.5,0.324,71.1,4.5,4.94,4.55,4.46,4.48,3.24,4.38,0.02,106.29,94.1,105.7,0.28,0.349,0.409,0.758,2531,81.6,17.6,4
이태양,4.76,30,4.9,1.93,2.54,1.21,12.9,5.1,7.8,0.281,76.6,3.62,4.02,3.96,3.78,4.76,3.27,4.46,-1.15,85.41,79.79,112.51,0.267,0.312,0.411,0.723,1712,57.1,15.3,3.63
노바,4.92,12,4.52,3.53,1.28,0.71,11,8.6,2.4,0.329,57.4,6.5,7.07,6.95,6.98,4.92,4.07,5.11,1.58,153.59,147.28,116.27,0.304,0.374,0.416,0.79,1046,87.2,16.4,3.59
서동민,4.99,20,8.14,4.71,1.73,1.29,22.1,12.8,9.3,0.192,66.7,2.57,4.71,4.56,4.37,4.99,3.39,4.28,-2.42,60.73,92.12,117.95,0.176,0.291,0.338,0.629,366,18.3,17.4,4.26
박종훈,5.06,11,7.5,3.94,1.9,1.13,18.2,9.5,8.6,0.324,64.4,6,6.38,6.18,6.03,5.06,3.65,4.36,0.94,141.72,127.11,119.54,0.28,0.373,0.409,0.782,896,81.5,18.7,4.07
최민준,5.4,51,6.32,4.48,1.41,1.32,16.7,11.8,4.9,0.216,68.5,3.95,4.87,4.85,4.64,5.4,3.73,4.82,-1.45,93.32,97.97,127.61,0.207,0.306,0.37,0.676,1111,21.8,16.3,3.86
한두솔,5.64,8,1.69,6.75,0.25,0,3.3,13.3,-10,0.4,28.6,16.88,16.88,18.31,17.32,5.64,5.76,6.6,11.23,398.57,365.3,133.22,0.4,0.467,0.48,0.947,107,13.4,20.1,3.57
조요한,5.8,23,6.98,6.05,1.15,0.93,16.9,14.6,2.2,0.278,61.3,6.52,6.98,6.12,5.79,5.8,4.65,5.13,0.72,153.93,122.13,137.02,0.243,0.386,0.343,0.729,326,14.2,16.9,3.66
