Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
김광현,7.39,28,28,0,0,0,0,13,3,0,0,173.1,41,48,48,694,141,16,2,10,45,5,2,153,9,0,1,2.13,2.49,2.49,2.44,3.14,1.07
폰트,6.5,28,28,0,1,1,0,13,6,0,0,184,55,63,63,729,141,22,3,18,34,6,1,170,7,0,5,2.69,3.08,3.08,3.01,3.31,0.95
모리만도,3.43,12,12,0,0,0,0,7,1,0,0,75.1,14,19,19,304,57,8,0,2,23,4,0,67,5,0,2,1.67,2.27,2.27,2.23,2.99,1.06
노경은,2.8,41,8,33,7,0,0,12,5,1,7,79.2,27,28,29.05,323,69,10,0,5,23,4,0,55,5,0,5,3.05,3.16,3.28,3.13,3.86,1.15
이태양,2.77,30,17,13,3,0,0,8,3,0,1,112,45,50,49.3,472,116,18,0,15,24,5,2,61,7,0,0,3.62,4.02,3.96,3.78,4.76,1.25
오원석,2.53,31,24,7,0,0,0,6,8,0,0,144,72,79,72.75,633,158,21,2,16,58,3,1,112,9,0,7,4.5,4.94,4.55,4.46,4.48,1.5
서진용,1.36,68,0,68,40,0,0,7,3,21,12,67.1,30,32,31.85,297,64,10,1,5,36,3,3,55,2,0,6,4.01,4.28,4.26,4.04,4.33,1.49
최민준,0.82,51,1,50,10,0,0,5,4,0,5,68.1,30,37,36.8,288,51,8,1,10,34,2,2,48,8,0,7,3.95,4.87,4.85,4.64,5.4,1.24
김택형,0.79,64,0,64,24,0,0,3,5,17,10,60.1,33,33,32.15,261,57,9,0,8,22,3,1,62,2,0,6,4.92,4.92,4.8,4.52,4.03,1.31
장지훈,0.58,40,0,40,12,0,0,2,0,0,6,55,26,26,30.65,231,56,8,2,6,11,3,2,33,3,0,4,4.25,4.25,5.02,4.77,4.37,1.22
고효준,0.36,45,0,45,6,0,0,1,0,0,7,38.2,16,18,21.1,174,35,6,2,1,20,2,2,35,5,0,7,3.72,4.19,4.91,4.84,3.51,1.42
서동민,0.32,20,0,20,2,0,0,1,1,0,5,21,6,11,10.65,86,13,3,0,3,11,1,0,19,2,0,3,2.57,4.71,4.56,4.37,4.99,1.14
박민호,0.17,22,0,22,11,0,0,1,1,1,4,22,10,10,12.75,101,26,2,0,3,11,2,1,12,0,0,0,4.09,4.09,5.22,5,5.88,1.68
박종훈,0.15,11,11,0,0,0,0,3,5,0,0,48,32,34,32.95,220,52,4,1,6,21,8,0,40,3,0,3,6,6.38,6.18,6.03,5.06,1.52
문승원,-0.01,23,0,23,7,0,0,1,1,3,3,24.2,14,15,16.2,112,32,6,0,3,7,2,0,25,1,0,0,5.11,5.47,5.91,5.57,3.83,1.58
전영준,-0.01,4,1,3,1,0,0,0,0,0,0,5,4,4,4.2,25,7,2,0,2,3,1,0,7,0,0,1,7.2,7.2,7.56,7.21,7.52,2
김주온,-0.02,5,0,5,4,0,0,0,0,0,0,4,5,5,3.45,20,3,1,0,1,5,0,0,4,0,0,0,11.25,11.25,7.76,7.23,8.13,2
이건욱,-0.04,1,1,0,0,0,0,0,1,0,0,3,3,3,3,14,2,0,0,1,4,0,0,2,0,0,0,9,9,9,8.39,10.22,2
박시후,-0.04,2,0,2,1,0,0,0,0,0,0,1,2,2,1.5,6,3,1,0,0,0,0,0,0,0,0,0,18,18,13.5,13.65,3.78,3
김건우,-0.06,2,1,1,1,0,0,0,0,0,0,3,3,3,3,17,5,1,0,1,4,0,0,1,0,0,0,9,9,9,8.77,11.05,3
신헌민,-0.07,1,0,1,1,0,0,0,0,0,0,1,1,2,2,5,3,0,0,0,0,0,0,1,0,0,0,9,18,18,17.54,1.28,3
정성곤,-0.08,2,0,2,0,0,0,0,0,0,0,2.2,3,3,3.35,13,1,0,0,1,3,1,0,3,0,0,0,10.13,10.13,11.31,10.54,10.08,1.5
조요한,-0.09,23,0,23,4,0,0,2,1,0,5,19.1,14,15,13.15,89,17,1,0,2,13,4,1,15,3,0,7,6.52,6.98,6.12,5.79,5.8,1.55
윤태현,-0.1,3,0,3,1,0,0,0,0,0,0,2,2,2,2.15,10,2,0,0,0,2,0,0,2,0,1,0,9,9,9.68,10.84,4.38,2
신재영,-0.15,4,0,4,2,0,0,0,0,0,0,4.1,6,6,5.8,21,9,2,0,2,0,0,0,4,0,0,1,12.46,12.46,12.05,11.47,6.97,2.08
김상수,-0.17,8,0,8,2,0,0,0,0,1,0,8,8,8,8,37,9,2,1,2,4,1,0,3,0,0,0,9,9,9,8.58,7.76,1.63
노바,-0.27,12,12,0,0,0,0,3,4,0,0,63.2,46,50,49.15,291,78,10,2,5,25,5,0,32,8,1,9,6.5,7.07,6.95,6.98,4.92,1.62
김태훈,-0.28,9,0,9,1,0,0,0,0,1,3,5.1,6,6,6.2,30,6,1,0,2,10,0,0,1,0,0,0,10.13,10.13,10.46,10.1,13.59,3
한두솔,-0.57,8,0,8,3,0,0,0,0,0,0,5.1,10,10,10.85,30,10,2,0,0,4,0,0,1,0,0,1,16.88,16.88,18.31,17.32,5.64,2.63
