Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
엘리아스,4.09,22,21,1,0,0,0,7,7,0,0,123.2,56,59,55.9,525,126,14,0,13,30,6,0,104,10,0,3,4.08,4.29,4.07,3.92,4.25,1.26,7.57,2.18,3.47,0.95,19.8,5.7,14.1,0.313,71.5,3.1,3.71,-0.17,79.48,69.37,84.23,0.265,0.315,0.376,0.691,1947,88.5,15.7,3.71,10,47.6,4,19,5,0,0,72,5.3,11,10,52.4,0,0,9,6,66.7,5.78,91.43,52.1,2.03,4.18,0,0,1,0,0,0,0,0,,0,0,0,0,9,6,0,0,,9,6,66.7,2.33,27,0.97,-0.09,0.313,361,48.4,4.9,43.5,48.4,3.1,1,7,10.3,1086,972,876,698,1489,866
앤더슨,3.86,24,23,1,0,0,0,11,3,0,0,115.2,50,55,53.8,496,98,13,1,11,53,8,0,158,4,1,5,3.89,4.28,4.19,3.93,3.55,1.31,12.29,4.12,2.98,0.86,31.9,10.7,21.2,0.33,72.2,2.5,2.86,0.34,75.87,69.52,70.37,0.227,0.322,0.338,0.66,2029,84.5,17.5,4.09,9,39.1,0,0,8,0,0,84,6.6,16,6,72.7,0,0,12,3,25,4.99,87.3,53.83,1.72,3.75,0,0,0,0,0,0,0,0,,0,0,0,0,16,7,0,0,,12,3,25,1,21,2.26,0.1,0.33,264,46.2,8.3,41.5,49.8,4,0.9,8,9.2,1086,972,876,698,1489,866
김광현,3.42,31,31,0,0,0,0,12,10,0,0,162.1,89,95,94.65,709,162,29,0,24,73,6,1,154,6,0,8,4.93,5.27,5.25,5.08,5.1,1.45,8.54,4.05,2.11,1.33,21.7,10.3,11.4,0.309,70.5,3.43,4.03,-0.16,96.22,89.77,100.98,0.26,0.342,0.423,0.765,2757,88.9,17,3.89,13,41.9,1,3.2,7,0,0,103,5.7,14,17,45.2,0,0,9,1,11.1,5.24,88.94,48.65,0.53,3.42,0,0,0,0,0,0,0,0,,0,0,0,0,13,14,0,0,,9,1,11.1,,,,,0.309,447,46.2,3.2,44.3,47.5,6.3,1,10.6,5.6,1086,972,876,698,1489,866
노경은,2.95,77,0,77,7,0,0,8,5,0,38,83.2,27,30,36,350,71,10,1,10,32,4,4,71,2,0,3,2.9,3.23,3.87,3.75,4.69,1.23,7.64,3.44,2.22,1.08,20.3,9.1,11.1,0.265,82.8,3.36,4.06,-1.78,56.64,66.36,92.86,0.232,0.308,0.369,0.677,1338,17.4,16,3.82,0,,0,,0,0,0,63,,0,0,,0,0,11,5,45.5,,,,,,21,3,22,0,38,4,2,6,86.4,0,8,1,1,38,12,54,19,35.2,11,5,45.5,1.09,17.38,1.61,2.95,0.265,230,47.3,5.3,43.6,49,3.7,1,8.4,12.7,1086,972,876,698,1489,866
오원석,2.67,29,25,4,1,0,0,6,9,0,1,121.2,68,72,68.7,550,122,14,1,17,65,13,1,112,6,0,3,5.03,5.33,5.08,4.96,5.52,1.54,8.29,4.81,1.72,1.26,20.4,11.8,8.5,0.308,72.7,3.96,4.37,-0.49,98.09,87.7,109.44,0.261,0.365,0.404,0.769,2208,76.1,18.1,4.01,2,8,0,0,13,0,0,77,5.9,13,11,54.2,0,0,18,5,27.8,4.72,85.24,47.2,0.43,2.53,0,0,0,0,1,0,0,0,100,0,0,0,0,9,13,0,0,,18,5,27.8,0.92,19.25,0.64,0.14,0.308,341,45.8,4.2,45.6,49.7,4.4,0.9,9.5,5.7,1086,972,876,698,1489,866
조병현,2.37,76,0,76,27,0,0,4,6,12,12,73,29,34,32.65,302,52,10,0,8,31,2,3,96,5,0,5,3.58,4.19,4.03,3.8,3.53,1.14,11.84,3.82,3.1,0.99,31.8,10.3,21.5,0.27,68.9,2.31,2.82,0.04,69.72,67.19,70,0.197,0.283,0.326,0.609,1294,17,17.7,4.28,0,,0,,0,0,0,34,,0,0,,0,0,20,10,50,,,,,,19,2,12,12,12,6,1,7,77.4,2,2,0,1,28,11,36,7,19.4,20,10,50,0.96,17.03,1.33,2.37,0.27,163,42.8,8.1,46.2,54.3,2.9,0.8,8.5,7.7,1086,972,876,698,1489,866
문승원,1.06,62,0,62,37,0,0,6,1,20,6,60,30,33,35.75,265,67,7,0,10,24,1,3,53,3,0,2,4.5,4.95,5.36,5.05,5.16,1.52,7.95,3.6,2.21,1.5,20,9.1,10.9,0.324,75.6,3.3,4.09,-0.66,87.75,89.32,102.31,0.283,0.348,0.439,0.787,1056,17,17.6,3.98,0,,0,,0,0,0,25,,0,0,,0,0,15,4,26.7,,,,,,15,1,10,20,6,7,1,8,76.5,2,1,2,0,24,14,28,9,32.1,15,4,26.7,0.97,17.03,1.38,1.06,0.324,176,39.9,4.3,52.1,56.4,3.7,0.7,9.4,7.5,1086,972,876,698,1489,866
송영진,1.04,26,20,6,2,0,0,5,10,0,0,99.1,64,74,68.15,456,112,19,2,10,51,1,0,67,7,2,8,5.8,6.7,6.17,6.06,5.33,1.64,6.07,4.62,1.31,0.91,14.7,11.2,3.5,0.317,60,4.23,4.98,0.46,113.08,107.19,105.7,0.283,0.364,0.417,0.781,1815,69.8,18.3,3.98,3,15,0,0,7,0,0,45,5,8,12,40,0,0,27,13,48.1,4.05,76.95,42.05,-0.8,0.64,1,0,5,0,0,0,0,0,,0,0,0,0,6,13,4,2,50,27,13,48.1,3.06,46,0.62,0.4,0.317,322,52.8,3.3,38.3,41.5,5.6,1.3,7.1,10.7,1086,972,876,698,1489,866
한두솔,0.86,69,0,69,8,0,0,2,1,0,3,59.1,33,40,35.9,273,62,10,2,3,31,3,2,68,5,0,1,5.01,6.07,5.45,5.24,3.61,1.57,10.32,4.7,2.19,0.46,24.9,11.4,13.6,0.36,60.9,3.09,3.77,1.4,97.61,92.73,71.5,0.267,0.357,0.366,0.723,1071,15.5,18.1,3.92,0,,0,,0,0,0,36,,0,0,,0,0,36,17,47.2,,,,,,18,3,11,0,3,0,0,0,100,0,0,0,0,4,8,31,8,25.8,36,17,47.2,0.86,15.52,0.44,0.86,0.36,164,50.3,5.3,39.8,45,4.7,1.1,3.9,11.3,1086,972,876,698,1489,866
이기순,0.47,10,2,8,2,0,0,1,1,0,0,19.2,8,10,9.15,94,12,1,0,2,23,1,0,24,0,0,1,3.66,4.58,4.19,4.12,6.14,1.78,10.98,10.53,1.04,0.92,25.5,24.5,1.1,0.233,78.8,5.02,5.27,-2.48,71.39,72.82,121.71,0.174,0.387,0.275,0.662,423,42.3,21.5,4.5,0,0,0,0,1,0,0,10,14.2,1,1,50,0,0,8,2,25,3.17,72.5,48,-0.02,0.1,2,0,5,0,0,0,0,0,,0,0,0,0,2,1,2,1,50,8,2,25,1.67,34.75,0.43,0.38,0.233,43,34.8,6.5,52.2,58.7,6.5,0.6,7.4,0,1086,972,876,698,1489,866
