Name	BABIP	BIP	GB%	ifFB%	ofFB%	FB%	LD%	GB/FB	HR/FB%	if1B%
김광현	0.309	447	46.2	3.2	44.3	47.5	6.3	1	10.6	5.6
엘리아스	0.313	361	48.4	4.9	43.5	48.4	3.1	1	7	10.3
오원석	0.308	341	45.8	4.2	45.6	49.7	4.4	0.9	9.5	5.7
송영진	0.317	322	52.8	3.3	38.3	41.5	5.6	1.3	7.1	10.7
앤더슨	0.33	264	46.2	8.3	41.5	49.8	4	0.9	8	9.2
노경은	0.265	230	47.3	5.3	43.6	49	3.7	1	8.4	12.7
이로운	0.344	183	47.9	3.7	44.7	48.4	3.7	1	4.3	7.5
문승원	0.324	176	39.9	4.3	52.1	56.4	3.7	0.7	9.4	7.5
한두솔	0.36	164	50.3	5.3	39.8	45	4.7	1.1	3.9	11.3
조병현	0.27	163	42.8	8.1	46.2	54.3	2.9	0.8	8.5	7.7
서진용	0.343	137	51.7	3.4	39.5	42.9	5.4	1.2	7.9	5.8
최민준	0.419	124	43.7	0.7	52.6	53.3	3	0.8	12.5	4.9
박종훈	0.319	94	51.5	6.9	40.6	47.5	1	1.1	14.6	2.7
더거	0.422	83	50.6	3.5	42.4	45.9	3.5	1.1	5.1	10.8
장지훈	0.342	76	45	5	47.5	52.5	2.5	0.9	7.1	0
박민호	0.28	75	38	5.1	51.9	57	5.1	0.7	8.9	8
이건욱	0.433	67	36.1	2.8	55.6	58.3	5.6	0.6	11.9	2.9
시라카와	0.4	65	49.3	0	46.4	46.4	4.3	1.1	9.4	6.9
고효준	0.339	56	47.5	1.6	45.9	47.5	4.9	1	13.8	21.7
박시후	0.347	49	52	2	40	42	6	1.2	4.8	16.7
이기순	0.233	43	34.8	6.5	52.2	58.7	6.5	0.6	7.4	0
백승건	0.314	35	37.8	2.7	48.6	51.4	10.8	0.7	10.5	7.7
김택형	0.321	28	55.2	3.4	37.9	41.4	3.4	1.3	8.3	20
김주온	0.375	16	33.3	0	61.1	61.1	5.6	0.5	18.2	0
신헌민	0.417	12	57.1	7.1	35.7	42.9	0	1.3	33.3	0
박성빈	0.167	6	16.7	0	83.3	83.3	0	0.2	0	0
최현석	0.8	5	33.3	16.7	50	66.7	0	0.5	25	0
정동윤	0.25	4	50	0	25	25	25	2	0	0
