name	GR	IP	ERA	W	L	2time	3time	plus 1	SV	HD	BLSV	BLHD	BL+	save%	TS	TH	TBS	TBH	SD	MD	IR	IRS	IRS%	BQ	BQS	BQS%	IP/GR	P/GR	gmLI	closer war
노경은	77	83.2	2.9	8	5	21	3	22	0	38	4	2	6	86.4	0	8	1	1	38	12	54	19	35.2	11	5	45.5	1.09	17.38	1.61	2.95
조병현	76	73	3.58	4	6	19	2	12	12	12	6	1	7	77.4	2	2	0	1	28	11	36	7	19.4	20	10	50	0.96	17.03	1.33	2.37
문승원	62	60	4.5	6	1	15	1	10	20	6	7	1	8	76.5	2	1	2	0	24	14	28	9	32.1	15	4	26.7	0.97	17.03	1.38	1.06
한두솔	69	59.1	5.01	2	1	18	3	11	0	3	0	0	0	100	0	0	0	0	4	8	31	8	25.8	36	17	47.2	0.86	15.52	0.44	0.86
송영진	6	18.1	3.93	0	0	1	0	5	0	0	0	0	0		0	0	0	0	6	13	4	2	50	27	13	48.1	3.06	46	0.62	0.4
이기순	8	13.1	2.7	1	0	2	0	5	0	0	0	0	0		0	0	0	0	2	1	2	1	50	8	2	25	1.67	34.75	0.43	0.38
이로운	62	56	5.95	1	3	17	2	7	1	9	1	1	2	83.3	0	1	0	0	8	17	21	6	28.6	35	12	34.3	0.9	18.35	0.92	0.3
박민호	19	22.2	4.76	2	0	3	0	9	0	0	0	0	0		0	0	0	0	2	1	17	6	35.3	0	0		1.19	18.53	0.53	0.15
오원석	4	3.2	0	0	0	0	0	0	0	1	0	0	0	100	0	0	0	0	9	13	0	0		18	5	27.8	0.92	19.25	0.64	0.14
박시후	11	14.2	6.75	0	0	2	0	5	0	0	0	0	0		0	0	0	0	0	0	2	0	0	4	1	25	1.33	23.55	0.05	0.12
앤더슨	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	16	7	0	0		12	3	25	1	21	2.26	0.1
박성빈	3	2.1	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	2	0	0	0	0		0.78	9.33	0.03	0.1
정동윤	3	1.2	0	0	0	1	0	0	0	0	0	0	0		0	0	0	0	0	0	2	1	50	2	0	0	0.56	10.67	0.06	0.06
박종훈	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	2	4	0	0		8	4	50	1	10	0.02	0.04
김택형	6	7	9	0	1	1	0	2	0	0	0	0	0		0	0	0	0	0	2	0	0		6	2	33.3	1.17	21.67	0.57	-0.05
장지훈	18	21.1	6.75	0	0	5	0	7	0	0	0	0	0		0	0	0	0	1	1	14	5	35.7	5	0	0	1.19	20.67	0.56	-0.09
엘리아스	1	2.1	11.57	0	0	0	0	1	0	0	0	0	0		0	0	0	0	9	6	0	0		9	6	66.7	2.33	27	0.97	-0.09
백승건	10	9.1	7.71	0	0	2	0	2	0	0	0	0	0		0	0	0	0	0	0	10	7	70	4	2	50	0.93	20.3	0.12	-0.12
이건욱	8	11.2	9.26	1	0	0	0	4	0	0	0	0	0		0	0	0	0	0	4	3	2	66.7	9	3	33.3	1.46	34.5	0.51	-0.13
최현석	2	0.2	54	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0		4	0	0	0.33	24	0.02	-0.16
고효준	26	22	8.18	2	1	7	0	1	0	5	1	1	2	71.4	0	0	0	1	5	7	13	5	38.5	17	8	47.1	0.85	18.54	1.1	-0.16
신헌민	3	3	18	0	0	1	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0		0	0		1	17.67	0.04	-0.21
김주온	2	4.2	15.43	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0	0	3	3	100	0	0		2.33	49	0.06	-0.26
서진용	51	47	5.55	0	1	11	2	6	0	6	0	2	2	75	0	0	0	1	7	10	40	22	55	19	10	52.6	0.92	15.69	0.93	-0.35
최민준	32	39.1	7.78	1	0	5	1	14	0	0	0	0	0		0	0	0	0	5	7	26	11	42.3	13	3	23.1	1.23	24.44	0.59	-0.67
김광현	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	13	14	0	0		9	1	11.1				
더거	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	1	4	0	0		1	0	0				
시라카와	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	2	2	0	0		5	3	60				
