Name	War	G	GS	GR	GF	CG	SHO	W	L	S	HD	IP	ER	R	Rra	TBF	H	2B	3B	HR	BB	HP	IB	SO	ROE	BK	wild pitch	ERA	RA9	rRA9	rRA9pf	FIP	WHIP
엘리아스	4.09	22	21	1	0	0	0	7	7	0	0	123.2	56	59	55.9	525	126	14	0	13	30	6	0	104	10	0	3	4.08	4.29	4.07	3.92	4.25	1.26
앤더슨	3.86	24	23	1	0	0	0	11	3	0	0	115.2	50	55	53.8	496	98	13	1	11	53	8	0	158	4	1	5	3.89	4.28	4.19	3.93	3.55	1.31
김광현	3.42	31	31	0	0	0	0	12	10	0	0	162.1	89	95	94.65	709	162	29	0	24	73	6	1	154	6	0	8	4.93	5.27	5.25	5.08	5.1	1.45
노경은	2.95	77	0	77	7	0	0	8	5	0	38	83.2	27	30	36	350	71	10	1	10	32	4	4	71	2	0	3	2.9	3.23	3.87	3.75	4.69	1.23
오원석	2.67	29	25	4	1	0	0	6	9	0	1	121.2	68	72	68.7	550	122	14	1	17	65	13	1	112	6	0	3	5.03	5.33	5.08	4.96	5.52	1.54
조병현	2.37	76	0	76	27	0	0	4	6	12	12	73	29	34	32.65	302	52	10	0	8	31	2	3	96	5	0	5	3.58	4.19	4.03	3.8	3.53	1.14
문승원	1.06	62	0	62	37	0	0	6	1	20	6	60	30	33	35.75	265	67	7	0	10	24	1	3	53	3	0	2	4.5	4.95	5.36	5.05	5.16	1.52
송영진	1.04	26	20	6	2	0	0	5	10	0	0	99.1	64	74	68.15	456	112	19	2	10	51	1	0	67	7	2	8	5.8	6.7	6.17	6.06	5.33	1.64
한두솔	0.86	69	0	69	8	0	0	2	1	0	3	59.1	33	40	35.9	273	62	10	2	3	31	3	2	68	5	0	1	5.01	6.07	5.45	5.24	3.61	1.57
이기순	0.47	10	2	8	2	0	0	1	1	0	0	19.2	8	10	9.15	94	12	1	0	2	23	1	0	24	0	0	1	3.66	4.58	4.19	4.12	6.14	1.78
시라카와	0.47	5	5	0	0	0	0	2	2	0	0	23	13	16	14.3	106	29	4	0	3	9	1	0	27	1	0	0	5.09	6.26	5.6	5.15	4.16	1.65
이로운	0.3	62	0	62	14	0	0	1	3	1	9	56	37	43	40.1	277	67	9	2	4	43	3	4	41	3	0	3	5.95	6.91	6.44	6.22	5.65	1.96
박종훈	0.2	10	9	1	1	0	0	1	4	0	0	35	27	28	26.1	164	37	7	0	7	21	8	0	34	0	0	3	6.94	7.2	6.71	6.68	6.72	1.66
박민호	0.15	19	0	19	8	0	0	2	0	0	0	22.2	12	14	17.1	98	25	3	0	4	7	2	1	10	1	0	0	4.76	5.56	6.79	6.27	6.29	1.41
박시후	0.12	11	0	11	5	0	0	0	0	0	0	14.2	11	11	10.65	70	18	1	0	1	7	2	0	11	1	0	0	6.75	6.75	6.54	6.34	5.04	1.7
박성빈	0.1	3	0	3	3	0	0	0	0	0	0	2.1	0	0	0	9	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	3.38	0.43
정동윤	0.06	3	0	3	1	0	0	0	0	0	0	1.2	0	0	0.35	7	1	0	0	0	1	0	0	2	0	0	0	0	0	1.89	1.76	3.06	1.2
김택형	-0.05	6	0	6	0	0	0	0	1	0	0	7	7	7	6.15	37	10	1	0	1	6	1	1	1	0	1	1	9	9	7.91	7.9	8.64	2.29
장지훈	-0.09	18	0	18	7	0	0	0	0	0	0	21.1	16	16	18.4	101	29	6	0	3	10	1	0	10	1	0	0	6.75	6.75	7.76	7.62	6.3	1.83
백승건	-0.12	10	0	10	7	0	0	0	0	0	0	9.1	8	9	11.05	51	13	2	0	2	9	0	0	5	2	0	1	7.71	8.68	10.66	10.05	8.4	2.36
최현석	-0.16	2	0	2	0	0	0	0	0	0	0	0.2	4	4	4	10	5	0	0	1	3	0	0	1	0	0	0	54	54	54	53.38	32.25	12
고효준	-0.16	26	0	26	2	0	0	2	1	0	5	22	20	21	19.25	109	23	4	0	4	20	1	1	27	1	0	2	8.18	8.59	7.88	7.36	6.25	1.95
신헌민	-0.21	3	0	3	3	0	0	0	0	0	0	3	6	7	7	18	7	2	0	2	3	1	0	0	0	0	0	18	21	21	20.88	16.27	3.33
김주온	-0.26	2	0	2	2	0	0	0	0	0	0	4.2	8	8	9.55	25	8	1	0	2	3	0	0	4	0	0	0	15.43	15.43	18.42	18.21	9.15	2.36
서진용	-0.35	51	0	51	3	0	0	0	1	0	6	47	29	34	40.85	211	52	11	1	5	26	0	2	38	3	0	4	5.55	6.51	7.82	7.52	5.09	1.66
이건욱	-0.58	10	2	8	1	0	0	1	2	0	0	19	24	25	24.3	106	34	4	0	5	15	2	0	17	2	0	3	11.37	11.84	11.51	11.46	7.87	2.58
최민준	-0.67	32	0	32	3	0	0	1	0	0	0	39.1	34	36	41.2	202	61	9	1	9	24	3	1	40	2	0	1	7.78	8.24	9.43	9.17	6.43	2.16
더거	-0.84	6	6	0	0	0	0	0	3	0	0	22.2	32	33	33	116	37	7	3	2	10	3	0	18	1	0	0	12.71	13.1	13.1	12.8	5.04	2.07
