name	G	GS	IP	ERA	W	L	QS	QS%	QS+	QS+%	QH	TL	CW	RS	RS9	start W	start L	W%	start BW	start BL	start BQ	start BQS	start BQS%	IP/GS	P/GS	AGS	starter waa	starter war
엘리아스	22	21	121.1	3.93	7	7	10	47.6	4	19	5	0	0	72	5.3	11	10	52.4	0	0	9	6	66.7	5.78	91.43	52.1	2.03	4.18
앤더슨	24	23	114.2	3.92	11	3	9	39.1	0	0	8	0	0	84	6.6	16	6	72.7	0	0	12	3	25	4.99	87.3	53.83	1.72	3.75
김광현	31	31	162.1	4.93	12	10	13	41.9	1	3.2	7	0	0	103	5.7	14	17	45.2	0	0	9	1	11.1	5.24	88.94	48.65	0.53	3.42
오원석	29	25	118	5.19	6	9	2	8	0	0	13	0	0	77	5.9	13	11	54.2	0	0	18	5	27.8	4.72	85.24	47.2	0.43	2.53
송영진	26	20	81	6.22	5	10	3	15	0	0	7	0	0	45	5	8	12	40	0	0	27	13	48.1	4.05	76.95	42.05	-0.8	0.64
시라카와	5	5	23	5.09	2	2	1	20	0	0	2	0	0	23	9	2	3	40	0	0	5	3	60	4.6	85.2	46.2	0.06	0.47
박종훈	10	9	34	7.15	1	4	1	11.1	0	0	5	0	0	25	6.6	4	5	44.4	0	0	8	4	50	3.78	72.44	43	-0.45	0.16
이기순	10	2	6.1	5.68	0	1	0	0	0	0	1	0	0	10	14.2	1	1	50	0	0	8	2	25	3.17	72.5	48	-0.02	0.1
이건욱	10	2	7.1	14.73	0	2	0	0	0	0	0	0	0	15	18.4	0	2	0	0	0	9	3	33.3	3.67	84.5	21	-0.58	-0.45
더거	6	6	22.2	12.71	0	3	1	16.7	0	0	1	0	0	13	5.2	3	3	50	0	0	1	0	0	3.78	76.17	30	-1.24	-0.84
한두솔	69	0	0		0	0	0		0		0	0	0	36		0	0		0	0	36	17	47.2					
조병현	76	0	0		0	0	0		0		0	0	0	34		0	0		0	0	20	10	50					
고효준	26	0	0		0	0	0		0		0	0	0	7		0	0		0	0	17	8	47.1					
서진용	51	0	0		0	0	0		0		0	0	0	24		0	0		0	0	19	10	52.6					
김주온	2	0	0		0	0	0		0		0	0	0	2		0	0		0	0	0	0						
박시후	11	0	0		0	0	0		0		0	0	0	4		0	0		0	0	4	1	25					
이로운	62	0	0		0	0	0		0		0	0	0	22		0	0		0	0	35	12	34.3					
노경은	77	0	0		0	0	0		0		0	0	0	63		0	0		0	0	11	5	45.5					
김택형	6	0	0		0	0	0		0		0	0	0	2		0	0		0	0	6	2	33.3					
백승건	10	0	0		0	0	0		0		0	0	0	2		0	0		0	0	4	2	50					
신헌민	3	0	0		0	0	0		0		0	0	0	4		0	0		0	0	0	0						
최현석	2	0	0		0	0	0		0		0	0	0	0		0	0		0	0	4	0	0					
박민호	19	0	0		0	0	0		0		0	0	0	18		0	0		0	0	0	0						
최민준	32	0	0		0	0	0		0		0	0	0	31		0	0		0	0	13	3	23.1					
장지훈	18	0	0		0	0	0		0		0	0	0	10		0	0		0	0	5	0	0					
문승원	62	0	0		0	0	0		0		0	0	0	25		0	0		0	0	15	4	26.7					
정동윤	3	0	0		0	0	0		0		0	0	0	1		0	0		0	0	2	0	0					
박성빈	3	0	0		0	0	0		0		0	0	0	4		0	0		0	0	0	0						
