Name,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
이동원,,0,,,,,,,,
배창현,0,1,0,0,100,100,0,0,0,
알칸타라,0.289,560,44.4,7.8,45.1,53,2.6,0.8,3.9,5.7
박치국,0.294,204,53.8,3.8,37.3,41,5.2,1.3,5.7,9.2
이형범,0.294,85,41.8,8.8,41.8,50.5,7.7,0.8,10.9,0
김민규,0.299,147,30.3,11.2,57.2,68.4,1.3,0.4,2.9,2.1
이주엽,0.3,10,50,20,30,50,0,1,0,0
플렉센,0.307,296,45.8,7.5,42.9,50.3,3.9,0.9,3.9,18.6
최세창,0.308,13,28.6,0,71.4,71.4,0,0.4,10,0
이교훈,0.313,16,29.4,5.9,64.7,70.6,0,0.4,8.3,16.7
조제영,0.313,16,35.3,0,64.7,64.7,0,0.5,9.1,16.7
최원준,0.314,379,33.6,6.6,56.8,63.4,3,0.5,6,5.2
이영하,0.321,433,43.7,4.5,47.9,52.3,4,0.8,3.8,7.4
함덕주,0.327,162,43.3,8.5,47,55.5,1.2,0.8,2.2,1.8
윤명준,0.329,143,48.3,2,46.4,48.3,3.3,1,5.5,13.7
박종기,0.338,80,43.4,2.4,51.8,54.2,2.4,0.8,6.7,10
채지선,0.341,91,46.3,2.1,51.6,53.7,0,0.9,5.9,11.8
권휘,0.341,44,57.8,4.4,37.8,42.2,0,1.4,5.3,12.5
홍건희,0.345,168,41.7,6.3,49.7,56,2.3,0.7,5.1,6.3
김명신,0.347,49,48.1,3.7,46.3,50,1.9,1,11.1,10
유희관,0.351,502,40.3,4.6,51.3,55.9,3.8,0.7,4.8,5.8
이승진,0.359,145,44.7,4,51.3,55.3,0,0.8,3.6,5.5
이용찬,0.362,94,51.9,3.8,41.3,45.2,2.9,1.1,14.9,2.4
이현승,0.368,125,40.8,6.9,45.4,52.3,6.9,0.8,2.9,12.5
장원준,0.381,21,54.5,0,45.5,45.5,0,1.2,10,0
문대원,0.385,26,50,10.7,35.7,46.4,3.6,1.1,15.4,0
김강률,0.398,88,49.4,6.7,42.7,49.4,1.1,1,2.3,2.8
권혁,0.407,27,55.6,0,40.7,40.7,3.7,1.4,0,18.2
박신지,0.643,14,35.7,0,50,50,14.3,0.7,0,0
